single,run_M,reserve_M,reserve_mode,topup_thr_M,topup_amt,labor_1988,labor_total,starts_with_labor,saved_1988,fails,ruin_total,terminal_median_M,min_total_floor_M
sc2.2,12,28,bond75gold25,10.000,4M,14,400,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,10.000,5M,14,387,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,10.000,6M,14,338,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,10.000,8M,14,225,26,0,1975;1976;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,26,608.000,0.000
sc2.2,12,28,bond75gold25,10.000,ALL,5,35,4,0,1987;1988;1989;1998,4,7550.400,0.000
sc2.2,12,28,bond75gold25,12.000,3M,14,405,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,12.000,4M,14,391,31,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,0.000,0.000
sc2.2,12,28,bond75gold25,12.000,5M,14,349,30,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,30,2.300,0.000
sc2.2,12,28,bond75gold25,12.000,6M,14,280,30,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,30,1.600,0.000
sc2.2,12,28,bond75gold25,12.000,8M,13,146,18,0,1975;1981;1984;1986;1987;1988;1989;1990;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005,18,309.800,0.000
