start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen
2005,P09_STR_sc2.2,1,,216505792,3029703261
1975,P09_STR_sc2.4,1,,472979376,7454013517
1976,P09_STR_sc2.4,1,,1585112941,29002946942
1977,P09_STR_sc2.4,1,,443652184,8394321365
1978,P09_STR_sc2.4,1,,3418510563,44646433687
1979,P09_STR_sc2.4,1,,707655260,27258585414
1980,P09_STR_sc2.4,1,,1264065610,100527483674
1981,P09_STR_sc2.4,1,,541630264,49815016106
1982,P09_STR_sc2.4,1,,1210802442,66872128409
1983,P09_STR_sc2.4,1,,659484279,24025043899
1984,P09_STR_sc2.4,1,,215156613,27640795393
1985,P09_STR_sc2.4,1,,279432099,36323179364
1986,P09_STR_sc2.4,1,,206221608,9228696271
1987,P09_STR_sc2.4,1,,215682323,14083702758
1988,P09_STR_sc2.4,0,8,0,0
1989,P09_STR_sc2.4,1,,339706734,8848581138
1990,P09_STR_sc2.4,1,,271657309,3624196786
1991,P09_STR_sc2.4,1,,1446370335,57154787512
1992,P09_STR_sc2.4,1,,732558852,28359655171
1993,P09_STR_sc2.4,1,,354431869,19871080826
1994,P09_STR_sc2.4,1,,1937432172,37344099599
1995,P09_STR_sc2.4,1,,2707563006,62358429286
1996,P09_STR_sc2.4,1,,801352982,12366626212
1997,P09_STR_sc2.4,1,,1242102522,9297922938
1998,P09_STR_sc2.4,1,,942588783,10802885783
1999,P09_STR_sc2.4,1,,437527476,3938409952
2000,P09_STR_sc2.4,0,11,2318168,0
2001,P09_STR_sc2.4,1,,407327097,4432891550
2002,P09_STR_sc2.4,1,,578295059,9836093335
2003,P09_STR_sc2.4,1,,1040275065,10666664831
2004,P09_STR_sc2.4,1,,58421885,279653651
2005,P09_STR_sc2.4,1,,247405777,3824173660
1975,NASDAQ_1x_BH,0,13,9525661,0
1976,NASDAQ_1x_BH,0,11,1832634,0
1977,NASDAQ_1x_BH,0,10,0,0
1978,NASDAQ_1x_BH,0,11,84407,0
1979,NASDAQ_1x_BH,0,11,1085377,0
1980,NASDAQ_1x_BH,0,9,0,0
1981,NASDAQ_1x_BH,0,8,0,0
1982,NASDAQ_1x_BH,0,9,0,0
1983,NASDAQ_1x_BH,0,8,0,0
1984,NASDAQ_1x_BH,0,7,0,0
1985,NASDAQ_1x_BH,0,9,0,0
1986,NASDAQ_1x_BH,0,7,0,0
1987,NASDAQ_1x_BH,0,8,0,0
1988,NASDAQ_1x_BH,0,9,0,0
1989,NASDAQ_1x_BH,0,9,0,0
1990,NASDAQ_1x_BH,0,9,0,0
1991,NASDAQ_1x_BH,0,16,31321669,0
1992,NASDAQ_1x_BH,0,11,2124810,0
1993,NASDAQ_1x_BH,0,11,1306870,0
1994,NASDAQ_1x_BH,0,10,0,0
1995,NASDAQ_1x_BH,0,12,8983095,0
1996,NASDAQ_1x_BH,0,10,0,0
1997,NASDAQ_1x_BH,0,9,0,0
1998,NASDAQ_1x_BH,0,8,0,0
1999,NASDAQ_1x_BH,0,7,0,0
2000,NASDAQ_1x_BH,0,4,0,0
2001,NASDAQ_1x_BH,0,5,0,0
2002,NASDAQ_1x_BH,0,7,0,0
2003,NASDAQ_1x_BH,0,9,0,0
2004,NASDAQ_1x_BH,0,7,0,0
2005,NASDAQ_1x_BH,0,7,0,0
