start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed,backfill_count,backfill_years
1985,NASDAQ_1x_BH,1,,15957469,15016789,1,17,7,6;7;11;13;18;19;20
1986,NASDAQ_1x_BH,1,,22686971,14728520,1,16,9,4;6;9;10;16;17;18;19;20
1987,NASDAQ_1x_BH,1,,18708043,18811831,1,4,10,5;7;9;11;15;16;17;18;19;20
1988,NASDAQ_1x_BH,1,,21653734,19666518,1,14,9,7;8;14;15;16;17;18;19;20
1989,NASDAQ_1x_BH,1,,24528959,11271801,1,13,9,7;9;14;15;16;17;18;19;20
1990,NASDAQ_1x_BH,1,,35256416,16062685,1,12,10,6;9;13;14;15;16;17;18;19;20
1991,NASDAQ_1x_BH,1,,43686541,18792184,1,18,5,15;16;18;19;20
1992,NASDAQ_1x_BH,1,,14331813,19251094,1,10,11,10;11;12;13;14;15;16;17;18;19;20
1993,NASDAQ_1x_BH,1,,10207089,20988778,1,9,11,10;11;12;13;14;15;16;17;18;19;20
1994,NASDAQ_1x_BH,1,,17757608,20714481,1,9,10,9;10;11;12;13;15;16;17;18;19
1995,NASDAQ_1x_BH,1,,22806927,23792579,1,14,8,9;12;13;15;16;17;18;19
1996,NASDAQ_1x_BH,1,,20084795,19932725,1,7,10,8;9;10;12;13;14;15;16;17;20
1997,NASDAQ_1x_BH,1,,21141573,20823570,1,6,11,7;8;9;10;12;13;14;15;16;19;20
1998,NASDAQ_1x_BH,1,,17885194,19887920,1,5,11,6;7;8;9;11;12;13;14;15;18;19
1999,NASDAQ_1x_BH,1,,12314736,16001606,1,4,12,4;5;6;8;9;10;11;12;13;14;17;19
2000,NASDAQ_1x_BH,1,,17003019,21006462,1,2,15,2;3;4;5;6;7;8;9;10;11;12;13;17;18;20
2001,NASDAQ_1x_BH,1,,17553401,26967720,1,2,13,3;4;5;6;8;9;10;11;12;13;17;19;20
2002,NASDAQ_1x_BH,1,,18118707,26973642,1,7,11,2;5;7;8;9;10;11;14;15;17;18
2003,NASDAQ_1x_BH,1,,17939758,14522780,1,6,7,7;8;10;11;14;15;17
2004,NASDAQ_1x_BH,1,,25467019,21427819,1,5,10,5;6;7;8;9;10;13;16;17;20
2005,NASDAQ_1x_BH,1,,21289671,24562470,1,4,10,4;5;6;8;9;12;13;15;19;20
