date,ret_sc20,nav_sc20,tpy_sc20,ret_N4,nav_N4,tpy_N4,ret_X4,nav_X4,tpy_X4
1974-01-31,-0.0088825002,1.0288927506,35.2291000000,-0.0088825002,1.0592260937,35.2291000000,-0.0088825002,1.0636090589,35.2291000000
1974-02-01,-0.0045490387,1.0242122777,35.2291000000,-0.0045490387,1.0544076333,35.2291000000,-0.0045490387,1.0587706602,35.2291000000
1974-02-04,0.0010847911,1.0253233341,35.2291000000,0.0010847911,1.0555514453,35.2291000000,0.0010847911,1.0599192052,35.2291000000
1974-02-05,0.0237633428,1.0496884439,35.2291000000,0.0237633428,1.0806348761,35.2291000000,0.0237633428,1.0851064286,35.2291000000
1974-02-06,-0.0007686739,1.0488815758,35.2291000000,-0.0007686739,1.0798042203,35.2291000000,-0.0007686739,1.0842723356,35.2291000000
1974-02-07,-0.0080000076,1.0404905152,35.2291000000,-0.0080000076,1.0711657784,35.2291000000,-0.0080000076,1.0755981487,35.2291000000
1974-02-08,0.0203566239,1.0616713894,35.2291000000,0.0203566239,1.0929710973,35.2291000000,0.0203566239,1.0974936957,35.2291000000
1974-02-11,0.0107383297,1.0730719668,35.2291000000,0.0107383297,1.1047077813,35.2291000000,0.0107383297,1.1092789449,35.2291000000
1974-02-12,0.0113832978,1.0852870645,35.2291000000,0.0113832978,1.1172829989,35.2291000000,0.0113832978,1.1219061974,35.2291000000
1974-02-13,-0.0066321538,1.0780892738,35.2291000000,-0.0066321538,1.1098730063,35.2291000000,-0.0066321538,1.1144655430,35.2291000000
1974-02-14,0.0009934702,1.0791603234,35.2291000000,0.0009934702,1.1109756321,35.2291000000,0.0009934702,1.1155727313,35.2291000000
1974-02-15,0.0104104051,1.0903948196,35.2291000000,0.0104104051,1.1225413385,35.2291000000,0.0104104051,1.1271862954,35.2291000000
1974-02-19,-0.0032198674,1.0868838929,35.2291000000,-0.0032198674,1.1189269042,35.2291000000,-0.0032198674,1.1235569050,35.2291000000
1974-02-20,0.0043590087,1.0916216292,35.2291000000,0.0043590087,1.1238043163,35.2291000000,0.0043590087,1.1284544993,35.2291000000
1974-02-21,0.0076747162,1.0999995154,35.2291000000,0.0076747162,1.1324291955,35.2291000000,0.0076747162,1.1371150674,35.2291000000
1974-02-22,0.0232395364,1.1255629942,35.2291000000,0.0232395364,1.1587463251,35.2291000000,0.0232395364,1.1635410944,35.2291000000
1974-02-25,0.0253748113,1.1541239428,35.2291000000,0.0253748113,1.1881492944,35.2291000000,0.0253748113,1.1930657301,35.2291000000
1974-02-26,0.0324234767,1.1915446536,35.2291000000,0.0324234767,1.2266732254,35.2291000000,0.0324234767,1.2317490691,35.2291000000
1974-02-27,0.0022578424,1.1942349736,35.2291000000,0.0022578424,1.2294428602,35.2291000000,0.0022578424,1.2345301643,35.2291000000
1974-02-28,-0.0237320354,1.1658933469,35.2291000000,-0.0237320354,1.2002656787,35.2291000000,-0.0237320354,1.2052322507,35.2291000000
1974-03-01,0.0087005286,1.1760372353,35.2291000000,0.0087005286,1.2107086246,35.2291000000,0.0087005286,1.2157184083,35.2291000000
1974-03-04,-0.0118896097,1.1620546116,35.2291000000,-0.0118896097,1.1963137715,35.2291000000,-0.0118896097,1.2012639910,35.2291000000
1974-03-05,-0.0243673615,1.1337384068,35.2291000000,-0.0243673615,1.1671627614,35.2291000000,-0.0243673615,1.1719923571,35.2291000000
1974-03-06,-0.0053194206,1.1277075754,35.2291000000,-0.0053194206,1.1609541318,35.2291000000,-0.0053194206,1.1657580367,35.2291000000
1974-03-07,0.0119974722,1.1412372156,35.2291000000,0.0119974722,1.1748826467,35.2291000000,0.0119974722,1.1797441864,35.2291000000
1974-03-08,0.0248432668,1.1695892762,35.2291000000,0.0248432668,1.2040705697,35.2291000000,0.0248432668,1.2090528859,35.2291000000
1974-03-11,-0.0189651431,1.1474078482,35.2291000000,-0.0189651431,1.1812351990,35.2291000000,-0.0189651431,1.1861230249,35.2291000000
1974-03-12,-0.0013773417,1.1458274756,35.2291000000,-0.0013773417,1.1796082346,35.2291000000,-0.0013773417,1.1844893282,35.2291000000
1974-03-13,0.0001517103,1.1460013094,35.2291000000,0.0001517103,1.1797871933,35.2291000000,0.0001517103,1.1846690275,35.2291000000
1974-03-14,0.0001495278,1.1461726685,35.2291000000,0.0001495278,1.1799636042,35.2291000000,0.0001495278,1.1848461684,35.2291000000
1974-03-15,0.0016856511,1.1481047156,35.2291000000,0.0016856511,1.1819526111,35.2291000000,0.0016856511,1.1868434056,35.2291000000
1974-03-18,-0.0029040127,1.1447706050,35.2291000000,-0.0029040127,1.1785202057,35.2291000000,-0.0029040127,1.1833967973,35.2291000000
1974-03-19,0.0155408892,1.1625613581,35.2291000000,0.0155408892,1.1968354577,35.2291000000,0.0155408892,1.2017878358,35.2291000000
1974-03-20,0.0188137839,1.1844335362,35.2291000000,0.0188137839,1.2193524613,35.2291000000,0.0188137839,1.2243980124,35.2291000000
1974-03-21,0.0095097839,1.1956972431,35.2291000000,0.0095097839,1.2309482397,35.2291000000,0.0095097839,1.2360417728,35.2291000000
1974-03-22,-0.0069056747,1.1874401470,35.2291000000,-0.0069056747,1.2224477116,35.2291000000,-0.0069056747,1.2275060705,35.2291000000
1974-03-25,0.0066044557,1.1952825428,35.2291000000,0.0066044557,1.2305213133,35.2291000000,0.0066044557,1.2356130799,35.2291000000
1974-03-26,-0.0069105048,1.1870225370,35.2291000000,-0.0069105048,1.2220177899,35.2291000000,-0.0069105048,1.2270743698,35.2291000000
1974-03-27,0.0040377565,1.1918154450,35.2291000000,0.0040377565,1.2269520002,35.2291000000,0.0040377565,1.2320289973,35.2291000000
1974-03-28,-0.0086608832,1.1814932706,35.2291000000,-0.0086608832,1.2163255121,35.2291000000,-0.0086608832,1.2213585380,35.2291000000
1974-03-29,0.0016099143,1.1833953735,35.2291000000,0.0016099143,1.2182836919,35.2291000000,0.0016099143,1.2233248205,35.2291000000
1974-04-01,0.0001612341,1.1835861772,35.2291000000,0.0001612341,1.2184801208,35.2291000000,0.0001612341,1.2235220623,35.2291000000
1974-04-02,0.0059441603,1.1906216032,35.2291000000,0.0059441603,1.2257229620,35.2291000000,0.0059441603,1.2307948735,35.2291000000
1974-04-03,0.0130219484,1.2061258163,35.2291000000,0.0130219484,1.2416842632,35.2291000000,0.0130219484,1.2468222209,35.2291000000
1974-04-04,-0.0023906225,1.2032424248,35.2291000000,-0.0023906225,1.2387158649,35.2291000000,-0.0023906225,1.2438415396,35.2291000000
1974-04-05,-0.0030523784,1.1995696735,35.2291000000,-0.0030523784,1.2349348353,35.2291000000,-0.0030523784,1.2400448646,35.2291000000
1974-04-08,-0.0093761628,1.1883223130,35.2291000000,-0.0093761628,1.2233558852,35.2291000000,-0.0093761628,1.2284180020,35.2291000000
1974-04-09,-0.0023417150,1.1855396008,35.2291000000,-0.0023417150,1.2204911344,35.2291000000,-0.0023417150,1.2255413972,35.2291000000
1974-04-10,0.0156190644,1.2040566202,35.2291000000,0.0156190644,1.2395540640,35.2291000000,0.0156190644,1.2446832072,35.2291000000
1974-04-11,-0.0089373763,1.1932955131,35.2291000000,-0.0089373763,1.2284757029,35.2291000000,-0.0089373763,1.2335590050,35.2291000000
1974-04-15,0.0002347837,1.1935756795,35.2291000000,0.0002347837,1.2287641290,35.2291000000,0.0002347837,1.2338486246,35.2291000000
1974-04-16,0.0053735938,1.1999894703,35.2291000000,0.0053735938,1.2353670083,35.2291000000,0.0053735938,1.2404788259,35.2291000000
1974-04-17,-0.0047877019,1.1942442784,35.2291000000,-0.0047877019,1.2294524393,35.2291000000,-0.0047877019,1.2345397830,35.2291000000
1974-04-18,-0.0019586774,1.1919051392,35.2291000000,-0.0019586774,1.2270443387,35.2291000000,-0.0019586774,1.2321217179,35.2291000000
1974-04-19,0.0061477768,1.1992327060,35.2291000000,0.0061477768,1.2345879334,35.2291000000,0.0061477768,1.2396965272,35.2291000000
1974-04-22,0.0010961810,1.2005472821,35.2291000000,0.0010961810,1.2359412652,35.2291000000,0.0010961810,1.2410554590,35.2291000000
1974-04-23,0.0013898337,1.2022158431,35.2291000000,0.0013898337,1.2376590180,35.2291000000,0.0013898337,1.2427803197,35.2291000000
1974-04-24,-0.0046369861,1.1966411849,35.2291000000,-0.0046369861,1.2319200103,35.2291000000,-0.0046369861,1.2370175645,35.2291000000
1974-04-25,0.0017045101,1.1986808719,35.2291000000,0.0017045101,1.2340198304,35.2291000000,0.0017045101,1.2391260735,35.2291000000
1974-04-26,-0.0048366518,1.1928832700,35.2291000000,-0.0048366518,1.2280513062,35.2291000000,-0.0048366518,1.2331328522,35.2291000000
1974-04-29,-0.0023339769,1.1900991080,35.2291000000,-0.0023339769,1.2251850629,35.2291000000,-0.0023339769,1.2302547486,35.2291000000
1974-04-30,0.0028867457,1.1935346215,35.2291000000,0.0028867457,1.2287218606,35.2291000000,0.0028867457,1.2338061812,35.2291000000
1974-05-01,0.0023363398,1.1963231239,35.2291000000,0.0023363398,1.2315925724,35.2291000000,0.0023363398,1.2366887718,35.2291000000
1974-05-02,0.0011399774,1.1976869053,35.2291000000,0.0011399774,1.2329965602,35.2291000000,0.0011399774,1.2380985691,35.2291000000
1974-05-03,-0.0008390302,1.1966820099,35.2291000000,-0.0008390302,1.2319620389,35.2291000000,-0.0008390302,1.2370597670,35.2291000000
1974-05-06,-0.0032002954,1.1928522739,35.2291000000,-0.0032002954,1.2280193964,35.2291000000,-0.0032002954,1.2331008103,35.2291000000
1974-05-07,-0.0063092202,1.1853263063,35.2291000000,-0.0063092202,1.2202715516,35.2291000000,-0.0063092202,1.2253209058,35.2291000000
1974-05-08,-0.0020435083,1.1829040821,35.2291000000,-0.0020435083,1.2177779166,35.2291000000,-0.0020435083,1.2228169523,35.2291000000
1974-05-09,0.0017988428,1.1850319406,35.2291000000,0.0017988428,1.2199685076,35.2291000000,0.0017988428,1.2250166078,35.2291000000
1974-05-10,0.0087022746,1.1953444139,35.2291000000,0.0087022746,1.2305850085,35.2291000000,0.0087022746,1.2356770386,35.2291000000
1974-05-13,-0.0005068829,1.1947385142,35.2291000000,-0.0005068829,1.2299612459,35.2291000000,-0.0005068829,1.2350506950,35.2291000000
1974-05-14,-0.0012523964,1.1932422280,35.2291000000,-0.0012523964,1.2284208469,35.2291000000,-0.0012523964,1.2335039219,35.2291000000
1974-05-15,-0.0027679217,1.1899394270,35.2291000000,-0.0027679217,1.2250206742,35.2291000000,-0.0027679217,1.2300896797,35.2291000000
1974-05-16,-0.0001454531,1.1897663466,35.2291000000,-0.0001454531,1.2248424911,35.2291000000,-0.0001454531,1.2299107594,35.2291000000
1974-05-17,0.0027456040,1.1930329738,35.2291000000,0.0027456040,1.2282054236,35.2291000000,0.0027456040,1.2332876073,35.2291000000
1974-05-20,-0.0022519515,1.1903463214,35.2291000000,-0.0022519515,1.2254395646,35.2291000000,-0.0022519515,1.2305103034,35.2291000000
1974-05-21,-0.0058457582,1.1833878446,35.2291000000,-0.0058457582,1.2182759411,35.2291000000,-0.0058457582,1.2233170377,35.2291000000
1974-05-22,0.0032825602,1.1872723864,35.2291000000,0.0032825602,1.2222750052,35.2291000000,0.0032825602,1.2273326495,35.2291000000
1974-05-23,-0.0012416603,1.1857981974,35.2291000000,-0.0012416603,1.2207573548,35.2291000000,-0.0012416603,1.2258087192,35.2291000000
1974-05-24,-0.0007810039,1.1848720844,35.2291000000,-0.0007810039,1.2198039386,35.2291000000,-0.0007810039,1.2248513578,35.2291000000
1974-05-28,-0.0053671180,1.1785127361,35.2291000000,-0.0053671180,1.2132571069,35.2291000000,-0.0053671180,1.2182774360,35.2291000000
1974-05-29,-0.0041388400,1.1736350604,35.2291000000,-0.0041388400,1.2082356298,35.2291000000,-0.0041388400,1.2132351806,35.2291000000
1974-05-30,0.0111742209,1.1867495179,35.2291000000,0.0111742209,1.2217367217,35.2291000000,0.0111742209,1.2267921385,35.2291000000
1974-05-31,-0.0067489249,1.1787402345,35.2291000000,-0.0067489249,1.2134913123,35.2291000000,-0.0067489249,1.2185126106,35.2291000000
1974-06-03,0.0002389504,1.1790218950,35.2291000000,0.0002389504,1.2137812765,35.2291000000,0.0002389504,1.2188037747,35.2291000000
1974-06-04,-0.0053515087,1.1727123491,35.2291000000,-0.0053515087,1.2072857155,35.2291000000,-0.0053515087,1.2122813357,35.2291000000
1974-06-05,0.0059537380,1.1796943711,35.2291000000,0.0059537380,1.2144735783,35.2291000000,0.0059537380,1.2194989411,35.2291000000
1974-06-06,0.0070233259,1.1879797491,35.2291000000,0.0070233259,1.2230032220,35.2291000000,0.0070233259,1.2280638796,35.2291000000
1974-06-07,-0.0048136962,1.1822611755,35.2291000000,-0.0048136962,1.2171160560,35.2291000000,-0.0048136962,1.2221523531,35.2291000000
1974-06-10,-0.0013468631,1.1806688315,35.2291000000,-0.0013468631,1.2154767673,35.2291000000,-0.0013468631,1.2205062812,35.2291000000
1974-06-11,0.0010388629,1.1818953846,35.2291000000,0.0010388629,1.2167394811,35.2291000000,0.0010388629,1.2217742199,35.2291000000
1974-06-12,-0.0053310242,1.1755946717,35.2291000000,-0.0053310242,1.2102530134,35.2291000000,-0.0053310242,1.2152609120,35.2291000000
1974-06-13,0.0055401457,1.1821076375,35.2291000000,0.0055401457,1.2169579915,35.2291000000,0.0055401457,1.2219936345,35.2291000000
1974-06-14,0.0022391184,1.1847545165,35.2291000000,0.0022391184,1.2196829046,35.2291000000,0.0022391184,1.2247298230,35.2291000000
1974-06-17,-0.0005498079,1.1841031291,35.2291000000,-0.0005498079,1.2190123133,35.2291000000,-0.0005498079,1.2240564569,35.2291000000
1974-06-18,-0.0027757321,1.1808163760,35.2291000000,-0.0027757321,1.2156286616,35.2291000000,-0.0027757321,1.2206588040,35.2291000000
1974-06-19,0.0024853315,1.1837510962,35.2291000000,0.0024853315,1.2186499019,35.2291000000,0.0024853315,1.2236925458,35.2291000000
1974-06-20,-0.0053423337,1.1774271028,35.2291000000,-0.0053423337,1.2121394674,35.2291000000,-0.0053423337,1.2171551719,35.2291000000
1974-06-21,-0.0005988938,1.1767219490,35.2291000000,-0.0005988938,1.2114135246,35.2291000000,-0.0005988938,1.2164262252,35.2291000000
1974-06-24,-0.0014137865,1.1750583154,35.2291000000,-0.0014137865,1.2097008445,35.2291000000,-0.0014137865,1.2147064582,35.2291000000
1974-06-25,-0.0079984243,1.1656597004,35.2291000000,-0.0079984243,1.2000251439,35.2291000000,-0.0079984243,1.2049907206,35.2291000000
1974-06-26,0.0023412888,1.1683888464,35.2291000000,0.0023412888,1.2028347494,35.2291000000,0.0023412888,1.2078119519,35.2291000000
1974-06-27,-0.0075348832,1.1595851729,35.2291000000,-0.0075348832,1.1937715300,35.2291000000,-0.0075348832,1.1987112299,35.2291000000
1974-06-28,0.0056116864,1.1660924013,35.2291000000,0.0056116864,1.2004706015,35.2291000000,0.0056116864,1.2054380214,35.2291000000
1974-07-01,-0.0036182061,1.1618732386,35.2291000000,-0.0036182061,1.1961270513,35.2291000000,-0.0036182061,1.2010764981,35.2291000000
1974-07-02,-0.0110290458,1.1490588854,35.2291000000,-0.0110290458,1.1829349113,35.2291000000,-0.0110290458,1.1878297705,35.2291000000
1974-07-03,0.0011346285,1.1503626403,35.2291000000,0.0011346285,1.1842771030,35.2291000000,0.0011346285,1.1891775159,35.2291000000
1974-07-05,-0.0124068453,1.1360902690,35.2291000000,-0.0124068453,1.1695839601,35.2291000000,-0.0124068453,1.1744235744,35.2291000000
1974-07-08,0.0106812361,1.1482251173,35.2291000000,0.0106812361,1.1820765625,35.2291000000,0.0106812361,1.1869678698,35.2291000000
1974-07-09,0.0093472642,1.1589578809,35.2291000000,0.0093472642,1.1931257444,35.2291000000,0.0093472642,1.1980627721,35.2291000000
1974-07-10,-0.0006621646,1.1581904599,35.2291000000,-0.0006621646,1.1923356987,35.2291000000,-0.0006621646,1.1972694573,35.2291000000
1974-07-11,-0.0139182419,1.1420704850,35.2291000000,-0.0139182419,1.1757404821,35.2291000000,-0.0139182419,1.1806055714,35.2291000000
1974-07-12,0.0119213441,1.1556855002,35.2291000000,0.0119213441,1.1897568889,35.2291000000,0.0119213441,1.1946799766,35.2291000000
1974-07-15,-0.0002222649,1.1554286318,35.2291000000,-0.0002222649,1.1894924477,35.2291000000,-0.0002222649,1.1944144412,35.2291000000
1974-07-16,-0.0006737736,1.1546501345,35.2291000000,-0.0006737736,1.1886909991,35.2291000000,-0.0006737736,1.1936096763,35.2291000000
1974-07-17,-0.0006713421,1.1538749693,35.2291000000,-0.0006713421,1.1878929808,35.2291000000,-0.0006713421,1.1928083558,35.2291000000
1974-07-18,0.0065515804,1.1614346739,35.2291000000,0.0065515804,1.1956755571,35.2291000000,0.0065515804,1.2006231357,35.2291000000
1974-07-19,0.0072731682,1.1698819837,35.2291000000,0.0072731682,1.2043719066,35.2291000000,0.0072731682,1.2093554697,35.2291000000
1974-07-22,-0.0032014809,1.1661366288,35.2291000000,-0.0032014809,1.2005161329,35.2291000000,-0.0032014809,1.2054837412,35.2291000000
1974-07-23,-0.0041203750,1.1613317086,35.2291000000,-0.0041203750,1.1955695562,35.2291000000,-0.0041203750,1.2005166961,35.2291000000
1974-07-24,0.0024274905,1.1641508302,35.2291000000,0.0024274905,1.1984717899,35.2291000000,0.0024274905,1.2034309390,35.2291000000
1974-07-25,0.0032802371,1.1679695210,35.2291000000,0.0032802371,1.2024030616,35.2291000000,0.0032802371,1.2073784778,35.2291000000
1974-07-26,0.0080038818,1.1773178110,35.2291000000,0.0080038818,1.2120269535,35.2291000000,0.0080038818,1.2170421924,35.2291000000
1974-07-29,0.0060914931,1.1844894344,35.2291000000,0.0060914931,1.2194100074,35.2291000000,0.0060914931,1.2244557966,35.2291000000
1974-07-30,0.0133462640,1.2002979431,35.2291000000,0.0133462640,1.2356845753,35.2291000000,0.0133462640,1.2407977070,35.2291000000
1974-07-31,-0.0098981602,1.1884172018,35.2291000000,-0.0098981602,1.2234535714,35.2291000000,-0.0098981602,1.2285160925,35.2291000000
1974-08-01,0.0059163043,1.1954482395,35.2291000000,0.0059163043,1.2306918951,35.2291000000,0.0059163043,1.2357843675,35.2291000000
1974-08-02,-0.0009443829,1.1943192786,35.2291000000,-0.0009443829,1.2295296506,35.2291000000,-0.0009443829,1.2346173138,35.2291000000
1974-08-05,-0.0055752784,1.1876606162,35.2291000000,-0.0055752784,1.2226746806,35.2291000000,-0.0055752784,1.2277339787,35.2291000000
1974-08-06,0.0041746242,1.1926186530,35.2291000000,0.0041746242,1.2277788880,35.2291000000,0.0041746242,1.2328593067,35.2291000000
1974-08-07,-0.0021503037,1.1900541607,35.2291000000,-0.0021503037,1.2251387904,35.2291000000,-0.0021503037,1.2302082847,35.2291000000
1974-08-08,-0.0021684360,1.1874736044,35.2291000000,-0.0021684360,1.2224821554,35.2291000000,-0.0021684360,1.2275406568,35.2291000000
1974-08-09,-0.0001458857,1.1873003690,35.2291000000,-0.0001458857,1.2223038128,35.2291000000,-0.0001458857,1.2273615762,35.2291000000
1974-08-12,0.0014901203,1.1890695895,35.2291000000,0.0014901203,1.2241251926,35.2291000000,0.0014901203,1.2291904927,35.2291000000
1974-08-13,-0.0009674922,1.1879191739,35.2291000000,-0.0009674922,1.2229408610,35.2291000000,-0.0009674922,1.2280012605,35.2291000000
1974-08-14,0.0055955083,1.1945661855,35.2291000000,0.0055955083,1.2297838367,35.2291000000,0.0055955083,1.2348725517,35.2291000000
1974-08-15,0.0002588909,1.1948754478,35.2291000000,0.0002588909,1.2301022165,35.2291000000,0.0002588909,1.2351922490,35.2291000000
1974-08-16,-0.0041629262,1.1899012695,35.2291000000,-0.0041629262,1.2249813918,35.2291000000,-0.0041629262,1.2300502347,35.2291000000
1974-08-19,0.0006704371,1.1906990234,35.2291000000,0.0006704371,1.2258026648,35.2291000000,0.0006704371,1.2308749061,35.2291000000
1974-08-20,0.0043524891,1.1958815280,35.2291000000,0.0043524891,1.2311379576,35.2291000000,0.0043524891,1.2362322758,35.2291000000
1974-08-21,0.0004360316,1.1964029702,35.2291000000,0.0004360316,1.2316747726,35.2291000000,0.0004360316,1.2367713121,35.2291000000
1974-08-22,0.0009232906,1.1975075978,35.2291000000,0.0009232906,1.2328119664,35.2291000000,0.0009232906,1.2379132114,35.2291000000
1974-08-23,-0.0029170707,1.1940143835,35.2291000000,-0.0029170707,1.2292157667,35.2291000000,-0.0029170707,1.2343021311,35.2291000000
1974-08-26,0.0002841885,1.1943537086,35.2291000000,0.0002841885,1.2295650957,35.2291000000,0.0002841885,1.2346529056,35.2291000000
1974-08-27,-0.0009300702,1.1932428759,35.2291000000,-0.0009300702,1.2284215139,35.2291000000,-0.0009300702,1.2335045917,35.2291000000
1974-08-28,0.0015070843,1.1950411935,35.2291000000,0.0015070843,1.2302728487,35.2291000000,0.0015070843,1.2353635871,35.2291000000
1974-08-29,0.0009159796,1.1961358269,35.2291000000,0.0009159796,1.2313997535,35.2291000000,0.0009159796,1.2364951550,35.2291000000
1974-08-30,0.0016402457,1.1980977835,35.2291000000,0.0016402457,1.2334195517,35.2291000000,0.0016402457,1.2385233109,35.2291000000
1974-09-03,0.0055117305,1.2047013756,35.2291000000,0.0055117305,1.2402178278,35.2291000000,0.0055117305,1.2453497176,35.2291000000
1974-09-04,-0.0024835044,1.2017094945,35.2291000000,-0.0024835044,1.2371377415,35.2291000000,-0.0024835044,1.2422568861,35.2291000000
1974-09-05,0.0014720274,1.2034784438,35.2291000000,0.0014720274,1.2389588421,35.2291000000,0.0014720274,1.2440855223,35.2291000000
1974-09-06,0.0002737718,1.2038079223,35.2291000000,0.0002737718,1.2392980341,35.2291000000,0.0002737718,1.2444261179,35.2291000000
1974-09-09,-0.0021104544,1.2012673406,35.2291000000,-0.0021104544,1.2366825522,35.2291000000,-0.0021104544,1.2417998134,35.2291000000
1974-09-10,-0.0037382932,1.1967766511,35.2291000000,-0.0037382932,1.2320594702,35.2291000000,-0.0037382932,1.2371576016,35.2291000000
1974-09-11,-0.0009536789,1.1956353104,35.2291000000,-0.0009536789,1.2308844811,35.2291000000,-0.0009536789,1.2359777504,35.2291000000
1974-09-12,0.0023193007,1.1984083483,35.2291000000,0.0023193007,1.2337392723,35.2291000000,0.0023193007,1.2388443545,35.2291000000
1974-09-13,-0.0007091827,1.1975584578,35.2291000000,-0.0007091827,1.2328643258,35.2291000000,-0.0007091827,1.2379657875,35.2291000000
1974-09-16,-0.0008197764,1.1965767276,35.2291000000,-0.0008197764,1.2318536527,35.2291000000,-0.0008197764,1.2369509324,35.2291000000
1974-09-17,-0.0040982018,1.1916729147,35.2291000000,-0.0040982018,1.2268052678,35.2291000000,-0.0040982018,1.2318816578,35.2291000000
1974-09-18,-0.0099286811,1.1798411743,35.2291000000,-0.0099286811,1.2146247095,35.2291000000,-0.0099286811,1.2196506977,35.2291000000
1974-09-19,0.0095850813,1.1911500480,35.2291000000,0.0095850813,1.2262669862,35.2291000000,0.0095850813,1.2313411488,35.2291000000
1974-09-20,-0.0021341109,1.1886080017,35.2291000000,-0.0021341109,1.2236499965,35.2291000000,-0.0021341109,1.2287133303,35.2291000000
1974-09-23,-0.0002178707,1.1883490388,35.2291000000,-0.0002178707,1.2233833990,35.2291000000,-0.0002178707,1.2284456296,35.2291000000
1974-09-24,0.0002062123,1.1885940910,35.2291000000,0.0002062123,1.2236356757,35.2291000000,0.0002062123,1.2286989502,35.2291000000
1974-09-25,-0.0002144186,1.1883392343,35.2291000000,-0.0002144186,1.2233733054,35.2291000000,-0.0002144186,1.2284354943,35.2291000000
1974-09-26,-0.0020001537,1.1859623732,35.2291000000,-0.0020001537,1.2209263708,35.2291000000,-0.0020001537,1.2259784345,35.2291000000
1974-09-27,-0.0001601897,1.1857723942,35.2291000000,-0.0001601897,1.2207307909,35.2291000000,-0.0001601897,1.2257820454,35.2291000000
1974-09-30,0.0027488126,1.1890318603,35.2291000000,0.0027488126,1.2240863511,35.2291000000,0.0027488126,1.2291514905,35.2291000000
1974-10-01,0.0103667753,1.2013582864,35.2291000000,0.0103667753,1.2367761792,35.2291000000,0.0103667753,1.2418938277,35.2291000000
1974-10-02,0.0026432567,1.2045337847,35.2291000000,0.0026432567,1.2400452961,35.2291000000,0.0026432567,1.2451764719,35.2291000000
1974-10-03,-0.0006788011,1.2037161458,35.2291000000,-0.0006788011,1.2392035519,35.2291000000,-0.0006788011,1.2443312447,35.2291000000
1974-10-04,0.0063430821,1.2113514161,35.2291000000,0.0063430821,1.2470639217,35.2291000000,0.0063430821,1.2522241399,35.2291000000
1974-10-07,0.0029568372,1.2149331850,35.2291000000,0.0029568372,1.2507512867,35.2291000000,0.0029568372,1.2559267628,35.2291000000
