strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.5,6.6,0.2,0.28,0.0,7,83,0.0,143.4,3430.9,2,bond100
sc2.6,0.6,5.0,0.16,,0.0,0,133,5.0,137.4,5103.2,0,bond100
sc2.6,0.6,5.0,0.16,0.24,0.0,0,132,5.0,137.4,5103.2,0,bond100
sc2.6,0.6,5.0,0.16,0.28,0.0,0,132,5.0,137.4,5103.2,0,bond100
sc2.6,0.6,5.0,0.18,,0.0,0,97,5.0,139.6,3953.5,0,bond100
sc2.6,0.6,5.0,0.18,0.24,0.0,2,92,0.0,139.6,3953.5,1,bond100
sc2.6,0.6,5.0,0.18,0.28,0.0,2,91,0.0,139.6,3953.5,1,bond100
sc2.6,0.6,5.0,0.2,,0.0,0,72,5.0,141.8,3953.5,0,bond100
sc2.6,0.6,5.0,0.2,0.24,0.0,0,71,5.0,141.8,3953.5,0,bond100
sc2.6,0.6,5.0,0.2,0.28,0.0,0,70,5.0,141.8,3953.5,0,bond100
sc2.6,0.6,5.5,0.16,,0.0,0,146,5.5,138.1,4029.0,0,bond100
sc2.6,0.6,5.5,0.16,0.24,0.0,0,142,5.5,138.1,4029.0,0,bond100
sc2.6,0.6,5.5,0.16,0.28,0.0,0,142,5.5,138.1,4029.0,0,bond100
sc2.6,0.6,5.5,0.18,,0.0,0,97,5.5,140.6,5059.5,0,bond100
sc2.6,0.6,5.5,0.18,0.24,0.0,0,94,5.5,140.6,5059.5,0,bond100
sc2.6,0.6,5.5,0.18,0.28,0.0,0,91,5.5,140.6,5059.5,0,bond100
sc2.6,0.6,5.5,0.2,,0.0,8,86,0.0,141.4,4546.0,1,bond100
sc2.6,0.6,5.5,0.2,0.24,0.0,8,84,0.0,141.4,4546.0,1,bond100
sc2.6,0.6,5.5,0.2,0.28,0.0,8,83,0.0,141.4,4546.0,1,bond100
sc2.6,0.6,6.0,0.16,,0.0,0,175,6.0,139.2,3998.0,0,bond100
sc2.6,0.6,6.0,0.16,0.24,0.0,0,164,6.0,139.2,3998.0,0,bond100
sc2.6,0.6,6.0,0.16,0.28,0.0,0,162,6.0,139.2,3998.0,0,bond100
sc2.6,0.6,6.0,0.18,,0.0,0,106,6.0,141.6,4770.8,0,bond100
sc2.6,0.6,6.0,0.18,0.24,0.0,0,105,6.0,141.6,4770.8,0,bond100
sc2.6,0.6,6.0,0.18,0.28,0.0,0,105,6.0,141.6,4770.8,0,bond100
sc2.6,0.6,6.0,0.2,,0.0,11,90,0.0,142.2,4770.8,2,bond100
sc2.6,0.6,6.0,0.2,0.24,0.0,11,90,0.0,142.2,4770.8,2,bond100
sc2.6,0.6,6.0,0.2,0.28,0.0,11,89,0.0,142.2,4770.8,2,bond100
sc2.6,0.6,6.37,0.16,,0.0,8,186,0.0,140.3,4054.8,2,bond100
sc2.6,0.6,6.37,0.16,0.24,0.0,8,185,0.0,140.3,4054.8,2,bond100
sc2.6,0.6,6.37,0.16,0.28,0.0,8,184,0.0,140.3,4054.8,2,bond100
sc2.6,0.6,6.37,0.18,,0.0,20,127,0.0,142.3,4981.0,3,bond100
sc2.6,0.6,6.37,0.18,0.24,0.0,20,125,0.0,142.3,4981.0,3,bond100
sc2.6,0.6,6.37,0.18,0.28,0.0,20,125,0.0,142.3,4981.0,3,bond100
sc2.6,0.6,6.37,0.2,,0.0,20,107,0.0,142.3,4770.8,3,bond100
sc2.6,0.6,6.37,0.2,0.24,0.0,20,106,0.0,142.3,4770.8,3,bond100
sc2.6,0.6,6.37,0.2,0.28,0.0,20,106,0.0,142.3,4770.8,3,bond100
sc2.6,0.6,6.6,0.16,,0.0,21,199,0.0,141.9,3570.9,3,bond100
sc2.6,0.6,6.6,0.16,0.24,0.0,21,195,0.0,141.9,3570.9,3,bond100
sc2.6,0.6,6.6,0.16,0.28,0.0,21,195,0.0,141.9,3570.9,3,bond100
sc2.6,0.6,6.6,0.18,,0.0,16,133,0.0,142.8,4770.8,3,bond100
sc2.6,0.6,6.6,0.18,0.24,0.0,16,128,0.0,142.8,4770.8,3,bond100
sc2.6,0.6,6.6,0.18,0.28,0.0,16,127,0.0,142.8,4770.8,3,bond100
sc2.6,0.6,6.6,0.2,,0.0,17,106,0.0,142.8,4770.8,3,bond100
sc2.6,0.6,6.6,0.2,0.24,0.0,17,103,0.0,142.8,4770.8,3,bond100
sc2.6,0.6,6.6,0.2,0.28,0.0,17,100,0.0,142.8,4770.8,3,bond100
sc2.6,0.45,5.0,0.16,,0.0,0,136,5.0,137.4,4966.0,0,b80g20
sc2.6,0.45,5.0,0.16,0.24,0.0,0,134,5.0,137.4,4966.0,0,b80g20
sc2.6,0.45,5.0,0.16,0.28,0.0,0,134,5.0,137.4,4966.0,0,b80g20
sc2.6,0.45,5.0,0.18,,0.0,13,93,0.0,140.7,5393.8,2,b80g20
sc2.6,0.45,5.0,0.18,0.24,0.0,13,92,0.0,140.7,5393.8,2,b80g20
sc2.6,0.45,5.0,0.18,0.28,0.0,13,92,0.0,140.7,5393.8,2,b80g20
sc2.6,0.45,5.0,0.2,,0.0,14,78,0.0,141.8,5084.9,2,b80g20
sc2.6,0.45,5.0,0.2,0.24,0.0,14,78,0.0,141.8,5084.9,2,b80g20
sc2.6,0.45,5.0,0.2,0.28,0.0,14,77,0.0,141.8,5084.9,2,b80g20
sc2.6,0.45,5.5,0.16,,0.0,0,145,5.5,138.9,4721.8,0,b80g20
sc2.6,0.45,5.5,0.16,0.24,0.0,0,141,5.5,138.9,4721.8,0,b80g20
sc2.6,0.45,5.5,0.16,0.28,0.0,0,141,5.5,138.9,4721.8,0,b80g20
sc2.6,0.45,5.5,0.18,,0.0,15,98,0.0,140.6,5323.6,2,b80g20
sc2.6,0.45,5.5,0.18,0.24,0.0,15,97,0.0,140.6,5323.6,2,b80g20
sc2.6,0.45,5.5,0.18,0.28,0.0,15,96,0.0,140.6,5323.6,2,b80g20
sc2.6,0.45,5.5,0.2,,0.0,15,79,0.0,142.3,5084.9,2,b80g20
sc2.6,0.45,5.5,0.2,0.24,0.0,15,79,0.0,142.3,5084.9,2,b80g20
sc2.6,0.45,5.5,0.2,0.28,0.0,15,78,0.0,142.3,5084.9,2,b80g20
sc2.6,0.45,6.0,0.16,,0.0,9,176,0.0,140.4,3720.3,2,b80g20
sc2.6,0.45,6.0,0.16,0.24,0.0,9,172,0.0,140.4,3720.3,2,b80g20
sc2.6,0.45,6.0,0.16,0.28,0.0,9,171,0.0,140.4,3720.3,2,b80g20
sc2.6,0.45,6.0,0.18,,0.0,16,105,0.0,141.6,4827.2,2,b80g20
sc2.6,0.45,6.0,0.18,0.24,0.0,16,102,0.0,141.6,4827.2,2,b80g20
sc2.6,0.45,6.0,0.18,0.28,0.0,16,100,0.0,141.6,4827.2,2,b80g20
sc2.6,0.45,6.0,0.2,,0.0,16,85,0.0,142.8,4563.7,2,b80g20
sc2.6,0.45,6.0,0.2,0.24,0.0,16,83,0.0,142.8,4563.7,2,b80g20
sc2.6,0.45,6.0,0.2,0.28,0.0,16,81,0.0,142.8,4563.7,2,b80g20
sc2.6,0.45,6.37,0.16,,0.0,4,164,0.0,141.5,4422.6,1,b80g20
sc2.6,0.45,6.37,0.16,0.24,0.0,4,159,0.0,141.5,4422.6,1,b80g20
sc2.6,0.45,6.37,0.16,0.28,0.0,4,157,0.0,141.5,4422.6,1,b80g20
sc2.6,0.45,6.37,0.18,,0.0,19,107,0.0,142.3,4712.7,3,b80g20
sc2.6,0.45,6.37,0.18,0.24,0.0,19,106,0.0,142.3,4712.7,3,b80g20
sc2.6,0.45,6.37,0.18,0.28,0.0,19,106,0.0,142.3,4712.7,3,b80g20
sc2.6,0.45,6.37,0.2,,0.0,19,88,0.0,143.2,4511.8,3,b80g20
sc2.6,0.45,6.37,0.2,0.24,0.0,19,87,0.0,143.2,4511.8,3,b80g20
sc2.6,0.45,6.37,0.2,0.28,0.0,19,87,0.0,143.2,4511.8,3,b80g20
sc2.6,0.45,6.6,0.16,,0.0,17,178,0.0,142.2,3828.3,3,b80g20
sc2.6,0.45,6.6,0.16,0.24,0.0,17,173,0.0,142.2,3828.3,3,b80g20
sc2.6,0.45,6.6,0.16,0.28,0.0,17,173,0.0,142.2,3828.3,3,b80g20
sc2.6,0.45,6.6,0.18,,0.0,22,109,0.0,142.8,4641.6,3,b80g20
sc2.6,0.45,6.6,0.18,0.24,0.0,22,109,0.0,142.8,4641.6,3,b80g20
sc2.6,0.45,6.6,0.18,0.28,0.0,22,108,0.0,142.8,4641.6,3,b80g20
sc2.6,0.45,6.6,0.2,,0.0,22,92,0.0,143.4,4479.5,3,b80g20
sc2.6,0.45,6.6,0.2,0.24,0.0,22,90,0.0,143.4,4479.5,3,b80g20
sc2.6,0.45,6.6,0.2,0.28,0.0,22,89,0.0,143.4,4479.5,3,b80g20
sc2.6,0.5,5.0,0.16,,0.0,0,137,5.0,137.4,6868.4,0,b80g20
sc2.6,0.5,5.0,0.16,0.24,0.0,0,135,5.0,137.4,6868.4,0,b80g20
sc2.6,0.5,5.0,0.16,0.28,0.0,0,134,5.0,137.4,6868.4,0,b80g20
sc2.6,0.5,5.0,0.18,,0.0,0,87,5.0,139.6,4064.5,0,b80g20
sc2.6,0.5,5.0,0.18,0.24,0.0,0,83,5.0,139.6,4064.5,0,b80g20
sc2.6,0.5,5.0,0.18,0.28,0.0,0,82,5.0,139.6,4064.5,0,b80g20
sc2.6,0.5,5.0,0.2,,0.0,0,66,5.0,141.8,4195.2,0,b80g20
sc2.6,0.5,5.0,0.2,0.24,0.0,0,65,5.0,141.8,4195.2,0,b80g20
sc2.6,0.5,5.0,0.2,0.28,0.0,0,64,5.0,141.8,4195.2,0,b80g20
sc2.6,0.5,5.5,0.16,,0.0,7,146,0.0,138.9,6671.9,1,b80g20
sc2.6,0.5,5.5,0.16,0.24,0.0,7,145,0.0,138.9,6671.9,1,b80g20
sc2.6,0.5,5.5,0.16,0.28,0.0,7,145,0.0,138.9,6671.9,1,b80g20
sc2.6,0.5,5.5,0.18,,0.0,0,89,5.5,141.4,3873.2,0,b80g20
sc2.6,0.5,5.5,0.18,0.24,0.0,0,85,5.5,141.4,3873.2,0,b80g20
sc2.6,0.5,5.5,0.18,0.28,0.0,0,84,5.5,141.4,3873.2,0,b80g20
sc2.6,0.5,5.5,0.2,,0.0,0,69,5.5,142.3,4195.2,0,b80g20
sc2.6,0.5,5.5,0.2,0.24,0.0,0,67,5.5,142.3,4195.2,0,b80g20
sc2.6,0.5,5.5,0.2,0.28,0.0,0,67,5.5,142.3,4195.2,0,b80g20
sc2.6,0.5,6.0,0.16,,0.0,0,150,6.0,140.4,5209.4,0,b80g20
sc2.6,0.5,6.0,0.16,0.24,0.0,0,145,6.0,140.4,5209.4,0,b80g20
sc2.6,0.5,6.0,0.16,0.28,0.0,0,145,6.0,140.4,5209.4,0,b80g20
sc2.6,0.5,6.0,0.18,,0.0,1,98,1.52,142.2,3681.9,1,b80g20
sc2.6,0.5,6.0,0.18,0.24,0.0,1,94,1.52,142.2,3681.9,1,b80g20
sc2.6,0.5,6.0,0.18,0.28,0.0,1,93,1.52,142.2,3681.9,1,b80g20
sc2.6,0.5,6.0,0.2,,0.0,1,78,1.52,142.8,3687.1,1,b80g20
sc2.6,0.5,6.0,0.2,0.24,0.0,1,75,1.52,142.8,3687.1,1,b80g20
sc2.6,0.5,6.0,0.2,0.28,0.0,1,73,1.52,142.8,3687.1,1,b80g20
sc2.6,0.5,6.37,0.16,,0.0,4,168,0.0,141.1,3662.1,1,b80g20
sc2.6,0.5,6.37,0.16,0.24,0.0,4,162,0.0,141.5,3662.1,1,b80g20
sc2.6,0.5,6.37,0.16,0.28,0.0,4,161,0.0,141.5,3662.1,1,b80g20
sc2.6,0.5,6.37,0.18,,0.0,13,109,0.0,142.3,3004.9,2,b80g20
sc2.6,0.5,6.37,0.18,0.24,0.0,13,108,0.0,142.3,3004.9,2,b80g20
sc2.6,0.5,6.37,0.18,0.28,0.0,13,107,0.0,142.3,3004.9,2,b80g20
sc2.6,0.5,6.37,0.2,,0.0,7,84,0.0,143.2,3524.6,2,b80g20
