start_year,strategy,elapsed_year,calendar_year,asset_yen,backfilled
1975,NASDAQ_1x_BH,3,1977,30404689,0
1975,NASDAQ_1x_BH,4,1978,28541786,0
1975,NASDAQ_1x_BH,5,1979,29631501,0
1975,NASDAQ_1x_BH,6,1980,32175861,0
1975,NASDAQ_1x_BH,7,1981,26939683,0
1975,NASDAQ_1x_BH,8,1982,25906614,0
1975,NASDAQ_1x_BH,9,1983,24925862,0
1975,NASDAQ_1x_BH,10,1984,18516044,0
1975,NASDAQ_1x_BH,11,1985,23339473,1
1975,NASDAQ_1x_BH,12,1986,19986797,0
1975,NASDAQ_1x_BH,13,1987,19119370,1
1975,NASDAQ_1x_BH,14,1988,21555178,1
1975,NASDAQ_1x_BH,15,1989,19770362,0
1975,NASDAQ_1x_BH,16,1990,16858188,1
1975,NASDAQ_1x_BH,17,1991,24788279,1
1975,NASDAQ_1x_BH,18,1992,22881121,0
1975,NASDAQ_1x_BH,19,1993,20623618,0
1975,NASDAQ_1x_BH,20,1994,15696342,0
1980,P09_STR_sc1.0,1,1980,31229850,0
1980,P09_STR_sc1.0,2,1981,25901225,0
1980,P09_STR_sc1.0,3,1982,36275076,0
1980,P09_STR_sc1.0,4,1983,44405668,0
1980,P09_STR_sc1.0,5,1984,38971876,0
1980,P09_STR_sc1.0,6,1985,53269390,0
1980,P09_STR_sc1.0,7,1986,60410643,0
1980,P09_STR_sc1.0,8,1987,83435452,0
1980,P09_STR_sc1.0,9,1988,69415837,0
1980,P09_STR_sc1.0,10,1989,84429537,0
1980,P09_STR_sc1.0,11,1990,68115952,0
1980,P09_STR_sc1.0,12,1991,84481984,0
1980,P09_STR_sc1.0,13,1992,103520682,0
1980,P09_STR_sc1.0,14,1993,109289127,0
1980,P09_STR_sc1.0,15,1994,102169398,0
1980,P09_STR_sc1.0,16,1995,155909661,0
1980,P09_STR_sc1.0,17,1996,180298624,0
1980,P09_STR_sc1.0,18,1997,214404002,0
1980,P09_STR_sc1.0,19,1998,318487342,0
1980,P09_STR_sc1.0,20,1999,543543488,0
1980,P09_STR_sc1.4,1,1980,33660000,0
1980,P09_STR_sc1.4,2,1981,28626372,0
1980,P09_STR_sc1.4,3,1982,46735195,0
1980,P09_STR_sc1.4,4,1983,67576312,0
1980,P09_STR_sc1.4,5,1984,61669711,0
1980,P09_STR_sc1.4,6,1985,99812598,0
1980,P09_STR_sc1.4,7,1986,121733250,0
1980,P09_STR_sc1.4,8,1987,199788904,0
1980,P09_STR_sc1.4,9,1988,163554457,0
1980,P09_STR_sc1.4,10,1989,220815303,0
1980,P09_STR_sc1.4,11,1990,173225295,0
1980,P09_STR_sc1.4,12,1991,244617932,0
1980,P09_STR_sc1.4,13,1992,339262626,0
1980,P09_STR_sc1.4,14,1993,363552212,0
1980,P09_STR_sc1.4,15,1994,343397536,0
1980,P09_STR_sc1.4,16,1995,629908850,0
1980,P09_STR_sc1.4,17,1996,793393667,0
1980,P09_STR_sc1.4,18,1997,1038341844,0
1980,P09_STR_sc1.4,19,1998,1770350774,0
1980,P09_STR_sc1.4,20,1999,3749607534,0
1980,P09_STR_sc1.6,1,1980,34878900,0
1980,P09_STR_sc1.6,2,1981,30014353,0
1980,P09_STR_sc1.6,3,1982,52766234,0
1980,P09_STR_sc1.6,4,1983,82583526,0
1980,P09_STR_sc1.6,5,1984,76342263,0
1980,P09_STR_sc1.6,6,1985,133202741,0
1980,P09_STR_sc1.6,7,1986,166618568,0
1980,P09_STR_sc1.6,8,1987,295039582,0
1980,P09_STR_sc1.6,9,1988,237312731,0
1980,P09_STR_sc1.6,10,1989,333480956,0
1980,P09_STR_sc1.6,11,1990,255058935,0
1980,P09_STR_sc1.6,12,1991,378293880,0
1980,P09_STR_sc1.6,13,1992,550598385,0
1980,P09_STR_sc1.6,14,1993,587219593,0
1980,P09_STR_sc1.6,15,1994,551077919,0
1980,P09_STR_sc1.6,16,1995,1094959546,0
1980,P09_STR_sc1.6,17,1996,1424249213,0
1980,P09_STR_sc1.6,18,1997,1938951500,0
1980,P09_STR_sc1.6,19,1998,3506193344,0
1980,P09_STR_sc1.6,20,1999,8187309207,0
1980,P09_STR_sc1.8,1,1980,36095250,0
1980,P09_STR_sc1.8,2,1981,31415157,0
1980,P09_STR_sc1.8,3,1982,59374837,0
1980,P09_STR_sc1.8,4,1983,100366076,0
1980,P09_STR_sc1.8,5,1984,93689916,0
1980,P09_STR_sc1.8,6,1985,175490079,0
1980,P09_STR_sc1.8,7,1986,224116696,0
1980,P09_STR_sc1.8,8,1987,426583471,0
1980,P09_STR_sc1.8,9,1988,336105068,0
1980,P09_STR_sc1.8,10,1989,489614883,0
1980,P09_STR_sc1.8,11,1990,363884674,0
1980,P09_STR_sc1.8,12,1991,563730799,0
1980,P09_STR_sc1.8,13,1992,857412661,0
1980,P09_STR_sc1.8,14,1993,907072615,0
1980,P09_STR_sc1.8,15,1994,843093080,0
1980,P09_STR_sc1.8,16,1995,1808929132,0
1980,P09_STR_sc1.8,17,1996,2422265667,0
1980,P09_STR_sc1.8,18,1997,3423314407,0
1980,P09_STR_sc1.8,19,1998,6542585131,0
1980,P09_STR_sc1.8,20,1999,16761035042,0
1980,P09_STR_sc2.0,1,1980,37303950,0
1980,P09_STR_sc2.0,2,1981,32820352,0
1980,P09_STR_sc2.0,3,1982,66578315,0
1980,P09_STR_sc2.0,4,1983,121319652,0
1980,P09_STR_sc2.0,5,1984,114086072,0
1980,P09_STR_sc2.0,6,1985,228662298,0
1980,P09_STR_sc2.0,7,1986,297127126,0
1980,P09_STR_sc2.0,8,1987,606294142,0
1980,P09_STR_sc2.0,9,1988,466992254,0
1980,P09_STR_sc2.0,10,1989,703265722,0
1980,P09_STR_sc2.0,11,1990,506744902,0
1980,P09_STR_sc2.0,12,1991,816700434,0
1980,P09_STR_sc2.0,13,1992,1294241392,0
1980,P09_STR_sc2.0,14,1993,1355002307,0
1980,P09_STR_sc2.0,15,1994,1244757976,0
1980,P09_STR_sc2.0,16,1995,2878142659,0
1980,P09_STR_sc2.0,17,1996,3958155399,0
1980,P09_STR_sc2.0,18,1997,5798826373,0
1980,P09_STR_sc2.0,19,1998,11677885373,0
1980,P09_STR_sc2.0,20,1999,32669136304,0
1980,P09_STR_sc2.2,1,1980,38499900,0
1980,P09_STR_sc2.2,2,1981,34227699,0
1980,P09_STR_sc2.2,3,1982,74402486,0
1980,P09_STR_sc2.2,4,1983,145900469,0
1980,P09_STR_sc2.2,5,1984,137936157,0
1980,P09_STR_sc2.2,6,1985,295054030,0
1980,P09_STR_sc2.2,7,1986,388993736,0
1980,P09_STR_sc2.2,8,1987,849231315,0
1980,P09_STR_sc2.2,9,1988,638616874,0
1980,P09_STR_sc2.2,10,1989,992075849,0
1980,P09_STR_sc2.2,11,1990,692093155,0
1980,P09_STR_sc2.2,12,1991,1156256650,0
1980,P09_STR_sc2.2,13,1992,1904429620,0
1980,P09_STR_sc2.2,14,1993,1969277051,0
1980,P09_STR_sc2.2,15,1994,1784803474,0
1980,P09_STR_sc2.2,16,1995,4439898833,0
1980,P09_STR_sc2.2,17,1996,6257017133,0
1980,P09_STR_sc2.2,18,1997,9491321008,0
1980,P09_STR_sc2.2,19,1998,20082651393,0
1980,P09_STR_sc2.2,20,1999,61061674015,0
1980,P09_STR_sc2.4,1,1980,39678000,0
1980,P09_STR_sc2.4,2,1981,35628278,0
1980,P09_STR_sc2.4,3,1982,82854139,0
1980,P09_STR_sc2.4,4,1983,174573021,0
1980,P09_STR_sc2.4,5,1984,165668130,0
1980,P09_STR_sc2.4,6,1985,377391292,0
1980,P09_STR_sc2.4,7,1986,503701558,0
1980,P09_STR_sc2.4,8,1987,1174571345,0
1980,P09_STR_sc2.4,9,1988,861523531,0
1980,P09_STR_sc2.4,10,1989,1378350945,0
1980,P09_STR_sc2.4,11,1990,929959705,0
1980,P09_STR_sc2.4,12,1991,1605580042,0
1980,P09_STR_sc2.4,13,1992,2742650112,0
1980,P09_STR_sc2.4,14,1993,2796746524,0
1980,P09_STR_sc2.4,15,1994,2497385291,0
1980,P09_STR_sc2.4,16,1995,6673952502,0
1980,P09_STR_sc2.4,17,1996,9619351343,0
1980,P09_STR_sc2.4,18,1997,15092432154,0
1980,P09_STR_sc2.4,19,1998,33455980758,0
1980,P09_STR_sc2.4,20,1999,110028610509,0
1980,NASDAQ_1x_BH,1,1980,32647650,0
1980,NASDAQ_1x_BH,2,1981,27398923,0
1980,NASDAQ_1x_BH,3,1982,26436806,0
1980,NASDAQ_1x_BH,4,1983,25543217,0
1980,NASDAQ_1x_BH,5,1984,19075676,0
1980,NASDAQ_1x_BH,6,1985,24044890,1
1980,NASDAQ_1x_BH,7,1986,20735174,0
1980,NASDAQ_1x_BH,8,1987,15530567,0
1980,NASDAQ_1x_BH,9,1988,17509161,1
1980,NASDAQ_1x_BH,10,1989,20296620,1
1980,NASDAQ_1x_BH,11,1990,13469778,0
1980,NASDAQ_1x_BH,12,1991,19805961,1
1980,NASDAQ_1x_BH,13,1992,22337163,1
1980,NASDAQ_1x_BH,14,1993,20013297,0
1980,NASDAQ_1x_BH,15,1994,15102194,0
1980,NASDAQ_1x_BH,16,1995,20088939,1
1980,NASDAQ_1x_BH,17,1996,18516542,0
1980,NASDAQ_1x_BH,18,1997,21831003,1
1980,NASDAQ_1x_BH,19,1998,23013839,0
1980,NASDAQ_1x_BH,20,1999,31621636,0
1985,P09_STR_sc1.0,1,1985,39405150,0
1985,P09_STR_sc1.0,2,1986,43237009,0
1985,P09_STR_sc1.0,3,1987,57807239,0
1985,P09_STR_sc1.0,4,1988,46878386,0
1985,P09_STR_sc1.0,5,1989,55117329,0
1985,P09_STR_sc1.0,6,1990,43136088,0
1985,P09_STR_sc1.0,7,1991,51308724,0
1985,P09_STR_sc1.0,8,1992,60584532,0
1985,P09_STR_sc1.0,9,1993,61900498,0
1985,P09_STR_sc1.0,10,1994,55965485,0
