section,scenario,convention,config,seed,p_labor0,floor_M,term_real_med_M
2_floor_decay,S0_none,lookahead,,20260633,1.0,1.2,
2_floor_decay,S0_none,lookahead,,20260629,1.0,1.6,
2_floor_decay,S0_none,lookahead,,20260630,1.0,1.6,
2_floor_decay,S0_none,lookahead,,20260631,1.0,1.6,
2_floor_decay,S0_none,lookahead,,20260632,1.0,1.6,
2_floor_decay,S0_none,lookahead,,20260633,1.0,1.6,
2_floor_decay,S0_none,lookahead,,20260629,1.0,2.0,
2_floor_decay,S0_none,lookahead,,20260630,1.0,2.0,
2_floor_decay,S0_none,lookahead,,20260631,1.0,2.0,
2_floor_decay,S0_none,lookahead,,20260632,1.0,2.0,
2_floor_decay,S0_none,lookahead,,20260633,1.0,2.0,
2_floor_decay,S0_none,lookahead,,20260629,1.0,2.4,
2_floor_decay,S0_none,lookahead,,20260630,1.0,2.4,
2_floor_decay,S0_none,lookahead,,20260631,1.0,2.4,
2_floor_decay,S0_none,lookahead,,20260632,1.0,2.4,
2_floor_decay,S0_none,lookahead,,20260633,1.0,2.4,
2_floor_decay,S0_none,lookahead,,20260629,1.0,2.8,
2_floor_decay,S0_none,lookahead,,20260630,1.0,2.8,
2_floor_decay,S0_none,lookahead,,20260631,1.0,2.8,
2_floor_decay,S0_none,lookahead,,20260632,1.0,2.8,
2_floor_decay,S0_none,lookahead,,20260633,1.0,2.8,
2_floor_decay,S0_none,lookahead,,20260629,0.9995,3.2,
2_floor_decay,S0_none,lookahead,,20260630,1.0,3.2,
2_floor_decay,S0_none,lookahead,,20260631,0.9995,3.2,
2_floor_decay,S0_none,lookahead,,20260632,0.9995,3.2,
2_floor_decay,S0_none,lookahead,,20260633,1.0,3.2,
2_floor_decay,S0_none,lookahead,,20260629,0.9995,3.6,
2_floor_decay,S0_none,lookahead,,20260630,0.9995,3.6,
2_floor_decay,S0_none,lookahead,,20260631,0.999,3.6,
2_floor_decay,S0_none,lookahead,,20260632,0.9985,3.6,
2_floor_decay,S0_none,lookahead,,20260633,0.999,3.6,
2_floor_decay,S0_none,lagged,,20260629,1.0,1.2,
2_floor_decay,S0_none,lagged,,20260630,1.0,1.2,
2_floor_decay,S0_none,lagged,,20260631,1.0,1.2,
2_floor_decay,S0_none,lagged,,20260632,1.0,1.2,
2_floor_decay,S0_none,lagged,,20260633,1.0,1.2,
2_floor_decay,S0_none,lagged,,20260629,1.0,1.6,
2_floor_decay,S0_none,lagged,,20260630,1.0,1.6,
2_floor_decay,S0_none,lagged,,20260631,1.0,1.6,
2_floor_decay,S0_none,lagged,,20260632,1.0,1.6,
2_floor_decay,S0_none,lagged,,20260633,1.0,1.6,
2_floor_decay,S0_none,lagged,,20260629,1.0,2.0,
2_floor_decay,S0_none,lagged,,20260630,1.0,2.0,
2_floor_decay,S0_none,lagged,,20260631,1.0,2.0,
2_floor_decay,S0_none,lagged,,20260632,1.0,2.0,
2_floor_decay,S0_none,lagged,,20260633,1.0,2.0,
2_floor_decay,S0_none,lagged,,20260629,1.0,2.4,
