start_year,strategy,survived,ruin_year_elapsed,asset_y10_yen,asset_y20_yen,ever_below_15M,first_below_15M_elapsed
1995,P09_STR_sc2.4,1,,2440463971,56072873474,0,
1996,P09_STR_sc2.4,1,,674689073,10334205855,0,
1997,P09_STR_sc2.4,1,,1075569141,8002892046,0,
1998,P09_STR_sc2.4,1,,830855139,9460165683,0,
1999,P09_STR_sc2.4,1,,362084231,3208586298,0,
2000,P09_STR_sc2.4,0,6,0,0,1,2
2001,P09_STR_sc2.4,1,,248400046,2498586987,0,
2002,P09_STR_sc2.4,1,,456695426,7582827743,0,
2003,P09_STR_sc2.4,1,,900075651,9105422577,0,
2004,P09_STR_sc2.4,0,7,0,0,1,2
2005,P09_STR_sc2.4,1,,157705841,2084858228,0,
1975,NASDAQ_1x_BH,0,9,0,0,1,6
1976,NASDAQ_1x_BH,0,8,0,0,1,6
1977,NASDAQ_1x_BH,0,7,0,0,1,5
1978,NASDAQ_1x_BH,0,8,0,0,1,5
1979,NASDAQ_1x_BH,0,8,0,0,1,6
1980,NASDAQ_1x_BH,0,7,0,0,1,5
1981,NASDAQ_1x_BH,0,6,0,0,1,4
1982,NASDAQ_1x_BH,0,7,0,0,1,4
1983,NASDAQ_1x_BH,0,6,0,0,1,4
1984,NASDAQ_1x_BH,0,6,0,0,1,3
1985,NASDAQ_1x_BH,0,7,0,0,1,4
1986,NASDAQ_1x_BH,0,6,0,0,1,3
1987,NASDAQ_1x_BH,0,6,0,0,1,4
1988,NASDAQ_1x_BH,0,7,0,0,1,4
1989,NASDAQ_1x_BH,0,7,0,0,1,4
1990,NASDAQ_1x_BH,0,7,0,0,1,4
1991,NASDAQ_1x_BH,0,12,6591924,0,1,10
1992,NASDAQ_1x_BH,0,7,0,0,1,4
1993,NASDAQ_1x_BH,0,8,0,0,1,5
1994,NASDAQ_1x_BH,0,8,0,0,1,5
1995,NASDAQ_1x_BH,0,10,0,0,1,8
1996,NASDAQ_1x_BH,0,8,0,0,1,6
1997,NASDAQ_1x_BH,0,8,0,0,1,5
1998,NASDAQ_1x_BH,0,7,0,0,1,5
1999,NASDAQ_1x_BH,0,6,0,0,1,3
2000,NASDAQ_1x_BH,0,4,0,0,1,2
2001,NASDAQ_1x_BH,0,4,0,0,1,2
2002,NASDAQ_1x_BH,0,5,0,0,1,3
2003,NASDAQ_1x_BH,0,7,0,0,1,5
2004,NASDAQ_1x_BH,0,6,0,0,1,4
2005,NASDAQ_1x_BH,0,5,0,0,1,3
