strategy,run_M,reserve_M,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,starts_with_labor_list,topup_events_total,ruin_total,terminal_median_M,terminal_min_M,min_total_floor_M
sc1.6,20.0000,20.0000,15.0000,ALL,61,6,1985;1986;1987;1988;2000;2004,30,6,1006.2684,60.6043,0.0000
sc1.6,20.0000,20.0000,20.0000,10M,82,10,1983;1984;1985;1986;1987;1988;1989;1990;2000;2004,50,10,222.6036,48.5423,0.0000
sc1.6,20.0000,20.0000,20.0000,ALL,57,6,1985;1987;1988;1989;2000;2004,30,6,1634.1288,153.8110,0.0000
sc1.6,20.0000,20.0000,25.0000,10M,33,3,1988;2000;2004,49,3,1255.5441,8.2901,0.0000
sc1.6,20.0000,20.0000,25.0000,ALL,45,4,1988;1990;2000;2004,31,4,2977.8850,842.6859,0.0000
sc1.6,25.0000,15.0000,15.0000,10M,129,16,1975;1980;1981;1984;1986;1987;1988;1989;1990;1991;1999;2000;2001;2002;2004;2005,42,16,339.8802,4.2854,0.0000
sc1.6,25.0000,15.0000,15.0000,ALL,85,9,1981;1984;1986;1987;1988;2000;2002;2004;2005,24,9,539.5619,26.1331,0.0000
sc1.6,25.0000,15.0000,20.0000,10M,71,7,1986;1987;1988;1989;1990;2000;2004,32,7,357.8084,4.2854,0.0000
sc1.6,25.0000,15.0000,20.0000,ALL,52,5,1986;1987;1988;2000;2004,24,5,887.5438,26.1331,0.0000
sc1.6,25.0000,15.0000,25.0000,10M,55,6,1987;1988;1989;1990;2000;2004,38,6,1105.4006,81.0506,0.0000
sc1.6,25.0000,15.0000,25.0000,ALL,36,4,1987;1988;2000;2004,26,4,2010.6118,272.5592,0.0000
sc1.6,30.0000,10.0000,15.0000,10M,122,12,1975;1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,12,1031.1150,26.6188,0.0000
sc1.6,30.0000,10.0000,15.0000,ALL,122,12,1975;1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,12,1031.1150,26.6188,0.0000
sc1.6,30.0000,10.0000,20.0000,10M,47,5,1984;1988;2000;2004;2005,14,5,980.6661,8.2901,0.0000
sc1.6,30.0000,10.0000,20.0000,ALL,47,5,1984;1988;2000;2004;2005,14,5,980.6661,8.2901,0.0000
sc1.6,30.0000,10.0000,25.0000,10M,33,3,1988;2000;2004,18,3,1255.5441,8.2901,0.0000
sc1.6,30.0000,10.0000,25.0000,ALL,33,3,1988;2000;2004,18,3,1255.5441,8.2901,0.0000
sc1.6,35.0000,5.0000,15.0000,10M,69,7,1977;1987;1988;1989;1990;2000;2004,7,7,2000.8767,73.9555,0.0000
sc1.6,35.0000,5.0000,15.0000,ALL,69,7,1977;1987;1988;1989;1990;2000;2004,7,7,2000.8767,73.9555,0.0000
sc1.6,35.0000,5.0000,20.0000,10M,46,4,1988;1990;2000;2004,7,4,1911.5003,73.9555,0.0000
sc1.6,35.0000,5.0000,20.0000,ALL,46,4,1988;1990;2000;2004,7,4,1911.5003,73.9555,0.0000
sc1.6,35.0000,5.0000,25.0000,10M,39,4,1988;1990;2000;2004,10,4,1925.6436,125.3066,0.0000
sc1.6,35.0000,5.0000,25.0000,ALL,39,4,1988;1990;2000;2004,10,4,1925.6436,125.3066,0.0000
sc1.6,40.0000,0.0000,,n/a,45,4,1988;1990;2000;2004,0,4,2977.8850,842.6859,0.0000
sc1.8,20.0000,20.0000,15.0000,10M,116,15,1983;1984;1985;1986;1987;1988;1989;1990;1998;1999;2000;2001;2003;2004;2005,50,15,956.8522,19.4689,0.0000
sc1.8,20.0000,20.0000,15.0000,ALL,46,7,1983;1986;1987;1988;1998;2000;2004,29,7,2236.3590,295.7547,0.0000
sc1.8,20.0000,20.0000,20.0000,10M,51,6,1986;1987;1988;2000;2004;2005,48,6,1041.8274,26.4261,0.0000
sc1.8,20.0000,20.0000,20.0000,ALL,42,5,1987;1988;1989;2000;2004,29,5,2790.5954,112.7877,0.0000
sc1.8,20.0000,20.0000,25.0000,10M,29,3,1988;2000;2004,49,3,2484.3740,544.7274,0.0000
sc1.8,20.0000,20.0000,25.0000,ALL,42,4,1988;1990;2000;2004,31,4,5080.8548,1594.6534,0.0000
sc1.8,25.0000,15.0000,15.0000,10M,91,10,1975;1984;1986;1987;1988;1989;2000;2002;2004;2005,33,10,830.0723,6.6235,0.0000
sc1.8,25.0000,15.0000,15.0000,ALL,58,8,1980;1984;1986;1988;2000;2002;2004;2005,20,8,1106.1221,40.4198,0.0000
sc1.8,25.0000,15.0000,20.0000,10M,46,5,1986;1987;1988;2000;2004,27,5,960.5551,40.4198,0.0000
sc1.8,25.0000,15.0000,20.0000,ALL,33,4,1986;1988;2000;2004,20,4,1728.0154,40.4198,0.0000
sc1.8,25.0000,15.0000,25.0000,10M,29,3,1988;2000;2004,34,3,2221.1315,131.4262,0.0000
sc1.8,25.0000,15.0000,25.0000,ALL,29,3,1988;2000;2004,24,3,3273.3238,562.0964,0.0000
sc1.8,30.0000,10.0000,15.0000,10M,105,11,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,11,2295.2512,59.6631,0.0000
sc1.8,30.0000,10.0000,15.0000,ALL,105,11,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,13,11,2295.2512,59.6631,0.0000
sc1.8,30.0000,10.0000,20.0000,10M,37,4,1988;2000;2004;2005,13,4,2156.7628,496.4911,0.0000
sc1.8,30.0000,10.0000,20.0000,ALL,37,4,1988;2000;2004;2005,13,4,2156.7628,496.4911,0.0000
sc1.8,30.0000,10.0000,25.0000,10M,29,3,1988;2000;2004,18,3,2484.3740,544.7274,0.0000
sc1.8,30.0000,10.0000,25.0000,ALL,29,3,1988;2000;2004,18,3,2484.3740,544.7274,0.0000
sc1.8,35.0000,5.0000,15.0000,10M,52,4,1988;1990;2000;2004,4,4,3462.0207,122.8222,0.0000
sc1.8,35.0000,5.0000,15.0000,ALL,52,4,1988;1990;2000;2004,4,4,3462.0207,122.8222,0.0000
sc1.8,35.0000,5.0000,20.0000,10M,45,4,1988;1990;2000;2004,6,4,3462.0207,529.2972,0.0000
sc1.8,35.0000,5.0000,20.0000,ALL,45,4,1988;1990;2000;2004,6,4,3462.0207,529.2972,0.0000
sc1.8,35.0000,5.0000,25.0000,10M,32,3,1988;2000;2004,9,3,3514.4827,417.7601,0.0000
sc1.8,35.0000,5.0000,25.0000,ALL,32,3,1988;2000;2004,9,3,3514.4827,417.7601,0.0000
sc1.8,40.0000,0.0000,,n/a,42,4,1988;1990;2000;2004,0,4,5080.8548,1594.6534,0.0000
sc2.0,20.0000,20.0000,15.0000,10M,75,10,1975;1977;1983;1986;1988;1989;1990;2000;2001;2005,42,10,590.7907,34.8188,0.0000
sc2.0,20.0000,20.0000,15.0000,ALL,32,4,1983;1986;1988;2000,26,4,4118.8750,47.2949,0.0000
sc2.0,20.0000,20.0000,20.0000,10M,27,3,1988;2000;2005,45,3,1988.4559,69.2742,0.0000
sc2.0,20.0000,20.0000,20.0000,ALL,25,3,1988;1989;2000,28,3,4830.3957,74.6879,0.0000
sc2.0,20.0000,20.0000,25.0000,10M,28,3,1988;2000;2004,48,3,4721.4834,1134.3967,0.0000
sc2.0,20.0000,20.0000,25.0000,ALL,34,3,1988;2000;2004,31,3,8299.0428,142.3510,0.0000
sc2.0,25.0000,15.0000,15.0000,10M,61,6,1984;1986;1988;2000;2004;2005,24,6,1611.0039,42.1537,0.0000
sc2.0,25.0000,15.0000,15.0000,ALL,32,3,1984;1988;2000,16,3,1769.5984,58.7586,0.0000
sc2.0,25.0000,15.0000,20.0000,10M,32,3,1986;1988;2000,27,3,1932.7627,31.3874,0.0000
sc2.0,25.0000,15.0000,20.0000,ALL,23,2,1988;2000,19,2,2867.7714,17.7018,0.0000
sc2.0,25.0000,15.0000,25.0000,10M,23,2,1988;2000,31,2,2781.1277,31.3874,0.0000
sc2.0,25.0000,15.0000,25.0000,ALL,23,2,1988;2000,22,2,5030.1583,17.7018,0.0000
sc2.0,30.0000,10.0000,15.0000,10M,54,8,1975;1977;1988;1990;2000;2001;2004;2005,12,8,3507.6094,152.3880,0.0000
sc2.0,30.0000,10.0000,15.0000,ALL,54,8,1975;1977;1988;1990;2000;2001;2004;2005,12,8,3507.6094,152.3880,0.0000
sc2.0,30.0000,10.0000,20.0000,10M,33,4,1988;2000;2004;2005,13,4,3507.6094,303.8269,0.0000
sc2.0,30.0000,10.0000,20.0000,ALL,33,4,1988;2000;2004;2005,13,4,3507.6094,303.8269,0.0000
sc2.0,30.0000,10.0000,25.0000,10M,28,3,1988;2000;2004,17,3,4721.4834,1134.3967,0.0000
sc2.0,30.0000,10.0000,25.0000,ALL,28,3,1988;2000;2004,17,3,4721.4834,1134.3967,0.0000
sc2.0,35.0000,5.0000,15.0000,10M,51,4,1988;1990;2000;2004,4,4,5409.8875,688.0127,0.0000
sc2.0,35.0000,5.0000,15.0000,ALL,51,4,1988;1990;2000;2004,4,4,5409.8875,688.0127,0.0000
sc2.0,35.0000,5.0000,20.0000,10M,44,4,1988;1990;2000;2004,4,4,5409.8875,688.0127,0.0000
sc2.0,35.0000,5.0000,20.0000,ALL,44,4,1988;1990;2000;2004,4,4,5409.8875,688.0127,0.0000
sc2.0,35.0000,5.0000,25.0000,10M,31,3,1988;2000;2004,8,3,5482.7748,1033.2022,0.0000
sc2.0,35.0000,5.0000,25.0000,ALL,31,3,1988;2000;2004,8,3,5482.7748,1033.2022,0.0000
sc2.0,40.0000,0.0000,,n/a,34,3,1988;2000;2004,0,3,8299.0428,142.3510,0.0000
sc2.2,20.0000,20.0000,15.0000,10M,40,5,1986;1987;1988;2000;2001,35,5,660.2387,4.3511,0.0000
sc2.2,20.0000,20.0000,15.0000,ALL,32,3,1986;1987;1988,25,3,4984.3881,1.7069,0.0000
sc2.2,20.0000,20.0000,20.0000,10M,17,2,1988;2000,40,2,3215.3598,182.3386,0.0000
sc2.2,20.0000,20.0000,20.0000,ALL,12,1,1988,26,1,7572.0972,1.7069,0.0000
sc2.2,20.0000,20.0000,25.0000,10M,27,3,1988;2000;2004,48,3,8505.9092,1703.4695,0.0000
sc2.2,20.0000,20.0000,25.0000,ALL,34,3,1988;2000;2004,31,3,12737.0734,677.2708,0.0000
sc2.2,25.0000,15.0000,15.0000,10M,49,5,1984;1988;2000;2004;2005,21,5,3629.7866,51.4916,0.0000
sc2.2,25.0000,15.0000,15.0000,ALL,31,3,1984;1988;2000,15,3,3969.0958,228.2928,0.0000
sc2.2,25.0000,15.0000,20.0000,10M,22,2,1988;2000,25,2,3842.0506,145.6210,0.0000
sc2.2,25.0000,15.0000,20.0000,ALL,21,2,1988;2000,18,2,5323.1970,104.2851,0.0000
sc2.2,25.0000,15.0000,25.0000,10M,22,2,1988;2000,30,2,4436.8285,145.6210,0.0000
sc2.2,25.0000,15.0000,25.0000,ALL,21,2,1988;2000,21,2,6470.3177,104.2851,0.0000
sc2.2,30.0000,10.0000,15.0000,10M,40,4,1988;1990;2000;2001,9,4,5364.4229,45.6499,0.0000
sc2.2,30.0000,10.0000,15.0000,ALL,40,4,1988;1990;2000;2001,9,4,5364.4229,45.6499,0.0000
sc2.2,30.0000,10.0000,20.0000,10M,24,2,1988;2000,11,2,5364.4229,45.6499,0.0000
sc2.2,30.0000,10.0000,20.0000,ALL,24,2,1988;2000,11,2,5364.4229,45.6499,0.0000
sc2.2,30.0000,10.0000,25.0000,10M,27,3,1988;2000;2004,17,3,8505.9092,1703.4695,0.0000
sc2.2,30.0000,10.0000,25.0000,ALL,27,3,1988;2000;2004,17,3,8505.9092,1703.4695,0.0000
sc2.2,35.0000,5.0000,15.0000,10M,51,4,1988;1990;2000;2004,4,4,8164.2160,1554.1084,0.0000
sc2.2,35.0000,5.0000,15.0000,ALL,51,4,1988;1990;2000;2004,4,4,8164.2160,1554.1084,0.0000
sc2.2,35.0000,5.0000,20.0000,10M,31,3,1988;2000;2004,5,3,9416.4225,1554.1084,0.0000
sc2.2,35.0000,5.0000,20.0000,ALL,31,3,1988;2000;2004,5,3,9416.4225,1554.1084,0.0000
sc2.2,35.0000,5.0000,25.0000,10M,32,3,1988;2000;2004,8,3,9416.4225,1554.1084,0.0000
sc2.2,35.0000,5.0000,25.0000,ALL,32,3,1988;2000;2004,8,3,9416.4225,1554.1084,0.0000
sc2.2,40.0000,0.0000,,n/a,34,3,1988;2000;2004,0,3,12737.0734,677.2708,0.0000
