scale,gold_w,bond_w,CAGR_OOS,CAGR_IS,MaxDD,Sharpe,feasible
2.200000,0.180000,0.000000,0.300542,0.331910,-0.575913,1.047310,1
2.200000,0.180000,0.050000,0.289534,0.317683,-0.547487,1.055500,1
2.200000,0.180000,0.070000,0.284896,0.311860,-0.535709,1.059000,1
2.200000,0.180000,0.100000,0.277692,0.302988,-0.517597,1.064507,1
2.200000,0.180000,0.140000,0.267640,0.290913,-0.492603,1.072370,1
2.200000,0.240000,0.000000,0.297516,0.315381,-0.545277,1.059114,1
2.200000,0.240000,0.050000,0.285427,0.300616,-0.515313,1.068423,1
2.200000,0.240000,0.070000,0.280364,0.294586,-0.502908,1.072409,1
2.200000,0.240000,0.100000,0.272534,0.285412,-0.483844,1.078693,1
2.200000,0.240000,0.140000,0.261664,0.272952,-0.457559,1.087681,1
2.200000,0.280000,0.000000,0.294723,0.303965,-0.523986,1.067418,1
2.200000,0.280000,0.050000,0.281929,0.288860,-0.492977,1.077521,1
2.200000,0.280000,0.070000,0.276590,0.282700,-0.480147,1.081851,1
2.200000,0.280000,0.100000,0.268352,0.273338,-0.460437,1.088680,1
2.200000,0.280000,0.140000,0.256952,0.260636,-0.433305,1.098449,1
2.200000,0.320000,0.000000,0.291318,0.292246,-0.501992,1.076031,1
2.200000,0.320000,0.050000,0.277831,0.276819,-0.469923,1.086948,1
2.200000,0.320000,0.070000,0.272222,0.270535,-0.456662,1.091628,1
2.200000,0.320000,0.100000,0.263585,0.260993,-0.436300,1.099004,1
2.200000,0.320000,0.140000,0.251666,0.248064,-0.408374,1.109541,1
2.200000,0.380000,0.000000,0.285076,0.274131,-0.467669,1.089376,1
2.200000,0.380000,0.050000,0.270578,0.258250,-0.433986,1.101483,1
2.200000,0.380000,0.070000,0.264575,0.251792,-0.420070,1.106658,1
2.200000,0.380000,0.100000,0.255357,0.242000,-0.398714,1.114786,1
2.200000,0.380000,0.140000,0.242685,0.228752,-0.369597,1.126310,1
2.200000,0.440000,0.000000,0.277500,0.255412,-0.431731,1.102839,1
2.200000,0.440000,0.050000,0.262026,0.239111,-0.396407,1.115914,1
2.200000,0.440000,0.070000,0.255643,0.232495,-0.381825,1.121447,1
2.200000,0.440000,0.100000,0.245867,0.222473,-0.359512,1.130051,1
