label,fbar,window,brake_maxdd,twin_maxdd,dd_edge_pp,brake_shallower,n_windows,n_shallower,binom_p_onesided,mean_dd_edge_pp,crisis_verdict
B2_DD_THROTTLE,0.03723404255319149,tri_2015,-0.22665521607112182,-0.23435656194285126,0.7701345871729437,True,5,2,0.8125,0.15402691743459096,TIMING_WEAK
B3_ASYM_BRAKE,0.021501863818280353,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,1,0.96875,-0.06893712211200498,TIMING_WEAK
B3_ASYM_BRAKE,0.021501863818280353,gfc_2008,-0.09559136803536195,-0.09559136803536206,1.1102230246251565e-14,True,5,1,0.96875,-0.06893712211200498,TIMING_WEAK
B3_ASYM_BRAKE,0.021501863818280353,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,1,0.96875,-0.06893712211200498,TIMING_WEAK
B3_ASYM_BRAKE,0.021501863818280353,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,1,0.96875,-0.06893712211200498,TIMING_WEAK
B3_ASYM_BRAKE,0.021501863818280353,tri_2015,-0.24033001524310105,-0.2368831591375007,-0.344685610560036,False,5,1,0.96875,-0.06893712211200498,TIMING_WEAK
B4_VOL020_CAP50,0.13214445900010366,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,0,1.0,-0.2689749896742777,TIMING_WEAK
B4_VOL020_CAP50,0.13214445900010366,gfc_2008,-0.09559136803536195,-0.09559136803536161,-3.3306690738754696e-14,False,5,0,1.0,-0.2689749896742777,TIMING_WEAK
B4_VOL020_CAP50,0.13214445900010366,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,0,1.0,-0.2689749896742777,TIMING_WEAK
B4_VOL020_CAP50,0.13214445900010366,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,0,1.0,-0.2689749896742777,TIMING_WEAK
B4_VOL020_CAP50,0.13214445900010366,tri_2015,-0.23248007875589638,-0.21903132927218283,-1.3448749483713551,False,5,0,1.0,-0.2689749896742777,TIMING_WEAK
B4_VOL025_CAP50,0.054485898446556276,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,0,1.0,-0.17497222538062962,TIMING_WEAK
B4_VOL025_CAP50,0.054485898446556276,gfc_2008,-0.09559136803536195,-0.09559136803536139,-5.551115123125783e-14,False,5,0,1.0,-0.17497222538062962,TIMING_WEAK
B4_VOL025_CAP50,0.054485898446556276,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,0,1.0,-0.17497222538062962,TIMING_WEAK
B4_VOL025_CAP50,0.054485898446556276,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,0,1.0,-0.17497222538062962,TIMING_WEAK
B4_VOL025_CAP50,0.054485898446556276,tri_2015,-0.24033001524310105,-0.23158140397407012,-0.8748611269030926,False,5,0,1.0,-0.17497222538062962,TIMING_WEAK
B4_VOL030_CAP75,0.021255890507152583,dotcom_2000,-0.06128818528270874,-0.06128818528270874,0.0,False,5,0,1.0,-0.06814767600713978,TIMING_WEAK
B4_VOL030_CAP75,0.021255890507152583,gfc_2008,-0.09559136803536195,-0.0955913680353615,-4.440892098500626e-14,False,5,0,1.0,-0.06814767600713978,TIMING_WEAK
B4_VOL030_CAP75,0.021255890507152583,covid_2020,-0.13197319790579742,-0.13197319790579742,0.0,False,5,0,1.0,-0.06814767600713978,TIMING_WEAK
B4_VOL030_CAP75,0.021255890507152583,bear_2022,-0.10498504916011064,-0.10498504916011064,0.0,False,5,0,1.0,-0.06814767600713978,TIMING_WEAK
B4_VOL030_CAP75,0.021255890507152583,tri_2015,-0.24033001524310105,-0.2369226314427445,-0.3407383800356545,False,5,0,1.0,-0.06814767600713978,TIMING_WEAK
