glide,single,reserve_mode,run_M,res_M,bucket_y,draw,thr_M,labor,starts,saved88,ruin,termMed,floor
none,sc2.2,sofr,18,22.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,22.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,22.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,22.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,22.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,22.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,14.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,18,7.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,18,7.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,18,7.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,18,7.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,18,7.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,18,7.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,24.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,24.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,24.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,24.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,24.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,24.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,16.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,16,9.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,9.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,9.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,9.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,9.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,16,9.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,22,18.000,0,run_first,20.000,12,1,0,1,6157.088,0.000
none,sc2.2,sofr,22,18.000,0,run_first,22.000,12,1,0,1,7139.508,0.000
none,sc2.2,sofr,22,18.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,22,18.000,0,reserve_first_on_down,20.000,29,3,0,3,5525.247,0.000
none,sc2.2,sofr,22,18.000,0,reserve_first_on_down,22.000,23,2,0,2,5740.615,0.000
none,sc2.2,sofr,22,18.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,22,10.800,1,run_first,20.000,29,3,0,3,5513.037,0.000
none,sc2.2,sofr,22,10.800,1,run_first,22.000,23,2,0,2,8102.387,0.000
none,sc2.2,sofr,22,10.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,22,10.800,1,reserve_first_on_down,20.000,29,3,0,3,6172.106,0.000
none,sc2.2,sofr,22,10.800,1,reserve_first_on_down,22.000,23,2,0,2,8894.282,0.000
none,sc2.2,sofr,22,10.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,22,3.600,2,run_first,20.000,24,3,0,3,8598.148,0.000
none,sc2.2,sofr,22,3.600,2,run_first,22.000,24,3,0,3,9962.894,0.000
none,sc2.2,sofr,22,3.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,22,3.600,2,reserve_first_on_down,20.000,24,3,0,3,8706.161,0.000
none,sc2.2,sofr,22,3.600,2,reserve_first_on_down,22.000,24,3,0,3,10134.014,0.000
none,sc2.2,sofr,22,3.600,2,reserve_first_on_down,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,19,21.000,0,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,21.000,0,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,21.000,0,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,21.000,0,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,21.000,0,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,21.000,0,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,run_first,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,run_first,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,run_first,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,reserve_first_on_down,20.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,reserve_first_on_down,22.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,13.800,1,reserve_first_on_down,25.000,34,3,0,3,12737.073,0.000
none,sc2.2,sofr,19,6.600,2,run_first,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,19,6.600,2,run_first,22.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,19,6.600,2,run_first,25.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,19,6.600,2,reserve_first_on_down,20.000,31,3,0,3,11955.673,0.000
none,sc2.2,sofr,19,6.600,2,reserve_first_on_down,22.000,31,3,0,3,11955.673,0.000
