strat,runfrac,floor_real_M,top_wr,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin
sc2.6,0.6,4.0,0.16,0.01,0,123,4.0,134.4,4774.4,0
sc2.6,0.6,4.0,0.18,0.01,0,88,4.0,137.6,4053.1,0
sc2.6,0.6,4.0,0.2,0.01,4,88,0.0,139.2,4053.1,1
sc2.6,0.6,4.5,0.16,0.01,0,133,4.5,135.9,5302.1,0
sc2.6,0.6,4.5,0.18,0.01,0,93,4.5,138.6,3858.8,0
sc2.6,0.6,4.5,0.2,0.01,0,82,4.5,139.9,3858.8,0
sc2.6,0.6,5.0,0.16,0.01,0,141,5.0,137.4,4183.9,0
sc2.6,0.6,5.0,0.18,0.01,0,99,5.0,139.6,4516.0,0
sc2.6,0.6,5.0,0.2,0.01,0,86,5.0,140.7,4516.0,0
sc2.6,0.6,5.5,0.16,0.01,0,161,5.5,137.2,3650.1,0
sc2.6,0.6,5.5,0.18,0.01,0,114,5.5,140.6,4747.0,0
sc2.6,0.6,5.5,0.2,0.01,8,103,0.0,140.6,4516.0,1
sc2.6,0.6,6.0,0.16,0.01,1,199,4.94,138.6,3961.9,1
sc2.6,0.6,6.0,0.18,0.01,12,124,0.0,141.6,3697.7,3
sc2.6,0.6,6.0,0.2,0.01,16,110,0.0,141.6,3697.7,3
sc2.6,0.6,6.37,0.16,0.01,16,210,0.0,140.2,3524.8,3
sc2.6,0.6,6.37,0.18,0.01,17,136,0.0,142.3,4747.0,3
sc2.6,0.6,6.37,0.2,0.01,22,124,0.0,142.3,4747.0,4
sc2.6,0.45,4.0,0.16,0.02,0,137,4.0,134.4,5149.9,0
sc2.6,0.45,4.0,0.18,0.02,9,101,0.0,137.6,5398.1,2
sc2.6,0.45,4.0,0.2,0.02,9,87,0.0,140.8,4908.1,2
sc2.6,0.45,4.5,0.16,0.02,0,148,4.5,135.9,4891.6,0
sc2.6,0.45,4.5,0.18,0.02,13,103,0.0,138.6,5171.1,2
