label,labor_years_total,starts_with_labor,saved_1988,fails,topup_events_total,ruin_total,terminal_median_M,min_total_floor_M
sc2.2_g2_16_rescash_bkt0_run18_thr20_10,33,4,0,1984;1986;1988;2000,52,4,3617.000,0.000
sc2.2_g2_16_rescash_bkt0_run18_thr12_6,283,29,0,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,118,29,436.500,0.000
sc2.2_g2_16_rescash_bkt0_run20_thr15_ALL,24,2,0,1986;1988,29,2,4115.600,0.000
sc2.2_g2_16_rescash_bkt0_run20_thr18_ALL,21,2,0,1985;1988,29,2,4407.300,0.000
sc2.2_g2_16_rescash_bkt0_run20_thr20_ALL,13,1,0,1988,29,1,4179.600,0.000
sc2.2_g2_16_rescash_bkt0_run20_thr20_10,24,2,0,1986;1988,47,2,2239.500,0.000
sc2.2_g2_16_rescash_bkt0_run20_thr12_6,269,27,0,1975;1976;1977;1978;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,111,27,1862.400,0.000
sc2.2_g2_16_rescash_bkt0_run22_thr15_ALL,36,3,0,1986;1987;1988,26,3,2863.200,0.000
sc2.2_g2_16_rescash_bkt0_run22_thr18_ALL,24,2,0,1986;1988,26,2,4564.300,0.000
sc2.2_g2_16_rescash_bkt0_run22_thr20_ALL,13,1,0,1988,27,1,5294.700,0.000
sc2.2_g2_16_rescash_bkt0_run22_thr20_10,17,2,0,1986;1988,41,2,2342.800,0.000
sc2.2_g2_16_rescash_bkt0_run22_thr12_6,224,24,0,1975;1976;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1996;1999;2000;2001;2002;2003;2004;2005,77,24,325.800,0.000
sc2.2_g2_16_rescash_bkt0_run25_thr15_ALL,39,4,0,1984;1986;1988;2000,19,4,1794.000,0.000
sc2.2_g2_16_rescash_bkt0_run25_thr18_ALL,21,2,0,1986;1988,21,2,3156.500,0.000
sc2.2_g2_16_rescash_bkt0_run25_thr20_ALL,21,2,0,1986;1988,21,2,3466.300,0.000
sc2.2_g2_16_rescash_bkt0_run25_thr20_10,36,4,0,1986;1987;1988;2004,28,4,1943.700,0.000
sc2.2_g2_16_rescash_bkt0_run25_thr12_6,180,17,0,1975;1977;1979;1984;1986;1987;1988;1989;1990;1991;1992;1994;2000;2001;2002;2004;2005,54,17,1416.300,0.000
sc2.2_g2_16_rescash_bkt2_run15_thr15_ALL,51,6,0,1986;1987;1988;1989;2001;2005,16,6,2447.100,0.000
sc2.2_g2_16_rescash_bkt2_run15_thr18_ALL,21,2,0,1988;2000,31,2,7389.400,0.000
sc2.2_g2_16_rescash_bkt2_run15_thr20_ALL,21,2,0,1988;2000,31,2,7389.400,0.000
sc2.2_g2_16_rescash_bkt2_run15_thr20_10,21,2,0,1988;2000,34,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt2_run15_thr12_6,118,13,0,1975;1977;1984;1986;1987;1988;1989;1992;1993;2000;2001;2004;2005,27,13,2525.400,0.000
sc2.2_g2_16_rescash_bkt2_run18_thr15_ALL,54,5,0,1986;1987;1988;2000;2004,8,5,4618.200,0.000
sc2.2_g2_16_rescash_bkt2_run18_thr18_ALL,13,1,0,1988,12,1,4223.400,0.000
sc2.2_g2_16_rescash_bkt2_run18_thr20_ALL,21,2,0,1988;2000,31,2,7389.400,0.000
sc2.2_g2_16_rescash_bkt2_run18_thr20_10,21,2,0,1988;2000,31,2,7389.400,0.000
sc2.2_g2_16_rescash_bkt2_run18_thr12_6,74,7,0,1986;1987;1988;1989;1990;2000;2004,14,7,4223.400,0.000
sc2.2_g2_16_rescash_bkt2_run20_thr15_ALL,41,5,0,1986;1987;1988;2000;2004,7,5,5532.000,0.000
sc2.2_g2_16_rescash_bkt2_run20_thr18_ALL,35,5,0,1986;1987;1988;2000;2004,8,5,6299.500,0.000
sc2.2_g2_16_rescash_bkt2_run20_thr20_ALL,19,3,0,1986;1988;2000,11,3,6299.500,0.000
sc2.2_g2_16_rescash_bkt2_run20_thr20_10,19,3,0,1986;1988;2000,11,3,6299.500,0.000
sc2.2_g2_16_rescash_bkt2_run20_thr12_6,53,6,0,1986;1987;1988;1989;2000;2004,7,6,6066.300,0.000
sc2.2_g2_16_rescash_bkt2_run22_thr15_ALL,28,3,0,1988;2000;2004,3,3,6668.900,0.000
sc2.2_g2_16_rescash_bkt2_run22_thr18_ALL,28,3,0,1988;2000;2004,6,3,6912.600,0.000
sc2.2_g2_16_rescash_bkt2_run22_thr20_ALL,23,3,0,1988;2000;2004,7,3,6912.600,0.000
sc2.2_g2_16_rescash_bkt2_run22_thr20_10,23,3,0,1988;2000;2004,7,3,6912.600,0.000
sc2.2_g2_16_rescash_bkt2_run22_thr12_6,33,3,0,1988;2000;2004,3,3,6668.900,0.000
sc2.2_g2_16_rescash_bkt2_run25_thr15_ALL,24,2,0,1988;2000,2,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt2_run25_thr18_ALL,21,2,0,1988;2000,2,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt2_run25_thr20_ALL,21,2,0,1988;2000,3,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt2_run25_thr20_10,21,2,0,1988;2000,3,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt2_run25_thr12_6,24,2,0,1988;2000,2,2,7109.600,0.000
sc2.2_g2_16_rescash_bkt3_run15_thr15_ALL,35,3,0,1986;1987;1988,10,3,5006.200,0.000
sc2.2_g2_16_rescash_bkt3_run15_thr18_ALL,15,2,0,1988;2000,31,2,5911.200,0.000
