seed,world,rule,p_labor0,labor_mean,term_real_med_M,cut_mean
20260631,floor,F4-drip25pct x4yr,0.995,0.0295,11653.8,2.866
20260632,nominal,1-noHOLD thr20M alloc20:20,0.883,1.4365,8318.1,
20260632,nominal,1-noHOLD thr18M alloc20:20,0.883,1.4355,7039.9,
20260632,nominal,1-noHOLD thr16M alloc20:20,0.876,1.489,6214.1,
20260632,nominal,1-noHOLD thr14M alloc20:20,0.874,1.4885,5526.9,
20260632,nominal,1-noHOLD thr12M alloc20:20,0.8375,1.8455,3543.5,
20260632,nominal,1-noHOLD thr20M alloc14:26,0.847,2.042,15758.4,
20260632,nominal,1-noHOLD thr18M alloc14:26,0.847,2.042,15758.4,
20260632,nominal,1-noHOLD thr16M alloc14:26,0.847,2.042,15758.4,
20260632,nominal,1-noHOLD thr14M alloc14:26,0.88,1.4385,7931.2,
20260632,nominal,1-noHOLD thr12M alloc14:26,0.874,1.486,7449.9,
20260632,nominal,1-noHOLD thr10M alloc10:30,0.8365,2.0625,7338.5,
20260632,nominal,1-noHOLD thr8M alloc10:30,0.851,1.8715,7317.7,
20260632,nominal,1-noHOLD thr6M alloc10:30,0.846,1.8965,6894.0,
20260632,nominal,2-recover1 thr20M alloc20:20,0.7915,2.7365,5196.7,
20260632,nominal,2-recover1 thr26M alloc20:20,0.847,2.042,15758.4,
20260632,nominal,2-recover2 thr20M alloc20:20,0.8365,1.902,6267.5,
20260632,nominal,2-recover2 thr26M alloc20:20,0.847,2.042,15758.4,
20260632,nominal,3a-dd20% immediate alloc20:20,0.876,1.4935,7250.9,
20260632,nominal,3b-dd20%+prevyear alloc20:20,0.7795,2.859,4513.6,
20260632,nominal,3a-dd30% immediate alloc20:20,0.8755,1.4935,6686.7,
20260632,nominal,3b-dd30%+prevyear alloc20:20,0.7725,2.92,3914.1,
20260632,nominal,3a-dd40% immediate alloc20:20,0.8425,1.851,4491.6,
20260632,nominal,3b-dd40%+prevyear alloc20:20,0.7075,3.6315,1997.7,
20260632,nominal,4a-two_tranche thr1=26M(50%%)+thr2=20M(recover2),0.83,2.003,5890.7,
20260632,nominal,4b-two_tranche thr1=20M(50%%)+thr2=10M(noHOLD),0.794,2.1945,2495.9,
20260632,nominal,5-res_prevyear thr20M alloc20:20,0.8345,2.0585,5898.9,
20260632,nominal,6-drip25pct x4yr alloc20:20,0.7575,2.9805,4354.3,
20260632,floor,F1-noHOLD thr20M,0.996,0.0285,12790.5,2.498
20260632,floor,F2-recover2 thr20M,0.9945,0.037,11080.8,2.7285
20260632,floor,F3-dd30%% immediate,0.998,0.01,7190.9,2.782
20260632,floor,F4-drip25pct x4yr,0.9945,0.037,13009.4,2.852
20260633,nominal,1-noHOLD thr20M alloc20:20,0.8625,1.762,6747.1,
20260633,nominal,1-noHOLD thr18M alloc20:20,0.863,1.7605,6092.1,
20260633,nominal,1-noHOLD thr16M alloc20:20,0.8555,1.802,5266.1,
20260633,nominal,1-noHOLD thr14M alloc20:20,0.8535,1.8045,4828.0,
20260633,nominal,1-noHOLD thr12M alloc20:20,0.807,2.227,3075.7,
20260633,nominal,1-noHOLD thr20M alloc14:26,0.8175,2.48,13519.2,
20260633,nominal,1-noHOLD thr18M alloc14:26,0.8175,2.48,13519.2,
20260633,nominal,1-noHOLD thr16M alloc14:26,0.8175,2.48,13519.2,
20260633,nominal,1-noHOLD thr14M alloc14:26,0.8615,1.691,7092.3,
20260633,nominal,1-noHOLD thr12M alloc14:26,0.854,1.7505,6561.5,
20260633,nominal,1-noHOLD thr10M alloc10:30,0.836,2.1265,6813.6,
20260633,nominal,1-noHOLD thr8M alloc10:30,0.849,1.9405,6698.2,
20260633,nominal,1-noHOLD thr6M alloc10:30,0.841,2.0125,6414.4,
20260633,nominal,2-recover1 thr20M alloc20:20,0.7655,3.1585,4307.6,
20260633,nominal,2-recover1 thr26M alloc20:20,0.8175,2.48,13519.2,
20260633,nominal,2-recover2 thr20M alloc20:20,0.8315,2.0905,5638.6,
20260633,nominal,2-recover2 thr26M alloc20:20,0.8175,2.48,13519.2,
20260633,nominal,3a-dd20% immediate alloc20:20,0.854,1.8155,6108.6,
20260633,nominal,3b-dd20%+prevyear alloc20:20,0.748,3.319,3744.4,
20260633,nominal,3a-dd30% immediate alloc20:20,0.8515,1.82,5641.9,
20260633,nominal,3b-dd30%+prevyear alloc20:20,0.7415,3.3765,3227.0,
20260633,nominal,3a-dd40% immediate alloc20:20,0.8135,2.192,4011.6,
20260633,nominal,3b-dd40%+prevyear alloc20:20,0.6735,4.096,1503.6,
20260633,nominal,4a-two_tranche thr1=26M(50%%)+thr2=20M(recover2),0.8015,2.3545,5399.0,
20260633,nominal,4b-two_tranche thr1=20M(50%%)+thr2=10M(noHOLD),0.7705,2.631,2116.8,
20260633,nominal,5-res_prevyear thr20M alloc20:20,0.818,2.314,5201.5,
20260633,nominal,6-drip25pct x4yr alloc20:20,0.719,3.463,3869.4,
20260633,floor,F1-noHOLD thr20M,0.9945,0.038,11345.5,2.649
20260633,floor,F2-recover2 thr20M,0.9935,0.046,10134.0,2.8685
20260633,floor,F3-dd30%% immediate,0.998,0.011,6646.3,2.9055
20260633,floor,F4-drip25pct x4yr,0.9905,0.059,11836.2,3.032
