CAGR,Sharpe,MaxDD,Vol,PosDay_pct,n_days,Trades_yr,strategy,window_id,start_date,end_date,short_flag
0.309612,0.873513,-0.239351,0.407949,0.604000,251,99.394422,F10-eps015,2007,2007-01-03,2007-12-31,False
0.204534,0.960705,-0.172442,0.219524,0.531746,253,1.992095,F10-eps015,2008,2008-01-02,2008-12-31,False
0.665779,1.408857,-0.192161,0.429856,0.553785,252,34.000000,F10-eps015,2009,2009-01-02,2009-12-31,False
0.864956,1.460791,-0.333506,0.522837,0.617530,252,53.000000,F10-eps015,2010,2010-01-04,2010-12-31,False
-0.145201,-0.197728,-0.286547,0.395979,0.533865,252,91.000000,F10-eps015,2011,2011-01-03,2011-12-30,False
0.350254,0.963954,-0.318008,0.391805,0.477912,250,50.400000,F10-eps015,2012,2012-01-03,2012-12-31,False
0.415451,1.032676,-0.190941,0.427275,0.525896,252,68.000000,F10-eps015,2013,2013-01-02,2013-12-31,False
0.073940,0.391675,-0.159246,0.292857,0.541833,252,104.000000,F10-eps015,2014,2014-01-02,2014-12-31,False
-0.313270,-0.826831,-0.394059,0.371916,0.486056,252,94.000000,F10-eps015,2015,2015-01-02,2015-12-31,False
-0.022855,0.242962,-0.376570,0.553913,0.537849,252,57.000000,F10-eps015,2016,2016-01-04,2016-12-30,False
1.092917,2.105516,-0.211378,0.389066,0.592000,251,96.382470,F10-eps015,2017,2017-01-03,2017-12-29,False
-0.062286,0.054044,-0.382069,0.410510,0.540000,251,66.262948,F10-eps015,2018,2018-01-02,2018-12-31,False
0.675795,1.284600,-0.373985,0.505271,0.557769,252,54.000000,F10-eps015,2019,2019-01-02,2019-12-31,False
0.873228,1.845956,-0.228585,0.381811,0.611111,253,45.818182,F10-eps015,2020,2020-01-02,2020-12-31,False
0.315455,1.013043,-0.229691,0.323147,0.541833,252,68.000000,F10-eps015,2021,2021-01-04,2021-12-31,False
-0.257762,-1.602007,-0.324800,0.177010,0.464000,251,7.027888,F10-eps015,2022,2022-01-03,2022-12-30,False
