Strategy,Sharpe,CAGR,MaxDD,Worst5Y,Trades,Trades/yr,DeltaSharpe
+ Yield Curve (lb=120 s=0.5),0.7903241278539703,0.19896734872432775,-0.3905403556278795,-0.013512358207000252,591,20.32923832923833,-0.013178145867359436
+ Yield Curve (lb=250 s=0.2),0.825019925784935,0.23650845552573707,-0.40364262804316575,-0.005480763452090143,569,19.57248157248157,0.02151765206360523
+ Yield Curve (lb=250 s=0.3),0.83352610558107,0.2321687523796836,-0.3983137534760633,-0.0032412635258730615,529,18.196560196560196,0.030023831859740224
+ Yield Curve (lb=250 s=0.5),0.7844271291997493,0.20556353808452021,-0.3905403556278793,-0.05411205810805808,463,15.926289926289925,-0.019075144521580434
Combo (HY + 10Y),0.8488662784733596,0.22861310603889917,-0.3944683815274569,0.010522266394328295,701,24.11302211302211,0.04536400475202984
Combo (HY + VIX),0.7927910233357613,0.2263782566192456,-0.421455914055326,-0.007855010886726133,744,25.59213759213759,-0.010711250385568416
Combo (HY + YieldCurve),0.8055102740880649,0.21822333855456377,-0.40392122430590155,-0.022048667825734558,609,20.948402948402947,0.0020080003667350965
Combo (10Y + VIX),0.760085466041837,0.20688577644317463,-0.507353966428728,-0.007609931424275129,694,23.872235872235873,-0.04341680767949274
Combo (10Y + YieldCurve),0.849442293183854,0.22243949237077776,-0.4452209338799677,0.01773037387090559,508,17.47420147420147,0.04594001946252424
Combo (VIX + YieldCurve),0.8882026289476425,0.2562755134825774,-0.38737207020099623,-0.009272935847415287,615,21.154791154791155,0.0847003552263127
Combo (HY + 10Y + VIX),0.8462091692371262,0.2305628003603981,-0.4153239123753561,-0.003998375867599213,701,24.11302211302211,0.04270689551579643
Combo (HY + 10Y + YieldCurve),0.8221707287924727,0.20825872508557297,-0.42913422254683714,-0.015859555277345394,574,19.744471744471742,0.018668455071142898
Combo (All 4),0.8298594716629516,0.2146594361416989,-0.45218817878643985,-0.03079011037173074,622,21.395577395577394,0.026357197941621835
