Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,WN,WG,WB,Type,Base,LevC,VixC,GoldR
D-B0.55/L0.25/V0.1/G0.5,0.30996400684854497,1.3183749540012137,-0.3190426834147446,0.050895434026092756,0.14979382302880317,0.8461538461538461,0.22690023286683414,0.9194824055952778,,,,Dynamic,0.55,0.25,0.1,0.5
D-B0.55/L0.25/V0.1/G0.6,0.3067148364300434,1.3029354400723487,-0.3029646626404655,0.047658265719803916,0.15186085624021617,0.8269230769230769,0.24500831091222408,0.968265036834753,,,,Dynamic,0.55,0.25,0.1,0.6
D-B0.55/L0.25/V0.05/G0.5,0.3048779461485631,1.294242228639858,-0.3149788950601621,0.05275579031526689,0.14523243357732718,0.8461538461538461,0.21414697839447783,0.8789228417095485,,,,Dynamic,0.55,0.25,0.05,0.5
D-B0.55/L0.35/V0.1/G0.5,0.3283256949643474,1.2827580963077345,-0.3437315895137225,0.05301249581744316,0.15764291264660768,0.8461538461538461,0.21932039593971053,0.8440618613394723,,,,Dynamic,0.55,0.35,0.1,0.5
D-B0.55/L0.25/V0.05/G0.6,0.3024681832718137,1.281904829679071,-0.3033052702014234,0.04879750052157816,0.1444076060579027,0.8269230769230769,0.2305174844796496,0.9239624183248644,,,,Dynamic,0.55,0.25,0.05,0.6
D-B0.55/L0.45/V0.1/G0.5,0.3344988715417958,1.272360357873505,-0.34711601880382226,0.058140624095200044,0.15768622209373584,0.8461538461538461,0.21555883275313947,0.8234877021492663,,,,Dynamic,0.55,0.45,0.1,0.5
D-B0.55/L0.35/V0.1/G0.6,0.3250415111103042,1.2690897978421423,-0.3291790704623624,0.04992990401359876,0.15811294590405667,0.8269230769230769,0.23510958799383053,0.8849194236285983,,,,Dynamic,0.55,0.35,0.1,0.6
D-B0.5/L0.45/V0.05/G0.55,0.3293500178208708,1.2611028240894397,-0.34067270807808314,0.049708533840213454,0.1489590389568778,0.8269230769230769,0.21545302431008828,0.823326036162958,,,,Dynamic,0.5,0.45,0.05,0.55
D-B0.55/L0.35/V0.05/G0.5,0.32364896092800133,1.2610593177128686,-0.3396567812193618,0.051089519083082235,0.14787955799744923,0.8461538461538461,0.2101717702678214,0.8166914484465837,,,,Dynamic,0.55,0.35,0.05,0.5
D-B0.65/L0.25/V0.1/G0.5,0.32104413337581184,1.2588274794576046,-0.3300451201509974,0.05944864858885812,0.15348941876654854,0.8461538461538461,0.23033962927803375,0.8760742822439769,,,,Dynamic,0.65,0.25,0.1,0.5
D-B0.55/L0.45/V0.1/G0.6,0.3300251944569863,1.2559111092164634,-0.33276824301683017,0.055471309183403594,0.1566173306234755,0.8461538461538461,0.22976001258538536,0.8600912334689501,,,,Dynamic,0.55,0.45,0.1,0.6
D-B0.55/L0.35/V0.05/G0.6,0.3206532631467005,1.24892042599449,-0.32838157899576736,0.04894841546420503,0.14777241349988923,0.8269230769230769,0.22351648701749927,0.8514418871694863,,,,Dynamic,0.55,0.35,0.05,0.6
D-B0.55/L0.45/V0.05/G0.5,0.3279145155157899,1.2487551302051314,-0.33878836312797556,0.0541370292081107,0.14286908088789518,0.8653846153846154,0.21071280396705916,0.8105195198617454,,,,Dynamic,0.55,0.45,0.05,0.5
D-B0.65/L0.25/V0.1/G0.6,0.3185638331160461,1.2485955487251974,-0.31839852994815865,0.05779696526651046,0.15306401717782658,0.8269230769230769,0.24354950101766026,0.9099608620492489,,,,Dynamic,0.65,0.25,0.1,0.6
D-B0.65/L0.35/V0.1/G0.5,0.32571942220651007,1.2466269076850842,-0.3346587977113553,0.05770266462041218,0.14917174615876627,0.8461538461538461,0.22573452582436992,0.8532255405823994,,,,Dynamic,0.65,0.35,0.1,0.5
D-B0.65/L0.45/V0.1/G0.5,0.3289649002022934,1.2451203249300642,-0.3354495082269866,0.06552990268169134,0.15304971069193374,0.8461538461538461,0.229460604867201,0.8600498541731224,,,,Dynamic,0.65,0.45,0.1,0.5
D-B0.65/L0.35/V0.1/G0.6,0.32290665696129484,1.2359284431652922,-0.32682924091167653,0.05592210972405698,0.14859511622745125,0.8269230769230769,0.23774771515587334,0.8839316260531322,,,,Dynamic,0.65,0.35,0.1,0.6
D-B0.55/L0.45/V0.05/G0.6,0.3244282297867005,1.2358024022912433,-0.32801318685066483,0.05035276081634499,0.14247421442841013,0.8461538461538461,0.22329195554553682,0.8433037114808687,,,,Dynamic,0.55,0.45,0.05,0.6
D-B0.65/L0.45/V0.1/G0.6,0.3262054093556708,1.234689629321535,-0.33125653452898285,0.06509636086535986,0.15246027030724685,0.8269230769230769,0.24065781578844425,0.8884165129188802,,,,Dynamic,0.65,0.45,0.1,0.6
D-B0.65/L0.25/V0.05/G0.5,0.31439970434969977,1.231215058254108,-0.32882174706188494,0.05223874220008162,0.14225661398174605,0.8269230769230769,0.2177852100538662,0.8388626383804793,,,,Dynamic,0.65,0.25,0.05,0.5
D-B0.65/L0.25/V0.05/G0.6,0.31192662762431445,1.22202856487259,-0.3196983056676268,0.0516360377189955,0.14176460536690216,0.8076923076923077,0.22924496330072808,0.8690150772122779,,,,Dynamic,0.65,0.25,0.05,0.6
D-B0.65/L0.35/V0.05/G0.5,0.3176900775724556,1.2198750211374303,-0.3360331508745884,0.053351003247902984,0.13823984146011203,0.8461538461538461,0.2180193761727376,0.8326767500042743,,,,Dynamic,0.65,0.35,0.05,0.5
D-B0.65/L0.45/V0.05/G0.5,0.31942003491560755,1.2144620079642863,-0.3378566096436223,0.0575049744287075,0.13926073742876532,0.8461538461538461,0.2174819337372209,0.8273020604494835,,,,Dynamic,0.65,0.45,0.05,0.5
D-B0.65/L0.35/V0.05/G0.6,0.31512395420666506,1.2105294607914285,-0.3322964403150923,0.0526371588680814,0.1375778977378599,0.8076923076923077,0.22987457749495066,0.8638605399854233,,,,Dynamic,0.65,0.35,0.05,0.6
D-B0.65/L0.45/V0.05/G0.6,0.3170639913241,1.2062883849383634,-0.33277758054602424,0.057294001368361824,0.13841451429069895,0.8076923076923077,0.22853687610945528,0.8562219689856823,,,,Dynamic,0.65,0.45,0.05,0.6
