eps,spread_rt,case,CAGR_IS_pre,CAGR_OOS_pre,CAGR_IS_net,CAGR_OOS_net,IS_OOS_gap_net,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Trades_yr,tilt_updates,yr_cost_approx
0.015,0.001,conservative (base),0.21771850989773256,0.2613161265782422,0.18620733197075068,0.1789079693197435,0.0072993626510071685,0.7368811909706253,-0.6659477971467741,0.08787487790130499,0.026934533850282095,181.1590857316425,1859,0.031820212595065976
0.018,0.0002,measured (GMO 2026/4),0.24923020017958342,0.297018225651581,0.21217200706149164,0.20382409440499338,0.008347912656498258,0.800650187977313,-0.6574112646455568,0.11423052504759212,0.06586262939891102,181.13994988229933,1855,0.006363976192047011
0.018,0.0003,optimistic,0.24525072913577506,0.2925018219435569,0.20889243066371388,0.20067647326231142,0.008215957401402463,0.7926730528619436,-0.6583641614724192,0.11090712673996594,0.06091564305890887,181.13994988229933,1855,0.009545964288070512
0.018,0.0005,moderate,0.2373289570977093,0.28351525012401013,0.2023645003537191,0.19440973815452844,0.007954762199190668,0.7767238344895976,-0.6602622284663526,0.10428929516741947,0.0510916277325433,181.13994988229933,1855,0.015909940480117523
0.018,0.001,conservative (base),0.2177395947878189,0.26131612657824266,0.18622535189914635,0.17890796931974373,0.00731738257940262,0.7368811909706275,-0.6659477971467747,0.08791240514974996,0.026934533850281606,181.13994988229933,1855,0.031819880960235046
0.02,0.0002,measured (GMO 2026/4),0.2493433327942809,0.2970182256515823,0.21226865632955216,0.20382409440499405,0.008444561924558114,0.8006501879773142,-0.6574112646455563,0.11425675177563299,0.06603216959175565,181.08254233426987,1849,0.006363396328803389
0.02,0.0003,optimistic,0.24536389856105334,0.2925018219435567,0.20898911549869847,0.20067647326231142,0.008312642236387058,0.7926730528619447,-0.6583641614724187,0.11093374033029924,0.06108432432747957,181.08254233426987,1849,0.009545094493205081
0.02,0.0005,moderate,0.2374421959534272,0.2835152501240108,0.20246125261424797,0.1944097381545289,0.008051514459719078,0.776723834489599,-0.6602622284663524,0.10431667488044982,0.05125860397719839,181.08254233426987,1849,0.015908490822008473
0.02,0.001,conservative (base),0.21785298315993296,0.26131612657824266,0.18632225142035552,0.17890796931974395,0.007414282100611569,0.7368811909706263,-0.6659477971467749,0.08794165635295625,0.027097321372282768,181.08254233426987,1849,0.031816981644016945
0.025,0.0002,measured (GMO 2026/4),0.24938679968118205,0.2965733968481661,0.21230533155611275,0.20352665246708312,0.008778679089029628,0.7999398705279405,-0.6574112646455568,0.11434162948837456,0.06606374515257468,181.00599893689727,1843,0.006362787046447389
0.025,0.0003,optimistic,0.2454072313416913,0.29206263568826407,0.20902566898978825,0.20038273598186573,0.008642933007922515,0.7919684288867108,-0.658364161472419,0.11101800593096045,0.06111567535535392,181.00599893689727,1843,0.009544180569671082
0.025,0.0005,moderate,0.23748526181435503,0.28308724796242934,0.20249756385467554,0.1941233495284096,0.00837421432626595,0.776030623294966,-0.6602622284663524,0.10439972460576019,0.05128950890703032,181.00599893689727,1843,0.015906967616118473
0.025,0.001,conservative (base),0.21789538919683582,0.26091550302729094,0.1863579640954054,0.17863960196683482,0.007718362128570577,0.7362166617683077,-0.6659477971467747,0.08802171459783725,0.027127128200527085,181.00599893689727,1843,0.031813935232236946
0.03,0.0002,measured (GMO 2026/4),0.24955846418968242,0.2960240530145337,0.2124483024282191,0.20315936197741902,0.009288940450800087,0.798900838237004,-0.6569961608393221,0.11447657713327186,0.06683307617527608,180.83377629280886,1827,0.006359919322924449
0.03,0.0003,optimistic,0.24557892772673706,0.29152838909370615,0.2091686870784324,0.2000254560596051,0.009143231018827302,0.7909539996740902,-0.657950190058116,0.11115255829499704,0.061884132421782284,180.83377629280886,1827,0.009539878984386671
0.03,0.0005,moderate,0.23765701598755062,0.28258290224179095,0.20264067071251768,0.19378591036940396,0.008854760343113721,0.7750654569261516,-0.6598505127796122,0.10453348980781141,0.052056184968222376,180.83377629280886,1827,0.01589979830731112
0.03,0.001,conservative (base),0.2180672536069863,0.2604842194719359,0.18650126027951286,0.1783507231526833,0.00815053712682956,0.7353749796929077,-0.6655428625159756,0.08815353157830241,0.027889164813699997,180.83377629280886,1827,0.03179959661462224
0.05,0.0002,measured (GMO 2026/4),0.24900325515809785,0.29238477867619816,0.21191186445470445,0.20075331304025523,0.011158551414449214,0.7932260220050268,-0.6582536600904485,0.11551318857005466,0.06360500692888038,179.4368592907586,1429,0.006306517795966109
0.05,0.0003,optimistic,0.24505829143316316,0.287942188250881,0.20866142425100942,0.19765391464123216,0.011007509609777255,0.7853357254910748,-0.6591684326238172,0.11221640387786058,0.058704653340449185,179.4368592907586,1429,0.009459776693949163
0.05,0.0005,moderate,0.2372048943923899,0.27910189362203686,0.20219122315888094,0.19148281369992937,0.010708409458951573,0.7695602540385548,-0.661356476100297,0.10565130137774714,0.048972800825788164,179.4368592907586,1429,0.015766294489915275
0.05,0.001,conservative (base),0.2177827836335291,0.2572606927216985,0.18619326745228992,0.17621544430429537,0.009977823147994558,0.7301523665880912,-0.6679806933033396,0.0877393461873992,0.025039792880514222,179.4368592907586,1429,0.03153258897983055
