indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF3_MOM_189,63,0.20439764842921043,2.9126617919440913e-121,0.20439764842921043,0.6192996108949417,0.4200124494242141,0.1138908295510964,15.561322156081706,-0.00710805509183543,3,-0.16095188792287243,0.0051865988169860835,-0.057940210814889835,-0.2252846057335396,0.19187113455060645,-0.11313885992467416,0.3105014453855355,Gold
TF3_MOM_252,5,0.08476938164039066,5.024863673001629e-22,0.08476938164039066,0.554694762937713,0.48489542989930284,0.009007083621993938,4.848616296725326,0.003943754423914585,3,-0.04598984709705497,-0.021383488817967762,0.009821277842094694,-0.04183282177842876,0.05952813668263054,-0.003412780861299298,0.07087580499742765,Gold
TF3_MOM_252,21,0.1338916967711538,1.2048264357674753e-52,0.1338916967711538,0.5690350605026373,0.4428416317667132,0.036704195859030106,8.928001902893321,-0.01245225713773125,2,-0.12194215314174045,-0.05138414473292717,-0.01464532423449702,-0.1628588596420171,0.13084023313834917,-0.058724671599703376,0.19154912024841722,Gold
TF3_MOM_252,63,0.20618657135325758,2.0940687813027193e-123,0.20618657135325758,0.6116731517509728,0.4276377217553688,0.12081420549224116,16.54509971912117,0.019684391225347393,4,-0.15494309500841785,0.031047692686194703,0.028625140899245536,-0.36322316375035746,0.26541625854805334,-0.057693371852742904,0.3885612770554564,Gold
TF4_DualM_21_126,5,-0.05938185644720028,1.4568028593671393e-11,0.05938185644720028,0.4945770065075922,0.5450038729666925,-0.005321250528376382,-2.8086759145869844,-0.0029136032954007107,5,0.09573881565478178,-0.015909841092888292,0.07359330607520408,-0.02172967254957183,-0.06563002170256961,-2.171607726457153e-05,-0.08643609337549651,Gold
TF4_DualM_21_126,21,-0.09334642805846288,2.3695870178742598e-26,0.09334642805846288,0.46850760161340366,0.5433534977508919,-0.025690560309217778,-6.153851782880606,0.024342195372020307,3,0.21810016094644077,-0.019356190283963078,0.17432280212866966,0.08970138613114562,-0.16670642502787095,0.016941062155844698,-0.14260742844612456,Gold
TF4_DualM_21_126,63,-0.1798004806000054,7.97526842634398e-94,0.1798004806000054,0.45073929961089493,0.5885465297230004,-0.1160751989426882,-16.000703616676685,0.0033817305430589107,3,0.36365624245603384,-0.10912081580958942,0.1021462028995127,0.2037539484862656,-0.2785551837026453,0.011549812047925224,-0.2697580925760903,Gold
TF4_DualM_21_189,5,-0.0766448751357085,2.776961329572655e-18,0.0766448751357085,0.4900836690424543,0.5494965143299768,-0.007645056141225091,-4.102869767821426,0.0052820325932342775,4,0.1123585344718627,-0.00949816188356771,0.008125057207173096,0.018419319755237223,-0.016728284705133316,-0.006520733096922717,-0.06918150359600932,Gold
TF4_DualM_21_189,21,-0.12326071728325294,7.905227516830128e-45,0.12326071728325294,0.4461681663046851,0.5656894679695983,-0.03249396913822768,-7.842056013233088,0.024456378702231524,3,0.18050144430669893,-0.051164391760027406,0.09986500950577998,0.07954355260340402,-0.05495643007555315,0.05754274880944206,-0.1401372824741238,Gold
TF4_DualM_21_189,63,-0.2165544403553882,3.151834489902264e-136,0.2165544403553882,0.42070038910505836,0.6185807656395892,-0.12428111022430202,-17.091196359805103,-0.054664093748785704,4,0.07143322111643434,-0.1296160723675286,-0.07260267717116271,0.23907649915686172,-0.2144092793581294,0.0625361804178517,-0.33906652803582693,Gold
