date,DH-REF (現行),DH-Z1 (DH base + binary vz),DH-Z2 (F10 e tilt + binary vz),DH-Z3 (DH base + composite),DH-Z4 (Fixed bull 80/10/10 + binary vz),"DH-Z5 (Regime preset switch, always IN)"
170,1.090877,1.000000,1.000000,1.000000,1.000000,1.091093
171,1.094804,1.000000,1.000000,1.000000,1.000000,1.095397
172,1.095716,1.000000,1.000000,1.000000,1.000000,1.096352
173,1.095978,1.000000,1.000000,1.000000,1.000000,1.096585
174,1.086957,1.000000,1.000000,1.000000,1.000000,1.086497
175,1.084133,1.000000,1.000000,1.000000,1.000000,1.083303
176,1.083009,1.000000,1.000000,1.000000,1.000000,1.081996
177,1.081350,1.000000,1.000000,1.000000,1.000000,1.080098
178,1.081520,1.000000,1.000000,1.000000,1.000000,1.080234
179,1.073985,1.000000,1.000000,1.000000,1.000000,1.071818
180,1.055247,1.000000,1.000000,1.000000,1.000000,1.050989
181,1.075895,1.000000,1.000000,1.000000,1.000000,1.073792
182,1.072933,1.000000,1.000000,1.000000,1.000000,1.070459
183,1.079666,1.000000,1.000000,1.000000,1.000000,1.077876
184,1.077885,1.000000,1.000000,1.000000,1.000000,1.075854
185,1.077308,1.000000,1.000000,1.000000,1.000000,1.075166
186,1.071936,1.000000,1.000000,1.000000,1.000000,1.069163
187,1.072857,1.000000,1.000000,1.000000,1.000000,1.070140
188,1.078065,1.000000,1.000000,1.000000,1.000000,1.075868
189,1.096029,1.000000,1.000000,1.000000,1.000000,1.095742
190,1.100417,1.000000,1.000000,1.000000,1.000000,1.100569
191,1.094809,1.000000,1.000000,1.000000,1.000000,1.094289
192,1.108536,1.000000,1.000000,1.000000,1.000000,1.109488
193,1.114994,1.000000,1.000000,1.000000,1.000000,1.116623
194,1.106065,1.000000,1.000000,1.000000,1.000000,1.106638
195,1.103756,1.000000,1.000000,1.000000,1.000000,1.104021
196,1.116435,1.000000,1.000000,1.000000,1.000000,1.118059
197,1.113346,1.000000,1.000000,1.000000,1.000000,1.114570
198,1.107981,1.000000,1.000000,1.000000,1.000000,1.108550
199,1.107952,1.000000,1.000000,1.000000,1.000000,1.108465
200,1.111591,1.000000,1.000000,1.000000,1.000000,1.112458
201,1.108722,1.000000,1.000000,1.000000,1.000000,1.109215
202,1.111971,1.000000,1.000000,1.000000,1.000000,1.112775
203,1.123777,1.000000,1.000000,1.000000,1.000000,1.125849
204,1.126272,1.000000,1.000000,1.000000,1.000000,1.128575
205,1.122239,1.000000,1.000000,1.000000,1.000000,1.124032
206,1.123477,1.000000,1.000000,1.000000,1.000000,1.125357
207,1.146757,1.000000,1.000000,1.000000,1.000000,1.151213
208,1.144009,1.000000,1.000000,1.000000,1.000000,1.148091
209,1.161166,1.000000,1.000000,1.000000,1.000000,1.167167
210,1.158677,1.000000,1.000000,1.000000,1.000000,1.164331
211,1.155733,1.000000,1.000000,1.000000,1.000000,1.160988
212,1.162600,1.000000,1.000000,1.000000,1.000000,1.168598
213,1.162389,1.000000,1.000000,1.000000,1.000000,1.168306
214,1.177845,1.000000,1.000000,1.000000,1.000000,1.185511
215,1.191767,1.000000,1.000000,1.000000,1.000000,1.201026
216,1.199596,1.000000,1.000000,1.000000,1.000000,1.209736
217,1.196855,1.000000,1.000000,1.000000,1.000000,1.206608
218,1.212286,1.000000,1.000000,1.000000,1.000000,1.223838
219,1.197468,1.000000,1.000000,1.000000,1.000000,1.207160
220,1.212044,1.000000,1.000000,1.000000,1.000000,1.223433
221,1.225047,1.000000,1.000000,1.000000,1.000000,1.237960
222,1.238309,1.000000,1.000000,1.000000,1.000000,1.252796
223,1.242914,1.000000,1.000000,1.000000,1.000000,1.257914
224,1.240238,1.000000,1.000000,1.000000,1.000000,1.254847
225,1.232018,1.000000,1.000000,1.000000,1.000000,1.245549
226,1.230592,1.000000,1.000000,1.000000,1.000000,1.243888
227,1.221864,1.000000,1.000000,1.000000,1.000000,1.234029
228,1.222071,1.000000,1.000000,1.000000,1.000000,1.234205
229,1.232112,1.000000,1.000000,1.000000,1.000000,1.245416
230,1.229349,1.000000,1.000000,1.000000,1.000000,1.242254
231,1.220643,1.000000,1.000000,1.000000,1.000000,1.232422
232,1.226003,1.000000,1.000000,1.000000,1.000000,1.238380
233,1.213522,1.000000,1.000000,1.000000,1.000000,1.224314
234,1.183899,1.000000,1.000000,1.000000,1.000000,1.191050
235,1.202017,1.000000,1.000000,1.000000,1.000000,1.211248
236,1.215381,1.000000,1.000000,1.000000,1.000000,1.226155
237,1.233551,1.000000,1.000000,1.000000,1.000000,1.246468
238,1.229876,1.000000,1.000000,1.000000,1.000000,1.242286
239,1.230245,1.000000,1.000000,1.000000,1.000000,1.242645
240,1.218781,1.000000,1.000000,1.000000,1.000000,1.229722
241,1.233703,1.000000,1.000000,1.000000,1.000000,1.246394
242,1.254620,1.000000,1.000000,1.000000,1.000000,1.269819
243,1.268270,1.000000,1.000000,1.000000,1.000000,1.285114
244,1.277161,1.000000,1.000000,1.000000,1.000000,1.295069
245,1.267531,1.000000,1.000000,1.000000,1.000000,1.284163
246,1.266115,1.000000,1.000000,1.000000,1.000000,1.282512
247,1.275388,1.000000,1.000000,1.000000,1.000000,1.292892
248,1.273993,1.000000,1.000000,1.000000,1.000000,1.291263
249,1.279246,1.000000,1.000000,1.000000,1.000000,1.297123
250,1.284577,1.000000,1.000000,1.000000,1.000000,1.303072
251,1.293763,1.000000,1.000000,1.000000,1.000000,1.313368
252,1.263712,1.000000,1.000000,1.000000,1.000000,1.279413
253,1.254746,1.000000,1.000000,1.000000,1.000000,1.269271
254,1.229778,1.000000,1.000000,1.000000,1.000000,1.241153
255,1.220741,1.000000,1.000000,1.000000,1.000000,1.230967
256,1.216244,1.000000,1.000000,1.000000,1.000000,1.225876
257,1.234084,1.000000,1.000000,1.000000,1.000000,1.245804
258,1.247774,1.000000,1.000000,1.000000,1.000000,1.261106
259,1.241727,1.000000,1.000000,1.000000,1.000000,1.254263
260,1.238574,1.000000,1.000000,1.000000,1.000000,1.250670
261,1.225587,1.000000,1.000000,1.000000,1.000000,1.236047
262,1.229378,1.000000,1.000000,1.000000,1.000000,1.240242
263,1.225316,1.000000,1.000000,1.000000,1.000000,1.235637
264,1.217056,1.000000,1.000000,1.000000,1.000000,1.226331
265,1.207111,1.000000,1.000000,1.000000,1.000000,1.215146
266,1.223844,1.000000,1.000000,1.000000,1.000000,1.233812
267,1.219491,1.000000,1.000000,1.000000,1.000000,1.228887
268,1.213453,1.000000,1.000000,1.000000,1.000000,1.222080
269,1.216886,1.000000,1.000000,1.000000,1.000000,1.225876
270,1.228016,1.000000,1.000000,1.000000,1.000000,1.238287
271,1.217516,1.000000,1.000000,1.000000,1.000000,1.226475
272,1.221217,1.000000,1.000000,1.000000,1.000000,1.230571
273,1.229770,1.000000,1.000000,1.000000,1.000000,1.240100
274,1.225396,1.000000,1.000000,1.000000,1.000000,1.235151
275,1.231963,1.000000,1.000000,1.000000,1.000000,1.242459
276,1.226796,1.000000,1.000000,1.000000,1.000000,1.236621
277,1.236156,1.000000,1.000000,1.000000,1.000000,1.247059
278,1.225637,1.000000,1.000000,1.000000,1.000000,1.235220
279,1.233078,1.000000,1.000000,1.000000,1.000000,1.243506
280,1.224514,1.000000,1.000000,1.000000,1.000000,1.233861
281,1.228761,1.000000,1.000000,1.000000,1.000000,1.238569
282,1.230618,1.000000,1.000000,1.000000,1.000000,1.240601
283,1.238009,1.000000,1.000000,1.000000,1.000000,1.248833
284,1.266754,1.000000,1.000000,1.000000,1.000000,1.281004
285,1.261700,1.000000,1.000000,1.000000,1.000000,1.275278
286,1.270250,1.000000,1.000000,1.000000,1.000000,1.284834
287,1.268101,1.000000,1.000000,1.000000,1.000000,1.282373
288,1.282248,1.000000,1.000000,1.000000,1.000000,1.298222
289,1.268417,1.000000,1.000000,1.000000,1.000000,1.282616
290,1.268597,1.000000,1.000000,1.000000,1.000000,1.282769
291,1.256956,1.000000,1.000000,1.000000,1.000000,1.269642
292,1.255072,1.000000,1.000000,1.000000,1.000000,1.267480
293,1.253075,1.000000,1.000000,1.000000,1.000000,1.265191
294,1.249627,1.000000,1.000000,1.000000,1.000000,1.261275
295,1.245616,1.000000,1.000000,1.000000,1.000000,1.256730
296,1.239852,1.000000,1.000000,1.000000,1.000000,1.250221
297,1.244030,1.000000,1.000000,1.000000,1.000000,1.254855
298,1.241885,1.000000,1.000000,1.000000,1.000000,1.252403
299,1.231154,1.000000,1.000000,1.000000,1.000000,1.240331
300,1.235327,1.000000,1.000000,1.000000,1.000000,1.244956
301,1.234047,1.000000,1.000000,1.000000,1.000000,1.243477
302,1.233572,1.000000,1.000000,1.000000,1.000000,1.242898
303,1.235390,1.000000,1.000000,1.000000,1.000000,1.244888
304,1.224572,1.000000,1.000000,1.000000,1.000000,1.232730
305,1.225626,1.000000,1.000000,1.000000,1.000000,1.233862
306,1.218879,1.000000,1.000000,1.000000,1.000000,1.226269
307,1.207626,1.000000,1.000000,1.000000,1.000000,1.213645
308,1.213893,1.000000,1.000000,1.000000,1.000000,1.220598
309,1.197378,1.000000,1.000000,1.000000,1.000000,1.202101
310,1.196859,1.000000,1.000000,1.000000,1.000000,1.201477
311,1.199407,1.000000,1.000000,1.000000,1.000000,1.204274
312,1.197524,1.000000,1.000000,1.000000,1.000000,1.202127
313,1.202968,1.000000,1.000000,1.000000,1.000000,1.208154
314,1.195910,0.999000,0.999000,1.000000,0.999000,1.200179
315,1.187101,0.999000,0.999000,1.000000,0.999000,1.190310
316,1.162254,0.978091,0.978091,1.000000,0.978091,1.165397
317,1.150642,0.968318,0.968318,1.000000,0.968318,1.153753
318,1.130371,0.951259,0.951259,1.000000,0.951259,1.133427
319,1.138554,0.958146,0.958146,1.000000,0.958146,1.141633
320,1.170424,0.984965,0.984965,1.000000,0.984965,1.173588
321,1.182578,0.995194,0.995194,1.000000,0.995194,1.185775
322,1.200923,1.010632,1.010632,1.000000,1.010632,1.204169
323,1.238686,1.042411,1.042411,1.000000,1.042411,1.242035
324,1.235190,1.039469,1.039469,1.000000,1.039469,1.238529
325,1.254772,1.055948,1.055948,1.000000,1.055948,1.258164
326,1.265167,1.064696,1.064696,1.000000,1.064696,1.268587
327,1.259120,1.059607,1.059607,1.000000,1.059607,1.262524
328,1.293394,1.088450,1.088450,1.000000,1.088450,1.296891
329,1.266735,1.066016,1.066016,1.000000,1.066016,1.270160
330,1.258993,1.059500,1.059500,1.000000,1.059500,1.262397
331,1.255462,1.056529,1.056529,1.000000,1.056529,1.258856
332,1.272710,1.071044,1.071044,1.000000,1.071044,1.276151
333,1.253863,1.055183,1.055183,1.000000,1.055183,1.257253
334,1.237376,1.041309,1.041309,1.000000,1.041309,1.240722
335,1.266548,1.065858,1.065754,1.000000,1.065858,1.269972
336,1.292409,1.087622,1.087516,1.000000,1.087622,1.295903
337,1.336266,1.124529,1.123455,1.000000,1.124529,1.339879
338,1.368625,1.151761,1.152004,1.000000,1.151761,1.372326
339,1.355007,1.140300,1.140244,1.000000,1.140392,1.358780
340,1.376322,1.158239,1.158551,1.000000,1.158332,1.380155
341,1.403193,1.180851,1.182883,1.000000,1.181926,1.408267
342,1.426574,1.200527,1.203643,1.000000,1.202469,1.432745
343,1.407645,1.184598,1.186494,1.000000,1.185904,1.413006
344,1.409993,1.186574,1.188342,1.000000,1.187760,1.415218
345,1.430569,1.203889,1.205990,1.000000,1.205501,1.436357
346,1.426846,1.200757,1.202572,1.000000,1.202057,1.432253
347,1.414253,1.190159,1.191091,1.000000,1.190984,1.419059
348,1.401500,1.179427,1.179308,1.000000,1.179207,1.405027
349,1.396384,1.175121,1.174312,1.000000,1.174497,1.399415
350,1.367967,1.151207,1.148781,1.000000,1.149237,1.369318
351,1.396730,1.175413,1.174604,1.000000,1.172917,1.397533
352,1.430728,1.204023,1.204860,1.000000,1.203014,1.433394
353,1.428103,1.201814,1.201483,1.000000,1.200280,1.430136
354,1.406821,1.183904,1.182200,1.000000,1.182158,1.408544
355,1.388891,1.168816,1.169312,1.000000,1.168294,1.392024
356,1.433273,1.206165,1.206578,1.000000,1.207228,1.438414
357,1.450262,1.220462,1.221914,1.000000,1.223811,1.458173
358,1.461991,1.230332,1.232050,1.000000,1.233551,1.469778
359,1.461623,1.230023,1.230614,1.000000,1.232575,1.468615
360,1.465787,1.233527,1.234088,1.000000,1.236630,1.473447
361,1.488920,1.252994,1.252947,1.000000,1.256060,1.496598
362,1.467275,1.234779,1.231511,1.000000,1.236012,1.472710
363,1.448995,1.219396,1.214809,1.000000,1.219310,1.452810
364,1.459462,1.228204,1.221843,1.000000,1.227781,1.462903
365,1.437902,1.210061,1.202959,1.000000,1.208806,1.440295
366,1.449690,1.219980,1.213907,1.000000,1.219659,1.453226
367,1.468409,1.235733,1.230071,1.000000,1.236248,1.472992
368,1.443878,1.215090,1.209440,1.000000,1.215353,1.448095
369,1.441109,1.212760,1.209014,1.000000,1.213553,1.445951
370,1.476509,1.242550,1.240118,1.000000,1.244889,1.483288
371,1.489910,1.253828,1.255023,1.000000,1.258462,1.499460
372,1.509079,1.269959,1.271396,1.000000,1.275132,1.519322
373,1.523452,1.282055,1.284303,1.000000,1.288013,1.534670
374,1.520829,1.279848,1.284302,1.000000,1.286490,1.532855
375,1.529643,1.287265,1.291283,1.000000,1.293612,1.541341
376,1.532611,1.289763,1.293285,1.000000,1.295904,1.544072
377,1.556729,1.310059,1.313636,1.000000,1.316297,1.568370
378,1.527682,1.285615,1.289125,1.000000,1.291736,1.539106
379,1.490492,1.254317,1.257742,1.000000,1.260289,1.501637
380,1.511249,1.271786,1.275258,1.000000,1.277841,1.522549
381,1.482901,1.247929,1.251336,1.000000,1.253870,1.493989
382,1.474918,1.241211,1.244600,1.000000,1.247120,1.485946
383,1.523593,1.282173,1.285674,1.000000,1.288278,1.534986
384,1.535954,1.292576,1.296105,1.000000,1.298730,1.547439
385,1.550673,1.304963,1.308526,1.000000,1.311176,1.562268
386,1.570288,1.321469,1.325078,1.000000,1.327761,1.582030
387,1.585835,1.334553,1.338197,1.000000,1.340907,1.597693
388,1.555220,1.308789,1.312363,1.000000,1.315021,1.566849
389,1.543200,1.298674,1.302220,1.000000,1.304857,1.554739
390,1.534751,1.291563,1.295090,1.000000,1.297713,1.546227
391,1.523249,1.281884,1.285385,1.000000,1.287988,1.534639
392,1.479297,1.244896,1.248295,1.000000,1.250823,1.490358
393,1.432297,1.205344,1.208510,1.000000,1.211082,1.443007
394,1.412245,1.188469,1.191591,1.000000,1.194127,1.422805
395,1.389381,1.169228,1.171571,1.000000,1.174795,1.399770
396,1.371020,1.153777,1.154949,1.000000,1.159409,1.381438
397,1.354868,1.140184,1.140557,1.000000,1.145750,1.365163
398,1.359644,1.144203,1.145560,1.000000,1.151421,1.371920
399,1.362147,1.146309,1.148492,1.000000,1.154092,1.375103
400,1.325947,1.115845,1.116656,1.000000,1.120335,1.334057
401,1.306065,1.098093,1.099705,1.000000,1.102627,1.314304
402,1.288867,1.083634,1.082094,1.000000,1.086159,1.301777
403,1.285638,1.083634,1.082094,1.000000,1.086159,1.296368
404,1.271552,1.083634,1.082094,1.000000,1.086159,1.282172
405,1.274867,1.083634,1.082094,1.000000,1.086159,1.287538
406,1.268067,1.083634,1.082094,1.000000,1.086159,1.278901
407,1.270052,1.083634,1.082094,1.000000,1.086159,1.280864
408,1.266788,1.083634,1.082094,1.000000,1.086159,1.278716
409,1.254396,1.083634,1.082094,1.000000,1.086159,1.264997
410,1.252068,1.083634,1.082094,1.000000,1.086159,1.261314
411,1.250706,1.083634,1.082094,1.000000,1.086159,1.261863
412,1.239758,1.083634,1.082094,1.000000,1.086159,1.253301
413,1.231674,1.083634,1.082094,1.000000,1.086159,1.247491
414,1.229995,1.083634,1.082094,1.000000,1.086159,1.243532
415,1.236433,1.083634,1.082094,1.000000,1.086159,1.249660
416,1.239833,1.083634,1.082094,1.000000,1.086159,1.252446
417,1.238879,1.083634,1.082094,1.000000,1.086159,1.253923
418,1.242173,1.083634,1.082094,1.000000,1.086159,1.256696
419,1.261509,1.083634,1.082094,1.000000,1.086159,1.275862
420,1.272938,1.083634,1.082094,1.000000,1.086159,1.286887
421,1.237737,1.083634,1.082094,1.000000,1.086159,1.244877
422,1.225291,1.083634,1.082094,1.000000,1.086159,1.227537
423,1.232767,1.083634,1.082094,1.000000,1.086159,1.237174
424,1.226938,1.083634,1.082094,1.000000,1.086159,1.230937
425,1.225267,1.083634,1.082094,1.000000,1.086159,1.230071
