Signal,Lookback,Sensitivity,IS_Sharpe,IS_Delta,IS_CAGR,IS_MaxDD,IS_W5Y
CreditSpread,250,0.4,0.8908141960555264,-0.0069130816721282295,0.23986904836665635,-0.4271520993303794,-0.024097950812930646
DGS10,60,0.15,0.8605551853950839,-0.03717209233257068,0.23120738517950246,-0.5048497389765373,-0.03725516614739388
DGS10,60,0.2,0.9031608744679926,0.005433596740338054,0.24077520243796036,-0.49547487985372324,-0.025045657760648266
DGS10,60,0.3,0.8770208144180642,-0.02070646330959036,0.22424635454225017,-0.5175137388292093,-0.010215057906937997
DGS10,60,0.4,0.8546308388433574,-0.04309643888429715,0.20884175433962904,-0.5175137388292093,-0.0350851018127849
DGS10,120,0.15,0.9042008876940374,0.006473609966382798,0.24672989595972772,-0.4923610343555901,-0.011265746153957146
DGS10,120,0.2,0.9175704203291206,0.019843142601466024,0.2467882477778034,-0.4959454567747975,-0.006459115614111943
DGS10,120,0.3,0.9067254913420938,0.008998213614439199,0.23815524587074677,-0.5030854483552888,-0.002104499884674982
DGS10,120,0.4,0.905231113507283,0.007503835779628432,0.2298832449219974,-0.5048497389765374,0.00035584877772643075
DGS10,180,0.15,0.8961964094524175,-0.001530868275237074,0.24572932605745113,-0.4964738157692715,-0.013688107900961977
DGS10,180,0.2,0.8797210720335555,-0.018006205694099053,0.23684323825135478,-0.5014116547684215,-0.03634895364739399
DGS10,180,0.3,0.8757559614297536,-0.021971316297900945,0.23079205320612273,-0.5175137388292094,-0.028751881506487886
DGS10,180,0.4,0.8781837506689547,-0.019543527058699883,0.22683526114436114,-0.5175137388292093,-0.037953445534339325
DGS10,250,0.15,0.9032891703779483,0.0055618926502937205,0.2486307917742825,-0.5002508719820199,-0.017813431422812998
DGS10,250,0.2,0.901300454713942,0.003573176986287452,0.24588537491474916,-0.5155396192266583,-0.032362602364399584
DGS10,250,0.3,0.8675291695656903,-0.030198108161964332,0.22826057286871393,-0.5218236600119015,-0.04485738445011689
DGS10,250,0.4,0.9032409570420528,0.005513679314398168,0.2354322671226281,-0.5175137388292094,-0.04289414745834086
VIX,60,0.15,0.8342452756963828,-0.06348200203127174,0.22778309369415606,-0.46850005020712354,-0.026067794869433558
VIX,60,0.2,0.8163939094060887,-0.0813333683215659,0.2193129262043232,-0.45786209413860485,-0.02806325804318366
VIX,60,0.3,0.8389937819585993,-0.05873349576905529,0.2229570547897035,-0.3986694714161752,-0.038953871608721546
VIX,60,0.4,0.8201520909712786,-0.07757518675637598,0.21375538549905215,-0.4031403504452276,-0.03357892192790346
VIX,120,0.15,0.8767636432732111,-0.02096363445444349,0.24695579627115882,-0.4679461084163372,-0.0052773306713790324
VIX,120,0.2,0.8656059311556217,-0.032121346572032916,0.2380439137097088,-0.45373105088369536,-0.01651084938018521
VIX,120,0.3,0.8401076303552137,-0.05761964737244085,0.22731891911912538,-0.4429355012527172,-0.026014917815891714
VIX,120,0.4,0.8263673957168075,-0.07135988201084709,0.2204793359857704,-0.45444421458616635,-0.024421882141791085
VIX,180,0.15,0.8884613065534579,-0.009265971174196697,0.24925394601750028,-0.46450959083526977,-0.012145981684906881
VIX,180,0.2,0.8708592284618801,-0.026868049265774463,0.24123182738847304,-0.46846648469792807,-0.007224235690510228
VIX,180,0.3,0.8514361331370662,-0.04629114459058836,0.23166222917813561,-0.4471336448691465,-0.022174615030675193
