indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset,BH_pval,FDR_sig
TF4_DualM_21_126,5,-0.0593818564472002,1.456802859367139e-11,0.0593818564472002,0.4945770065075922,0.5450038729666925,-0.0053212505283763,-2.8086759145869844,-0.0029136032954007,5,0.0957388156547817,-0.0159098410928882,0.073593306075204,-0.0217296725495718,-0.0656300217025696,-2.171607726457153e-05,-0.0864360933754965,Gold,1.267418487649411e-09,1.0
TF6_SlopeZ_100_120,21,-0.0578965766211157,4.7399286143265466e-11,0.0578965766211157,0.4796697304876149,0.5319740500463392,-0.0104279474322154,-3.245000301993889,-0.0797803061501448,6,-0.1591481619450747,-0.2326048597881993,-0.0366854973429783,-0.001872462700384,-0.1387130518121901,0.0400921467109378,-0.0295302561731254,Gold,3.2231514577420516e-09,1.0
TF5_MACD_26_52_18,5,0.0568470137435223,6.744699193819448e-11,0.0568470137435223,0.5702127659574469,0.5289469685458137,0.0079331036274156,6.8538712659364585,0.0424477664172973,5,0.1093277041648868,0.0438270667677669,0.0180987676916492,0.050008229039206,-5.916927774624657e-05,-0.0004556271633028,0.0763873936986216,Bond,5.530653338931947e-09,1.0
TF6_SlopeZ_100_60,21,-0.0558351076649059,2.2349298528684549e-10,0.0558351076649059,0.48026213137775,0.5313078346699568,-0.0112824993449596,-3.671270777802524,-0.0670846826742093,5,-0.0966079906915798,-0.1625045404342015,-0.015091615054762,-0.0115690850541105,-0.2008080791039328,0.00385382279834,0.0131347088207813,Gold,1.4303551058358111e-08,1.0
TF2_PvMA_50,5,0.055214652977979,2.3195852646374695e-10,0.055214652977979,0.567629179331307,0.5315301625892721,0.0048370947246541,4.0550342569481295,0.0242194349990797,5,0.1037925275003878,0.0524385604144468,-0.0404114505903237,0.0071314290909674,-0.0103048542655686,0.0097560494563049,0.0471337833873433,Bond,1.87886406435635e-08,1.0
TF6_SlopeZ_200_60,5,-0.0548136808839402,4.608386667356256e-10,0.0548136808839402,0.4967462039045553,0.5428350116189001,-0.0032742759296703,-1.993673015305025,-0.0749857551681619,7,-0.037810874517801,-0.0545450228812153,-0.2000401449702461,-0.0258750367418558,-0.1206943687292117,-0.0176882997476788,-0.0682465385891248,Gold,3.6867093338850046e-08,1.0
TF2_PvMA_100,5,0.0520657359083244,2.279259565231199e-09,0.0520657359083244,0.5644376899696049,0.5347211669958973,0.004431088924732,3.716114383720917,0.0195231196665991,5,0.0729031899065304,0.0812698887457223,-0.0506922767256074,-0.0094847659347963,0.0095269348283752,0.032912602163482,0.0002262646824878,Bond,1.7778224608803353e-07,1.0
TF6_SlopeZ_200_120,5,-0.051563454489219,4.577181976424846e-09,0.051563454489219,0.5018593120545398,0.537722695584818,-0.0057067589655585,-3.4855444760653644,-0.0790098162583739,6,-0.0545539435564306,-0.0872623267636433,-0.1765744528030414,0.0013723584038098,-0.1377913305049345,-0.0347535362629966,-0.0635054823213811,Gold,3.3413428427901373e-07,1.0
TF5_MACD_12_52_9,5,0.0509653689497977,4.913810421230941e-09,0.0509653689497977,0.5673252279635258,0.5318340677708555,0.0052416994216082,4.6956878254057575,0.0336885401820979,5,0.0637323147245536,0.0117643227916478,0.0382663862889048,0.1036556957969844,-0.0356110899362202,-0.0068000123555192,0.0608121639643345,Bond,3.5379435032862776e-07,1.0
VL2_VolZ_21_252,63,0.0506912240591802,6.409040189309861e-09,0.0506912240591802,0.6504350480842619,0.6079059829059829,0.0166996097801968,4.008384338116714,0.0885547586367331,5,0.2244468620242968,0.2526799044754113,0.1473095502398232,-0.1496545998344811,0.1135325532847705,-0.1382079509018381,0.169776991169149,Bond,3.7172433097997194e-07,1.0
TF2_PvMA_50,21,0.0504900349449663,6.959078532804986e-09,0.0504900349449663,0.6027084601339014,0.5712764338962422,0.0090641150275228,3.5187695482101478,0.0363223190130183,5,0.1765622180483665,0.1320086840405292,-0.0993542816405963,-0.0849815133747292,0.0694377196849303,0.0384162798436052,0.0221671264890224,Bond,4.2450379050110417e-07,1.0
TF5_MACD_12_52_9,63,0.0499917877050149,1.0312302754050908e-08,0.0499917877050149,0.6469241337200428,0.6114163614163615,0.0156102251183095,3.218389511893295,0.0638229778983154,6,0.123852346442249,0.075878422431944,-0.006173763514266,0.0466640521352477,0.0849223796450765,0.068924658673564,0.0526927494743929,Bond,5.878012569809018e-07,1.0
