Strategy,Sharpe,CAGR,MaxDD,Worst5Y,WinRate,OOS_CAGR,OOS_Sharpe,Base,LevC,VixC
B0.5/L0.25/V0.05,1.2105051183854136,0.2517973230836379,-0.28256394481118907,0.037967015013371075,0.8076923076923077,0.1922190623280473,0.8726105651404156,0.5,0.25,0.05
B0.4/L0.45/V0.15,1.2083711744720356,0.2723501248289153,-0.30321038745124795,0.02822542752618995,0.8461538461538461,0.1908667545141305,0.8131767641732193,0.4,0.45,0.15
B0.4/L0.45/V0.2,1.2082012228041377,0.27039242200726954,-0.30578326016103974,0.024439439752456327,0.8269230769230769,0.1912221081091383,0.815993050089585,0.4,0.45,0.2
B0.5/L0.35/V0.2,1.2036949883312986,0.2714304425720706,-0.3045059070722136,0.029216420792193,0.8269230769230769,0.19340886783280897,0.8214086328020472,0.5,0.35,0.2
B0.5/L0.35/V0.1,1.2032931135748268,0.27551896939804266,-0.30862217845570317,0.0389537932287094,0.8269230769230769,0.1976604704620788,0.8297234546987337,0.5,0.35,0.1
B0.4/L0.45/V0.05,1.202868471917863,0.27664638052673896,-0.318046959707861,0.03239352882166502,0.8269230769230769,0.19292061436659735,0.8142035838593659,0.4,0.45,0.05
B0.5/L0.45/V0.15,1.200772974398981,0.292734681838281,-0.32170024581990286,0.04063002554326567,0.8269230769230769,0.20603548137982486,0.8222625579807692,0.5,0.45,0.15
B0.5/L0.35/V0.15,1.199694991675557,0.2722083871769607,-0.2997334018458826,0.034460934537319465,0.8269230769230769,0.19469991913997253,0.8227687199118706,0.5,0.35,0.15
B0.6/L0.25/V0.2,1.1984083620247103,0.2727849902007051,-0.3017974875672944,0.041932107569391475,0.8269230769230769,0.2032829732208421,0.8479190456959047,0.6,0.25,0.2
B0.5/L0.45/V0.2,1.1969027083557835,0.28937320686574997,-0.32582727954649293,0.03544029170984775,0.8461538461538461,0.2053412280326976,0.8210518763560853,0.5,0.45,0.2
B0.6/L0.15/V0.05,1.1932595013694174,0.2505507033270624,-0.2923302117156378,0.04457025367741463,0.7884615384615384,0.20283959456596956,0.9052530087533507,0.6,0.15,0.05
B0.5/L0.45/V0.1,1.1932471404783545,0.29350408739326395,-0.32916762008815137,0.0418574787026309,0.8269230769230769,0.20579310247350224,0.8174110920283765,0.5,0.45,0.1
B0.6/L0.25/V0.15,1.1924252466450989,0.27294125406851055,-0.3051256439337725,0.04297722242691804,0.8076923076923077,0.20471864027779296,0.849109099009223,0.6,0.25,0.15
B0.6/L0.25/V0.1,1.1915209175584551,0.27524245299682026,-0.316180809148243,0.04649879539464852,0.7884615384615384,0.20812301544955947,0.857110351276399,0.6,0.25,0.1
B0.6/L0.35/V0.15,1.1905295186711764,0.2924514609347446,-0.3282873322598433,0.04214935373825934,0.8269230769230769,0.21202404775790873,0.8384176482491257,0.6,0.35,0.15
B0.6/L0.35/V0.2,1.189925298153648,0.2898555303631136,-0.3225907343933174,0.041162579248187336,0.8269230769230769,0.21189575942098493,0.8391038016916375,0.6,0.35,0.2
B0.6/L0.45/V0.2,1.1867029050326066,0.2955086736573078,-0.3278790292696576,0.04410356835144724,0.8269230769230769,0.21594802646072053,0.8413890079847635,0.6,0.45,0.2
B0.5/L0.35/V0.05,1.1858404295133957,0.27434145814496014,-0.32098704533068134,0.036979593157010715,0.8269230769230769,0.19507991129786717,0.8177911257468595,0.5,0.35,0.05
B0.7/L0.15/V0.2,1.184846959358134,0.27153384757611065,-0.3032721648684378,0.0489463934737,0.7884615384615384,0.2097101651659543,0.8644322804490246,0.7,0.15,0.2
B0.6/L0.35/V0.1,1.180650026500799,0.2923248456660035,-0.3450472433062852,0.045095294155624854,0.8076923076923077,0.208985110074271,0.8252968945993391,0.6,0.35,0.1
B0.6/L0.45/V0.15,1.1799840826552428,0.2953832591973409,-0.3367004015583964,0.046185152902155524,0.8269230769230769,0.21291649912484045,0.8314926133985168,0.6,0.45,0.15
B0.7/L0.15/V0.15,1.1799431634861013,0.2722537844272226,-0.31638353866242974,0.043934573829308654,0.8076923076923077,0.21270591878870393,0.8706955200074258,0.7,0.15,0.15
B0.5/L0.45/V0.05,1.179234898060122,0.2916979008050842,-0.3403735981782452,0.03947539153488666,0.8269230769230769,0.20334129832386694,0.8070308823084307,0.5,0.45,0.05
B0.7/L0.25/V0.2,1.1784877678815417,0.28910382000151325,-0.32922906061584045,0.051976706122848215,0.8076923076923077,0.21575782691820966,0.8462429283619197,0.7,0.25,0.2
