strategy,case,year,return_pct
F7v3+E4 A:tilt=2.0,moderate,1986,27.666753846213354
F7v3+E4 A:tilt=2.0,moderate,1987,53.81514894410206
F7v3+E4 A:tilt=2.0,moderate,1988,-26.83802495100097
F7v3+E4 A:tilt=2.0,moderate,1989,41.29019651723513
F7v3+E4 A:tilt=2.0,moderate,1990,-40.59044468344729
F7v3+E4 A:tilt=2.0,moderate,1991,54.83056430985221
F7v3+E4 A:tilt=2.0,moderate,1992,41.12030072622679
F7v3+E4 A:tilt=2.0,moderate,1993,-7.084632586613937
F7v3+E4 A:tilt=2.0,moderate,1994,-13.597177952636603
F7v3+E4 A:tilt=2.0,moderate,1995,120.15169659330816
F7v3+E4 A:tilt=2.0,moderate,1996,36.31765721028579
F7v3+E4 A:tilt=2.0,moderate,1997,45.65465776996814
F7v3+E4 A:tilt=2.0,moderate,1998,62.676695247308785
F7v3+E4 A:tilt=2.0,moderate,1999,66.25108620970589
F7v3+E4 A:tilt=2.0,moderate,2000,-10.331159780242128
F7v3+E4 A:tilt=2.0,moderate,2001,-6.580149068813402
F7v3+E4 A:tilt=2.0,moderate,2002,10.785406675833801
F7v3+E4 A:tilt=2.0,moderate,2003,92.97484003441299
F7v3+E4 A:tilt=2.0,moderate,2004,1.818664355121876
F7v3+E4 A:tilt=2.0,moderate,2005,-20.642857365271727
F7v3+E4 A:tilt=2.0,moderate,2006,40.06226862424011
F7v3+E4 A:tilt=2.0,moderate,2007,14.264545994147944
F7v3+E4 A:tilt=2.0,moderate,2008,16.58536695049267
F7v3+E4 A:tilt=2.0,moderate,2009,44.10827755488634
F7v3+E4 A:tilt=2.0,moderate,2010,66.30546764758512
F7v3+E4 A:tilt=2.0,moderate,2011,-15.440120245729716
F7v3+E4 A:tilt=2.0,moderate,2012,21.068302488385658
F7v3+E4 A:tilt=2.0,moderate,2013,21.397386599704905
F7v3+E4 A:tilt=2.0,moderate,2014,2.4872679971082925
F7v3+E4 A:tilt=2.0,moderate,2015,-30.32036048644102
F7v3+E4 A:tilt=2.0,moderate,2016,-11.336835753723715
F7v3+E4 A:tilt=2.0,moderate,2017,62.03638447364587
F7v3+E4 A:tilt=2.0,moderate,2018,-12.046412555957666
F7v3+E4 A:tilt=2.0,moderate,2019,41.07584097067898
F7v3+E4 A:tilt=2.0,moderate,2020,62.90362666355357
F7v3+E4 A:tilt=2.0,moderate,2021,18.04444873496847
F7v3+E4 A:tilt=2.0,moderate,2022,-22.197609992448278
F7v3+E4 A:tilt=2.0,moderate,2023,72.98900012761726
F7v3+E4 A:tilt=2.0,moderate,2024,44.57654442766171
F7v3+E4 A:tilt=2.0,moderate,2025,33.765991374299844
F7v3+E4 A:tilt=2.0,moderate,2026,-7.924073405297332
F7v3+E4 A:tilt=2.0,conservative (base),1974,15.24524468273417
F7v3+E4 A:tilt=2.0,conservative (base),1975,-8.836607664766085
F7v3+E4 A:tilt=2.0,conservative (base),1976,67.14869205094523
F7v3+E4 A:tilt=2.0,conservative (base),1977,-17.599736098746607
F7v3+E4 A:tilt=2.0,conservative (base),1978,103.98320915296104
F7v3+E4 A:tilt=2.0,conservative (base),1979,13.373688726246028
F7v3+E4 A:tilt=2.0,conservative (base),1980,59.85415384380123
F7v3+E4 A:tilt=2.0,conservative (base),1981,-34.54326060376588
F7v3+E4 A:tilt=2.0,conservative (base),1982,71.89068972082582
F7v3+E4 A:tilt=2.0,conservative (base),1983,1.8349807810425838
F7v3+E4 A:tilt=2.0,conservative (base),1984,-20.083756508788518
F7v3+E4 A:tilt=2.0,conservative (base),1985,116.74395431992207
F7v3+E4 A:tilt=2.0,conservative (base),1986,25.695467959774206
F7v3+E4 A:tilt=2.0,conservative (base),1987,51.181582525574974
F7v3+E4 A:tilt=2.0,conservative (base),1988,-27.204112276107523
F7v3+E4 A:tilt=2.0,conservative (base),1989,39.7097499069705
F7v3+E4 A:tilt=2.0,conservative (base),1990,-41.019797126635424
F7v3+E4 A:tilt=2.0,conservative (base),1991,51.81215236180626
F7v3+E4 A:tilt=2.0,conservative (base),1992,38.667066785640294
F7v3+E4 A:tilt=2.0,conservative (base),1993,-8.959872998443515
F7v3+E4 A:tilt=2.0,conservative (base),1994,-15.02167597921196
