CAGR,MaxDD,Sharpe,Sortino,Calmar,Trades,Worst5Y,WinRate,Strategy,Category,Delay,Rebalances,Rebal/Year
0.27240892688088847,-0.6905924855318489,0.8114661372748254,0.8930561420368843,0.3944568361051555,30,-0.13018257234147934,0.6808510638297872,DD+VT(25%) Th20% delay=3,P1-Profile,3,96,2.025621703089676
0.2750443090184074,-0.7463379502963708,0.8094658793381613,0.8870127557778354,0.36852515527206847,30,-0.14641451824252938,0.6808510638297872,DD+VT(25%) Th20% delay=5,P1-Profile,5,96,2.025621703089676
0.26647421648184433,-0.8114691852295663,0.7883228500976586,0.8548824307979598,0.3283848867365903,30,-0.19915334361420667,0.7021276595744681,DD+VT(25%) Th20% delay=7,P1-Profile,7,96,2.025621703089676
0.24868011310850036,-0.7571654549277488,0.7497707593243517,0.8110216997314157,0.3284356298746226,30,-0.15604200388191058,0.6808510638297872,DD+VT(25%) Th20% delay=10,P1-Profile,10,96,2.025621703089676
0.33558650191147854,-0.5911389174004342,0.9073799032605157,1.0186884027743273,0.5676948210198012,30,-0.07506911244725212,0.7021276595744681,DD-Only delay=0,P1-Profile,0,30,0.6330067822155236
0.28877560888885223,-0.6311328897099174,0.8175603687178273,0.8980149015910506,0.4575511965817213,30,-0.08756539080948744,0.6808510638297872,DD-Only delay=1,P1-Profile,1,30,0.6330067822155236
0.2653951791369069,-0.7048782331456184,0.7675725653007444,0.8291138390428905,0.3765120933761049,30,-0.13687126422288365,0.6808510638297872,DD-Only delay=3,P1-Profile,3,30,0.6330067822155236
0.2630333779749696,-0.7604727394106182,0.7562407257747636,0.8074497150300549,0.3458814029005508,30,-0.15468163678642655,0.6808510638297872,DD-Only delay=5,P1-Profile,5,30,0.6330067822155236
0.2542401338743374,-0.8250482042826447,0.73616917734492,0.7748657703247299,0.30815185410335116,30,-0.209667261578239,0.7021276595744681,DD-Only delay=7,P1-Profile,7,30,0.6330067822155236
0.24327974642999428,-0.7751193517795749,0.7141194099390733,0.7530731250426302,0.31386101491525803,30,-0.16545926690822765,0.6808510638297872,DD-Only delay=10,P1-Profile,10,30,0.6330067822155236
0.23513708557501523,-0.5244568260676239,0.8630376241651522,0.9160005042740409,0.44834402735888207,30,-0.04673446796584402,0.7021276595744681,BASELINE: Ens2(S+T) Th20%,Baseline,5,744,15.698568198944988
0.21130609547744328,-0.7141090155866101,0.7991534767950723,0.8812796502833493,0.2959017333002922,0,-0.09608454421837787,0.6808510638297872,SoftDD Wide(75-95) + S+T,P2-SoftDD,5,1018,21.480030143180105
0.21078741321363847,-0.5875497558449724,0.827554188542945,0.9089990454568839,0.3587567029289272,0,-0.05684056960682238,0.6595744680851063,SoftDD VeryWide(75-100) + S+T,P2-SoftDD,5,1063,22.429540316503388
0.21954201500547432,-0.6082573216857373,0.8307635867860983,0.8980373892402457,0.3609360827700864,0,-0.05068564069664361,0.7021276595744681,SoftDD Medium(80-95) + S+T,P2-SoftDD,5,992,20.931424265259984
0.21049038590023517,-0.5908745089096827,0.8215241553609152,0.8786649869584086,0.35623534731367024,0,-0.048765541561685444,0.7021276595744681,SoftDD EarlyStart(80-98) + S+T,P2-SoftDD,5,1009,21.290128108515447
0.20267169641881,-0.5272156623305353,0.8240575948738675,0.8768601852636444,0.38441895963960565,0,-0.03858409916156258,0.6595744680851063,SoftDD FullRange(80-100) + S+T,P2-SoftDD,5,1070,22.577241899020347
