year,DH Static (35/30/35),DH Dynamic CAGR25+,A2 Optimized,Ens2(Asym+Slope),DD Only,BH 3x,BH 1x
1995,46.53528469230639,72.34453956502551,111.95534732110647,88.6239703808146,157.14442309825696,157.14442309825705,39.91834329192567
1996,12.399344256704126,27.241729195434104,43.38587518724679,34.93274435352733,70.3188485740989,70.31884857409878,22.70632173445144
1997,27.21841874108979,61.73620694613528,96.32474168757766,95.36054642056769,60.418743659042626,60.41874365904252,21.635433779673917
1998,32.53709819734303,69.24616869454529,85.29744447456642,71.4859089733009,24.045427584297705,117.4339199040356,39.63065396321566
1999,56.61043833464285,135.87526737759603,221.3621488235486,147.24335960800582,405.16564514822005,405.1656451482202,85.5852933381063
2000,9.365568667696845,0.2627304396334518,-4.451311860812989,-12.86226844361764,-33.82501881589679,-89.22735087553107,-39.28897075473502
2001,2.640696388800201,1.5485036462994373,0.0,0.0,0.0,-71.86540577293373,-21.053057323534663
2002,12.005268734287133,10.266868456829714,0.0,0.0,0.0,-77.62735338912158,-31.52635389836316
2003,38.617331507985675,66.81870519649237,99.277512546135,127.92832992529308,175.53184139370765,188.49245708070308,50.0078606674015
2004,6.298366810082157,10.82283529339987,6.764548510048485,5.896206814990923,-20.092847529458314,16.457039571208853,8.589024814659862
2005,6.620847250066597,3.0323578370033966,-1.21529109892613,4.816025911503252,-1.4399358977843946,-1.4399358977843724,1.373521118044052
2006,25.835951306012973,40.750758545593115,52.752682426660094,19.020559752290843,22.68647726871389,22.686477268714288,9.521065628828262
2007,17.998308950893115,17.965826902923475,13.40851575566344,9.869130915437218,19.858436014424807,19.858436014424854,9.812071683867863
2008,5.881552169961091,2.7047597426900216,-7.947835675457105,-15.37563440587768,-36.41915279832347,-87.62094040220798,-40.540591047824094
2009,21.566690968380108,42.675480751489836,54.322252256533645,48.66019610200194,59.175149570127395,132.4673874880211,43.88755193449778
2010,22.276447669113452,35.44635142269217,26.180947035870062,43.16397769775931,40.890278539148525,40.89027853914826,16.910307012409966
2011,-1.9403214842454442,-12.651139322698256,-25.07263406918773,-28.412905934952693,-41.51744975591524,-22.686357958692692,-1.7988146006169492
2012,18.914515129989738,32.001294853598374,41.32602164271597,27.38004568343584,44.41473437933345,44.41473437933345,15.905422858081675
2013,9.819012134405725,33.18676102978755,76.66927557492802,84.7041152680321,150.56344876230378,150.56344876230412,38.32011916396991
2014,5.446936988546858,3.9835649364578396,7.898958587284111,7.722100245532104,36.07433698477851,36.07433698477853,13.395137705554404
2015,-7.276994449154717,-11.51410709672913,-13.69020782663063,3.0906078171099693,7.570284687617312,7.570284687617312,5.729676886284363
2016,1.867511255396792,2.233331962874807,-5.22780687165999,-3.4762838937899554,-19.11521464202265,14.070688535362263,7.503079422200232
2017,21.520681149525256,33.298047581308566,49.539038387131605,38.98825530142413,103.28011259992186,103.28011259992182,28.241428520217426
2018,2.226735897456278,10.059841698871397,5.9526292873633535,-10.301685101368586,-25.52563743843378,-22.874203591933618,-3.8837490954337417
2019,24.835863840836204,38.21679957955462,47.61379368410685,33.56679147681876,61.2044898421809,127.48690891096518,35.22564081297441
2020,33.09956495938287,62.04657761335497,68.48733699986262,68.0803467047631,85.7703734772127,96.00827256300238,43.64042568078441
2021,11.043913610258693,25.747528187106504,40.376437671971075,22.478765785553634,60.790853744849336,60.790853744849294,21.389117827748994
2022,-8.449030896673904,-10.877917773895495,-11.762585157691507,-19.408833894138546,-38.917952915792696,-78.20764466023176,-33.10002734629972
2023,24.542714639086817,40.303147510768625,51.380542980819975,40.36794118862153,84.92043697015528,167.2568890619622,43.42308910998991
2024,17.649095258777336,25.755319546360965,26.051170954412296,30.309474217240883,91.08707834937772,91.08707834937778,28.641258547731653
2025,32.68440831233055,37.14167118536076,29.024677517190668,13.215735275092989,-14.201718352704074,45.72881407455232,20.357537743028196
2026,-3.8257694176852874,-8.505296271368845,-11.185344034268475,-15.241846588348285,-23.579491906465822,-23.57949190646581,-7.8905039446133145
