indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset,BH_pval,FDR_sig
TF4_DualM_63_252,5,-0.1004054833361249,2.7745015331072122e-30,0.1004054833361249,0.4838859621939882,0.555693261037955,-0.0096795521058701,-5.211517205594968,-0.0491191983437625,5,0.0413757627905054,-0.0471703046764173,-0.1293742048805737,0.0306216891214557,-0.1045648350435923,-0.0236443243955483,-0.1110781713221674,Gold,2.7745015331072124e-28,1.0
TF4_DualM_63_252,21,-0.1598735395605241,1.4589840037642429e-74,0.1598735395605241,0.4376357430964939,0.5742205677059097,-0.0448533796057426,-11.08541681175708,-0.0777789986807259,5,0.0122278414618791,-0.1029733310035738,-0.1759724309063246,0.1444597672508709,-0.1751765856586271,-0.0066159318159002,-0.2404023200934056,Gold,1.458984003764243e-72,1.0
TF4_DualM_63_252,63,-0.1976352534105074,2.4204304458092968e-113,0.1976352534105074,0.4306614785992217,0.6086212262682851,-0.11915117890213,-16.690909821090703,-0.1049214653807263,5,-0.206253940653842,-0.16758747998528,-0.0833025619123312,0.428603530586445,-0.3300191043562731,0.0212356173164549,-0.3971263186602578,Gold,2.275204619060739e-111,1.0
TF5_MACD_12_26_9,5,0.0175693768699415,0.0459171238292374,0.0175693768699415,0.5212271459559963,0.5183578621223858,0.0039902921346818,2.2942367623063884,-0.0053946692241842,3,0.0407171089536354,-0.0108182471157908,-0.0602191844637005,0.0031234750993895,-0.0269841291152904,0.0474672890063776,-0.0310489969339105,Gold,1.0,1.0
TF5_MACD_12_26_9,21,0.010247103589194,0.2446473148715479,0.010247103589194,0.501396214706795,0.5104699860400186,0.0076045972864138,2.012521446385164,-0.0203784613370829,3,-0.0156082259155654,-0.0495260055915182,0.0518663227696665,-0.1068694648286294,-0.0354077722600083,0.0034083631977224,0.0094875532687518,Gold,1.0,0.0
TF5_MACD_12_26_9,63,-0.023256896323543,0.0083752808537167,0.023256896323543,0.51284046692607,0.5264550264550265,-0.0276603330794586,-4.139853029153458,-0.0479302162303471,6,0.0489219355140082,-5.926448944696596e-05,-0.161360044521608,-0.0931534995124211,-0.0397119340714226,-0.013655064514107,-0.0764936420174323,Gold,0.2428831447577843,1.0
TF5_MACD_12_52_9,5,0.0089791060339106,0.3076773057007528,0.0089791060339106,0.5156492097923768,0.5239349341595663,0.0049231665464033,2.798535451597416,-0.0122011999361202,2,0.0363805164654129,-0.0315601632369184,-0.0623996603804135,-0.0246158764844003,-0.0219208085021764,0.0416844677279194,-0.0229768751422655,Gold,1.0,0.0
TF5_MACD_12_52_9,21,-0.0123898631020442,0.1595004441467818,0.0123898631020442,0.4927086565311821,0.5191561966806266,0.003591381577324,0.9671312282209128,-0.0334892972698986,5,-0.003117043851015,-0.0751543473641942,-0.0016388666031191,-0.1558333845957076,-0.0401171380519203,0.0156538619380647,0.0257818376386009,Gold,1.0,0.0
TF5_MACD_12_52_9,63,-0.0450308671521151,3.274966839401454e-07,0.0450308671521151,0.5056809338521401,0.5336134453781513,-0.0394318863511747,-5.957288269595152,-0.0636495021553329,6,0.0624088892377201,-0.0333668009931561,-0.1943227500438632,-0.0912099369511881,-0.0647602516047786,-0.0331409322976681,-0.091154732434396,Gold,1.637483419700727e-05,1.0
TF5_MACD_26_52_18,5,-0.0131708918352703,0.1345579183103678,0.0131708918352703,0.5114657576696622,0.5281177381874516,-0.0011114312499144,-0.629207486031594,-0.0306774811691564,6,-0.0023157380530694,-0.0483823855883247,-0.0559648581024621,-0.0766548743311986,-0.0279257231988942,0.005252932296555,-0.0087517212067005,Gold,1.0,0.0
TF5_MACD_26_52_18,21,-0.0572928533590619,7.506666670560664e-11,0.0572928533590619,0.4903816320198573,0.5214828602450752,-0.0162529160896711,-4.391809771428301,-0.0561195507084954,4,0.0353953114548152,-0.0801166672996154,-0.144616081377786,-0.2137450149971758,-0.0408614328973653,0.024066697402412,0.0270403327552473,Gold,5.029466669275645e-09,1.0
TF5_MACD_26_52_18,63,-0.077028842173277,2.2438834604526464e-18,0.077028842173277,0.5017898832684825,0.537503890445067,-0.0503661819448175,-7.785992361073752,-0.0844255061453325,6,0.0467241028943694,-0.1081958071570918,-0.2067263590848893,-0.0460940085198366,-0.1042327750789984,-0.0703545039172074,-0.1020991921536735,Gold,1.6155960915259053e-16,1.0
TF6_SlopeZ_100_60,5,-0.0282338629826859,0.0013356964095201,0.0282338629826859,0.5074836295603368,0.5319476520400308,-0.001533736491257,-0.9346172756304182,-0.0310685107455931,5,-0.0187693416875728,-0.06802205963673,-0.0009886544165654,0.0029357916707568,-0.1291688812388042,-0.0060107096471768,0.0025442797369402,Gold,0.0681205168855251,1.0
TF6_SlopeZ_100_60,21,-0.0558351076649059,2.2349298528684549e-10,0.0558351076649059,0.48026213137775,0.5313078346699568,-0.0112824993449596,-3.671270777802524,-0.0670846826742093,5,-0.0966079906915798,-0.1625045404342015,-0.015091615054762,-0.0115690850541105,-0.2008080791039328,0.00385382279834,0.0131347088207813,Gold,1.4303551058358111e-08,1.0
TF6_SlopeZ_100_60,63,-0.0668639087612169,3.258909461880743e-14,0.0668639087612169,0.499215070643642,0.5397315229131306,-0.0301750725412932,-5.776376567502347,-0.08615008124308,5,-0.2721199881818916,-0.22421244819688,-0.1963334476574646,0.1278344109255663,-0.0392288996314461,0.0243140930210587,-0.0233042889805027,Gold,2.0857020556036755e-12,1.0
TF6_SlopeZ_100_120,5,-0.0256269914778561,0.0035926279205872,0.0256269914778561,0.5137700326746538,0.5257636531934589,-0.0017446560416291,-1.0457896074326,-0.0364505011721154,5,-0.0470203974512052,-0.0896642480242827,-0.0066568803857535,0.0195956303946066,-0.110531297093445,0.0047177908275992,-0.0255941064723276,Gold,0.1760387681087728,1.0
TF6_SlopeZ_100_120,21,-0.0578965766211157,4.7399286143265466e-11,0.0578965766211157,0.4796697304876149,0.5319740500463392,-0.0104279474322154,-3.245000301993889,-0.0797803061501448,6,-0.1591481619450747,-0.2326048597881993,-0.0366854973429783,-0.001872462700384,-0.1387130518121901,0.0400921467109378,-0.0295302561731254,Gold,3.2231514577420516e-09,1.0
