Strategy,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,OOS_CAGR,OOS_Sharpe,Base,LevC,VixC
D-B0.55/L0.4/V0.05,0.2905624812184071,1.171833202300097,-0.34310918243481225,0.04235725268347834,0.12613652553943355,0.8076923076923077,0.20341616434393117,0.8077853721789106,0.55,0.4,0.05
D-B0.55/L0.4/V0.1,0.29319904294066523,1.1886856638317136,-0.3358745350184198,0.042694505624307544,0.13241084579795026,0.8269230769230769,0.2078025300263302,0.823005995315846,0.55,0.4,0.1
D-B0.55/L0.45/V0.05,0.29212244817978084,1.165999013081609,-0.351704159837114,0.0424834358938142,0.12316775258546753,0.8076923076923077,0.20549978562580828,0.8099554884510882,0.55,0.45,0.05
D-B0.55/L0.45/V0.1,0.2953913730904274,1.1839656221129233,-0.3333045723833007,0.04810241819912231,0.13238662622814568,0.8269230769230769,0.20554500388675923,0.8114758522001417,0.55,0.45,0.1
D-B0.6/L0.25/V0.05,0.27241146309123554,1.168518016919065,-0.3334059220371348,0.04086511362083245,0.12058532562098256,0.7884615384615384,0.20127690683059574,0.833391370429694,0.6,0.25,0.05
D-B0.6/L0.25/V0.1,0.27524245299682026,1.1915209175584554,-0.31618080914824287,0.04649879539464874,0.128299567884808,0.7884615384615384,0.20812301544955947,0.8571103512763988,0.6,0.25,0.1
D-B0.6/L0.3/V0.05,0.284249794598155,1.1617972290480059,-0.34937771381689753,0.04025055324649096,0.12365382672105873,0.8076923076923077,0.20594775244591723,0.8189864250877659,0.6,0.3,0.05
D-B0.6/L0.3/V0.1,0.2875937671745623,1.184568786091073,-0.340838989323642,0.0417479192543484,0.1292014056098305,0.8076923076923077,0.21480266303110396,0.8482541636626602,0.6,0.3,0.1
D-B0.6/L0.35/V0.05,0.287944808871496,1.1576124542545552,-0.35302551299888385,0.03937066455592819,0.1213538695151577,0.8076923076923077,0.20491603210038578,0.8094269315414873,0.6,0.35,0.05
D-B0.6/L0.35/V0.1,0.2923248456660035,1.180650026500799,-0.3450472433062852,0.045095294155624854,0.1313044893412183,0.8076923076923077,0.20898511007427123,0.8252968945993399,0.6,0.35,0.1
D-B0.6/L0.4/V0.05,0.29074891652886303,1.157636965932197,-0.3521589706667607,0.04284214819728205,0.1227661385682457,0.8076923076923077,0.21101143103756148,0.8229472463655537,0.6,0.4,0.05
D-B0.6/L0.4/V0.1,0.29320026320095294,1.1739676920578561,-0.3450192017308663,0.04669723407488724,0.13030203428385967,0.8076923076923077,0.21128060906555213,0.8262150076325547,0.6,0.4,0.1
D-B0.6/L0.45/V0.05,0.2909966414628482,1.1535742653256613,-0.35871327734955916,0.044210999458812905,0.12169005279306533,0.8269230769230769,0.21035006623438446,0.8192512014701044,0.6,0.45,0.05
D-B0.6/L0.45/V0.1,0.29685792038526704,1.177653088170156,-0.34634879105461547,0.046168595934157786,0.1285878906994662,0.8076923076923077,0.2153278226802311,0.836039174484169,0.6,0.45,0.1
D-B0.65/L0.25/V0.05,0.28258942915005525,1.1515156677680602,-0.35573759055183984,0.04109091130554998,0.12199894971668734,0.7692307692307693,0.20646114451094433,0.8178404933313559,0.65,0.25,0.05
D-B0.65/L0.25/V0.1,0.28639937636252943,1.1756114817637469,-0.34250158315223145,0.04629684398757572,0.12917569532218653,0.7884615384615384,0.2152284047770625,0.8472905822636683,0.65,0.25,0.1
D-B0.65/L0.3/V0.05,0.28730291087803184,1.1500258579658844,-0.36002190231916975,0.04019737451287542,0.12047316468835012,0.7884615384615384,0.20715648110110996,0.8158664354328499,0.65,0.3,0.05
D-B0.65/L0.3/V0.1,0.2907028399794833,1.1714031871694028,-0.3549294973331336,0.04451112855862416,0.12848365296403497,0.8076923076923077,0.21092390874810407,0.8283687108416322,0.65,0.3,0.1
D-B0.65/L0.35/V0.05,0.28758476379361864,1.145075661449361,-0.359979090212872,0.041147137969775205,0.11964419730694065,0.7884615384615384,0.2112725366304613,0.823786980705993,0.65,0.35,0.05
D-B0.65/L0.35/V0.1,0.2914467045204605,1.1643033237373053,-0.3520683405575733,0.04478975016533071,0.12652966456724424,0.8076923076923077,0.21428931789494476,0.8333970559324116,0.65,0.35,0.1
D-B0.65/L0.4/V0.05,0.28895319961969523,1.1431366752563465,-0.357564331147465,0.04290987289805348,0.12123471809466446,0.7884615384615384,0.21038629525676478,0.8175146442198251,0.65,0.4,0.05
D-B0.65/L0.4/V0.1,0.2944202241468361,1.1666072730506185,-0.3546140334190997,0.04760374619321195,0.1279334927950564,0.8076923076923077,0.2156361086266061,0.8357970503825017,0.65,0.4,0.1
D-B0.65/L0.45/V0.05,0.29025278397190446,1.1425345268701854,-0.3619939596473112,0.04273889958972066,0.12143503949749279,0.8076923076923077,0.2100099697362774,0.8154150533777197,0.65,0.45,0.05
D-B0.65/L0.45/V0.1,0.2964160769382993,1.1675986224931219,-0.35473461352099156,0.05030075808435264,0.13086685092059658,0.8269230769230769,0.2181566027080173,0.8399491686511387,0.65,0.45,0.1
D-B0.7/L0.25/V0.05,0.2847472635188599,1.139126641616361,-0.36618656123164806,0.03961788240022268,0.1181902294405468,0.7884615384615384,0.20990627691132402,0.8197704551072057,0.7,0.25,0.05
D-B0.7/L0.25/V0.1,0.2898246144749299,1.163944262039123,-0.3559186227218677,0.04908826688070134,0.12901603273869378,0.8076923076923077,0.21452545609248874,0.8356737445702457,0.7,0.25,0.1
D-B0.7/L0.3/V0.05,0.2863579389627804,1.1359802810011614,-0.36603680712027453,0.03897676696049235,0.12010549872078369,0.7692307692307693,0.21182771629905406,0.8230427850357556,0.7,0.3,0.05
D-B0.7/L0.3/V0.1,0.2892671039560577,1.154101055461093,-0.36025332852554326,0.04521226068415429,0.12470838401942497,0.7692307692307693,0.21183466960638242,0.8261811242046995,0.7,0.3,0.1
D-B0.7/L0.35/V0.05,0.28752588549458835,1.1351283364816926,-0.36235363341335247,0.038259891698653625,0.12146421882334035,0.7692307692307693,0.21049722507206403,0.815921292015802,0.7,0.35,0.05
D-B0.7/L0.35/V0.1,0.2935705435767684,1.1601356036024795,-0.35899557531377446,0.045791775019453196,0.12778479964976697,0.8076923076923077,0.21822527331680575,0.8417098288953732,0.7,0.35,0.1
D-B0.7/L0.4/V0.05,0.2879361147521766,1.1330765168846468,-0.35689647877661335,0.039531316870357935,0.123173742268609,0.8076923076923077,0.2146926335968593,0.8273879916601466,0.7,0.4,0.05
D-B0.7/L0.4/V0.1,0.2933424621009384,1.1564803953638512,-0.3583221452605938,0.046514327286681034,0.12854992954740618,0.8076923076923077,0.22009193500256852,0.8435667854065383,0.7,0.4,0.1
D-B0.7/L0.45/V0.05,0.2877452404474752,1.1290187636408404,-0.36107836844919805,0.03724647059567743,0.12301199242054217,0.7692307692307693,0.20888210429860354,0.809282094211445,0.7,0.45,0.05
D-B0.7/L0.45/V0.1,0.29488412528144714,1.1579063604430107,-0.36003537419101705,0.04574673564189058,0.1293981588803661,0.8461538461538461,0.2189277012792945,0.839471987039963,0.7,0.45,0.1
