indicator,horizon,IC,IC_pval,IC_abs,hit_rate_high,hit_rate_low,spread,spread_t,WF_avg_IC,WF_stable,WF_IC_1,WF_IC_2,WF_IC_3,WF_IC_4,WF_IC_5,WF_IC_6,WF_IC_7,asset
TF3_MOM_126,5,0.038719455548867195,8.863303454301863e-06,0.038719455548867195,0.5585106382978723,0.5406473180367726,0.003362155001520938,2.8917383691162897,-0.02043927658817976,3,0.019719307507995287,0.022581146368446013,-0.08080475023124745,-0.11858504902937926,-0.00668263844371581,0.026731082333047614,-0.006034034622404735,Bond
TF3_MOM_126,21,0.030288595675828818,0.0005144761597646898,0.030288595675828818,0.5969263542300669,0.5770576601247528,0.00814393741887387,3.1396538617988137,-0.058267096974593535,4,0.037605106826546254,0.0384406989869501,-0.22527160258226778,-0.25339001238174247,0.0036507592043992765,0.018057935697453405,-0.02696256457349355,Bond
TF3_MOM_126,63,0.011482437683604725,0.18874746513541288,0.011482437683604725,0.6377652266829492,0.6205738705738706,0.011982639500223442,2.4557053014565704,-0.11280306944182426,3,0.02889292139416687,0.04480247092061256,-0.34476448673784554,-0.349780684229126,-0.1381284321356849,0.02656962227243739,-0.05721289757733025,Bond
TF3_MOM_189,5,0.05141811623477996,3.5889880740528474e-09,0.05141811623477996,0.5667173252279635,0.5324418781340222,0.002645034184116383,2.3509773509139524,-0.010029151008709793,3,0.027131972315079408,0.014161050219644325,-0.01241916180647793,-0.07936348787631317,-0.0522759468863315,-0.00529976987149773,0.03786128684492806,Bond
TF3_MOM_189,21,0.05581474549726854,1.5171981502354693e-10,0.05581474549726854,0.6059038344491783,0.5680815457173285,0.008618480003038628,3.3454645503368243,-0.05705357121268796,3,0.051386209092782346,0.015450985015125731,-0.132719905535119,-0.21209548499648018,-0.08903323551260064,-0.06395500935255757,0.031591442800033544,Bond
TF3_MOM_189,63,0.08255416810899545,2.9329259010711856e-21,0.08255416810899545,0.6513509387879713,0.6069902319902319,0.03858630459428218,7.788641369641515,-0.08665064783265326,1,-0.00558280536377081,0.015118603550894729,-0.086553822712888,-0.24728134733274199,-0.11924172405176951,-0.10836824845836025,-0.05464519045993688,Bond
TF3_MOM_252,5,0.06880490303987936,2.744404000461775e-15,0.06880490303987936,0.5732522796352584,0.5259079167299803,0.004295970045179171,3.7789529918020426,-0.008488282151928515,2,0.02198131691698733,-0.011332770096332255,-0.03147582965191663,-0.02487474091454842,-0.008016091487872985,-0.013402687728931039,0.00770282789911439,Bond
TF3_MOM_252,21,0.0760116491973607,2.623076216838251e-18,0.0760116491973607,0.6141205112598904,0.5598661189715503,0.011813114624748555,4.64410071316604,-0.054591457453975485,2,0.02820659850703905,-0.06057948805868784,-0.12351125725273357,-0.13068928320528564,0.006769874928901104,-0.07890427276255704,-0.023432374334504385,Bond
TF3_MOM_252,63,0.08417201636188681,4.856411742168804e-22,0.08417201636188681,0.6539459624484811,0.6043956043956044,0.031079673289103334,6.345204707183664,-0.10847408675090212,0,-0.028251657416183077,-0.09740484553136698,-0.2493932998226149,-0.1593052995192882,-0.09533376151521376,-0.11546128697898718,-0.0141684564726607,Bond
TF4_DualM_21_126,5,-0.020201932569097816,0.02047050524499803,0.020201932569097816,0.5419452887537994,0.5572101504330649,-0.0010224535209555899,-0.8870045432582785,0.030754785691096447,3,0.006219884166147397,-0.018395393756603377,0.10676293352046716,0.14516260274798795,-0.0180127790872476,-0.02579872761805695,0.019344979864980565,Bond
