signal_id,signal_name,asset,horizon,n_obs,mean_ic,t_stat,p_value,p_value_bh,hit_rate_max_level,hit_wilson_lower,base_rate,hit_lift_pp,half_sample_same_sign,decade_same_sign,pass_flag
21,ICE BofA HY OAS,IEF,60,390,-0.10869078008228399,-4.6599328688191415,3.163125291472113e-06,6.4282868826691336e-06,0.5084745762711864,0.435431393463088,0.6038140643623361,-9.533948809114968,True,True,True
21,ICE BofA HY OAS,GLD,5,444,-0.004987553457282427,-0.23035280593782573,0.817817630460562,0.817817630460562,0.5141242937853108,0.4409793170146304,0.5428235294117647,-2.8699235626453934,True,True,False
21,ICE BofA HY OAS,GLD,20,429,-0.018940456426044236,-0.5241457880608471,0.6001771435860084,0.6198550827199759,0.5875706214689266,0.5139392946718131,0.5641086186540732,2.3462002814853333,True,True,False
21,ICE BofA HY OAS,GLD,60,390,-0.2257864526822054,-3.8888554576776255,0.00010071807671674371,0.00018662467156337805,0.7627118644067796,0.6948770103289283,0.6212157330154946,14.149613139128503,True,True,False
23,BAA-10Y credit spread (HY-IG proxy),NDX,5,3552,0.07331209026509404,7.705305180471896,1.3100631690576847e-14,5.1583737281646336e-14,0.6002906976744186,0.574164392911419,0.6021176470588235,-0.18269493844049745,True,False,False
23,BAA-10Y credit spread (HY-IG proxy),NDX,20,3537,0.16378249742263926,9.736998474844514,0.0,0.0,0.7063953488372093,0.68178470205951,0.6750885478158205,3.130680102138883,True,True,True
23,BAA-10Y credit spread (HY-IG proxy),NDX,60,3500,0.2047031001203037,7.808012190206971,5.773159728050814e-15,2.424727085781342e-14,0.7834302325581395,0.7608932023032545,0.7501787842669845,3.3251448291155006,True,True,True
23,BAA-10Y credit spread (HY-IG proxy),IEF,5,3552,-0.029059686889209825,-3.078534657867276,0.002080213317443569,0.0029122986444209964,0.5523255813953488,0.5259426217785962,0.5355294117647059,1.6796169630642899,True,False,False
23,BAA-10Y credit spread (HY-IG proxy),IEF,20,3537,-0.08065343800303591,-4.69318285570932,2.6898685636655983e-06,5.843507569342507e-06,0.5632267441860465,0.5368801644040742,0.5600944510035419,0.31322931825045197,True,False,False
23,BAA-10Y credit spread (HY-IG proxy),IEF,60,3500,-0.10324041861243258,-3.8421529876272245,0.00012195977458340224,0.000219527594250124,0.6053779069767442,0.5792936911009026,0.6038140643623361,0.15638426144081174,True,True,False
23,BAA-10Y credit spread (HY-IG proxy),GLD,5,3552,-0.016279573456421278,-2.173663729187229,0.029730398507211486,0.03533990765951554,0.5247093023255814,0.4982909126831038,0.5428235294117647,-1.8114227086183265,False,True,False
23,BAA-10Y credit spread (HY-IG proxy),GLD,20,3537,-0.02640622759749731,-1.9966969279673685,0.04585811605978196,0.05350113540307896,0.5588662790697675,0.5325036157833416,0.5641086186540732,-0.5242339584305755,False,False,False
23,BAA-10Y credit spread (HY-IG proxy),GLD,60,3500,-0.08157360720443724,-3.9424395203470204,8.065699325920939e-05,0.00015398153258576336,0.5712209302325582,0.5449091656368568,0.6212157330154946,-4.999480278293644,False,False,False
26,2s10s spread (DGS10-DGS2),NDX,5,2817,-0.048746723416637674,-6.210758620105561,5.272942082967802e-10,1.444327614030311e-09,0.5944992947813822,0.568721922025018,0.6021176470588235,-0.7618352277441343,True,True,False
26,2s10s spread (DGS10-DGS2),NDX,20,2817,-0.07364232915437273,-4.129415760231845,3.63686223181503e-05,7.16007251888584e-05,0.6671368124118476,0.6421869122758538,0.6750885478158205,-0.795173540397287,False,True,True
26,2s10s spread (DGS10-DGS2),NDX,60,2806,-0.0641307457590636,-2.712927321049206,0.006669173197044742,0.00857465125334324,0.7581100141043724,0.7351431588576903,0.7501787842669845,0.7931229837387921,False,True,True
26,2s10s spread (DGS10-DGS2),IEF,5,2817,0.08398423510038812,8.185770606106223,2.220446049250313e-16,1.2717100100251794e-15,0.577574047954866,0.5516891281461667,0.5355294117647059,4.204463619016008,True,True,False
26,2s10s spread (DGS10-DGS2),IEF,20,2817,0.13053012329097297,7.217994861615329,5.275779813018744e-13,1.8465229345565604e-12,0.6184767277856136,0.5929055742308369,0.5600944510035419,5.838227678207164,False,False,False
26,2s10s spread (DGS10-DGS2),IEF,60,2806,0.20290161038164806,7.6100028322917055,2.731148640577885e-14,1.0121315550376869e-13,0.734132581100141,0.7105275790727411,0.6038140643623361,13.031851673780492,False,False,False
26,2s10s spread (DGS10-DGS2),GLD,5,2817,0.008507767540323868,0.9704299669822148,0.3318322174970656,0.3484238283719189,0.5338504936530324,0.5078293290286955,0.5428235294117647,-0.8973035758732317,True,False,False
26,2s10s spread (DGS10-DGS2),GLD,20,2817,0.050076053555134184,2.727530816634157,0.006381029696454599,0.00840910078823226,0.5394922425952046,0.5134773430548819,0.5641086186540732,-2.4616376058868683,False,True,False
26,2s10s spread (DGS10-DGS2),GLD,60,2806,0.03290976308292797,1.2537209998085435,0.20994343230296542,0.23204274096643546,0.5613540197461213,0.5353949530858394,0.6212157330154946,-5.9861713269373285,False,True,False
27,3M10Y spread (DGS10-DTB3),NDX,5,3315,-0.036442646253886914,-3.815288274896266,0.00013602404291424008,0.00023804207509992015,0.5943396226415094,0.5609377707435085,0.6021176470588235,-0.7778024417314122,False,False,False
27,3M10Y spread (DGS10-DTB3),NDX,20,3300,-0.05629096282004055,-2.922156972405288,0.0034761629681463457,0.004760831891156952,0.6780660377358491,0.6458774428312165,0.6750885478158205,0.2977489920028553,False,False,False
