pattern_id,tier,signal_id,strategy,method,direction,signal_name,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment
T1_M2_6_S3_defensive,1,6,S3,M2,defensive,VIX level,0.13176518068858023,0.2111237540590425,-0.07935857337046226,0.15679799654884596,0.17563190540045204,0.025032815860265734,-0.03549184865859045,-0.010459032798324719,0.6858571504225975,0.9026733232043065,-0.21681617278170895,-0.367374405670741,-0.3457269515654877,-0.02164745410525326,0.020064243227403633,0.08998175595938962,-0.06991751273198599,0.03014859827606062,0.048150778386904576,-0.018002180110843955,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL
T1_M2_6_S3_procyclical,1,6,S3,M2,procyclical,VIX level,0.23016472277072553,0.2111237540590425,0.019040968711683037,0.1610955943448631,0.17563190540045204,-0.06906912842586244,-0.03549184865859045,0.033577279767271984,0.9519942151819897,0.9026733232043065,0.04932089197768319,-0.41684273115246895,-0.3457269515654877,-0.07111577958698123,0.07671590841637688,0.08998175595938962,-0.013265847543012743,0.053256174006234634,0.048150778386904576,0.005105395619330058,cagr_oos|sharpe|p10_5y,maxdd|worst10y|is_oos_gap,3,3,MARGINAL
T1_M1_21_S1_defensive,1,21,S1,M1,defensive,ICE BofA HY OAS,0.19751955589425685,0.36895406199288416,-0.17143450609862732,0.31950509801781,0.31950509801781,0.12198554212355317,-0.049448963975074145,0.07253657814847903,0.674304502591674,0.9442167047916198,-0.2699122021999458,-0.6308742786041249,-0.6308742786041249,0.0,0.15259616260934572,0.1600767266136327,-0.0074805640042869825,0.09504061046933251,0.10270304911622277,-0.007662438646890257,,cagr_oos|sharpe|is_oos_gap,0,3,FAIL
T1_M1_21_S1_procyclical,1,21,S1,M1,procyclical,ICE BofA HY OAS,0.2736436021858195,0.36895406199288416,-0.09531045980706465,0.16921409943093746,0.31950509801781,-0.10442950275488205,-0.049448963975074145,0.05498053877980791,0.9775825352136935,0.9442167047916198,0.03336583042207375,-0.392569577550282,-0.6308742786041249,0.23830470105384294,0.09399886034956229,0.1600767266136327,-0.06607786626407042,0.07129785448868256,0.10270304911622277,-0.03140519462754021,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL
T1_M2_21_S1_defensive,1,21,S1,M2,defensive,ICE BofA HY OAS,0.29579450025063503,0.36895406199288416,-0.07315956174224914,0.37099922848910083,0.31950509801781,0.0752047282384658,-0.049448963975074145,0.025755764263391656,0.8034172869040201,0.9442167047916198,-0.14079941788759964,-0.705722000767478,-0.6308742786041249,-0.07484772216335311,0.17708857028178637,0.1600767266136327,0.01701184366815367,0.1024372086573544,0.10270304911622277,-0.00026584045886837715,worst10y,cagr_oos|sharpe|maxdd|is_oos_gap,1,4,MARGINAL
T1_M2_21_S1_procyclical,1,21,S1,M2,procyclical,ICE BofA HY OAS,0.35919926227033083,0.36895406199288416,-0.009754799722553331,0.2324314688453577,0.31950509801781,-0.12676779342497313,-0.049448963975074145,0.07731882944989898,0.9953447540510569,0.9442167047916198,0.05112804925943715,-0.4904815381749854,-0.6308742786041249,0.14039274042913952,0.12420818805811118,0.1600767266136327,-0.03586853855552152,0.08880684458772592,0.10270304911622277,-0.013896204528496853,sharpe|maxdd,worst10y|p10_5y|is_oos_gap,2,3,MARGINAL
T1_M1_21_S2_defensive,1,21,S2,M1,defensive,ICE BofA HY OAS,0.1867052342533635,0.3423408795785974,-0.15563564532523388,0.28975219670723273,0.28975219670723273,0.10304696245386924,-0.052588682871364645,0.050458279582504595,0.7095035107249679,0.9899685484027655,-0.2804650376777976,-0.5181849703181018,-0.5181849703181018,0.0,0.14521095733071943,0.15932573272697081,-0.014114775396251389,0.10787525235764907,0.11867000388796023,-0.010794751530311161,,cagr_oos|sharpe|worst10y|p10_5y|is_oos_gap,0,5,FAIL
T1_M1_21_S2_procyclical,1,21,S2,M1,procyclical,ICE BofA HY OAS,0.2474477212635613,0.3423408795785974,-0.09489315831503609,0.14828944338182315,0.28975219670723273,-0.09915827788173814,-0.052588682871364645,0.0465695950103735,1.013825072510827,0.9899685484027655,0.023856524108061605,-0.3693911526130518,-0.5181849703181018,0.14879381770505007,0.08663007799754308,0.15932573272697081,-0.07269565472942774,0.06994934327480555,0.11867000388796023,-0.04872066061315468,maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,1,4,MARGINAL
T1_M2_21_S2_defensive,1,21,S2,M2,defensive,ICE BofA HY OAS,0.28422390429823263,0.3423408795785974,-0.05811697528036475,0.3426917984379698,0.28975219670723273,0.058467894139737187,-0.052588682871364645,0.005879211268372542,0.852686295336919,0.9899685484027655,-0.13728225306584652,-0.587995384513005,-0.5181849703181018,-0.06981041419490319,0.1800694673102774,0.15932573272697081,0.020743734583306583,0.13118737754100085,0.11867000388796023,0.01251737365304062,worst10y|p10_5y,cagr_oos|sharpe|maxdd,2,3,MARGINAL
T1_M2_21_S2_procyclical,1,21,S2,M2,procyclical,ICE BofA HY OAS,0.32545920830658925,0.3423408795785974,-0.016881671272008125,0.20611976609635807,0.28975219670723273,-0.11933944221023118,-0.052588682871364645,0.06675075933886654,1.0277880768509482,0.9899685484027655,0.037819528448182704,-0.4590841729216315,-0.5181849703181018,0.05910079739647034,0.11762327299188535,0.15932573272697081,-0.04170245973508546,0.09226996576523336,0.11867000388796023,-0.02640003812272687,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL
T1_M1_21_S3_defensive,1,21,S3,M1,defensive,ICE BofA HY OAS,0.12172160127520582,0.2111237540590425,-0.08940215278383667,0.17563190540045204,0.17563190540045204,0.05391030412524622,-0.03549184865859045,0.01841845546665577,0.6372014190584112,0.9026733232043065,-0.2654719041458953,-0.3457269515654877,-0.3457269515654877,0.0,0.08745111239823067,0.08998175595938962,-0.0025306435611589517,0.04668740608746069,0.048150778386904576,-0.0014633722994438839,,cagr_oos|sharpe|is_oos_gap,0,3,FAIL
T1_M1_21_S3_procyclical,1,21,S3,M1,procyclical,ICE BofA HY OAS,0.15049116612611613,0.2111237540590425,-0.06063258793292636,0.08916188181878493,0.17563190540045204,-0.0613292843073312,-0.03549184865859045,0.025837435648740747,0.9665843405696253,0.9026733232043065,0.06391101736531879,-0.2638423552037801,-0.3457269515654877,0.08188459636170764,0.04971632033545781,0.08998175595938962,-0.04026543562393181,0.02838867732658721,0.048150778386904576,-0.019762101060317366,sharpe|maxdd,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL
T1_M2_21_S3_defensive,1,21,S3,M2,defensive,ICE BofA HY OAS,0.18756789841352295,0.2111237540590425,-0.02355585564551954,0.20903943087396493,0.17563190540045204,0.021471532460441978,-0.03549184865859045,-0.014020316198148475,0.7836450278408057,0.9026733232043065,-0.11902829536350079,-0.4025863515871487,-0.3457269515654877,-0.05685940002166101,0.10312513704348913,0.08998175595938962,0.013143381084099515,0.05349029524666014,0.048150778386904576,0.005339516859755561,worst10y|p10_5y|is_oos_gap,cagr_oos|sharpe|maxdd,3,3,MARGINAL
T1_M2_21_S3_procyclical,1,21,S3,M2,procyclical,ICE BofA HY OAS,0.19487921264918917,0.2111237540590425,-0.01624454140985332,0.12417812675314366,0.17563190540045204,-0.07070108589604551,-0.03549184865859045,0.03520923723745506,0.9561379765969023,0.9026733232043065,0.05346465339259576,-0.33135445285093157,-0.3457269515654877,0.014372498714556148,0.06703898609848102,0.08998175595938962,-0.022942769860908596,0.03734587680957699,0.048150778386904576,-0.010804901577327587,sharpe,cagr_oos|worst10y|p10_5y|is_oos_gap,1,4,MARGINAL
T1_M1_23_S1_defensive,1,23,S1,M1,defensive,BAA-10Y credit spread,0.16857882013461545,0.36895406199288416,-0.20037524185826872,0.17515417126491872,0.31950509801781,0.006575351130303275,-0.049448963975074145,-0.04287361284477087,0.6061285143829915,0.9442167047916198,-0.33808819040862825,-0.630874278604125,-0.6308742786041249,-1.1102230246251565e-16,-0.005372518150366323,0.1600767266136327,-0.16544924476399903,0.0,0.10270304911622277,-0.10270304911622277,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL
T1_M1_23_S1_procyclical,1,23,S1,M1,procyclical,BAA-10Y credit spread,0.28933947565453555,0.36895406199288416,-0.07961458633834861,0.2298198933263953,0.31950509801781,-0.05951958232814025,-0.049448963975074145,0.010070618353066108,1.0260507494332112,0.9442167047916198,0.08183404464159139,-0.5437494112691693,-0.6308742786041249,0.08712486733495561,0.1348576910629764,0.1600767266136327,-0.0252190355506563,0.10814837480350499,0.10270304911622277,0.005445325687282218,sharpe|maxdd|p10_5y,cagr_oos|worst10y,3,2,MARGINAL
T1_M2_23_S1_defensive,1,23,S1,M2,defensive,BAA-10Y credit spread,0.30182631237074786,0.36895406199288416,-0.0671277496221363,0.2853397111464062,0.31950509801781,-0.016486601224341646,-0.049448963975074145,-0.0329623627507325,0.8242357192262513,0.9442167047916198,-0.11998098556536851,-0.665585687897314,-0.6308742786041249,-0.034711409293189055,0.0961484105850463,0.1600767266136327,-0.0639283160285864,0.06493343816258941,0.10270304911622277,-0.03776961095363336,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL
T1_M2_23_S1_procyclical,1,23,S1,M2,procyclical,BAA-10Y credit spread,0.3656893563196464,0.36895406199288416,-0.0032647056732377777,0.28884887845378837,0.31950509801781,-0.07684047786585801,-0.049448963975074145,0.02739151389078387,0.9970279571616875,0.9442167047916198,0.052811252370067674,-0.6342888105442421,-0.6308742786041249,-0.0034145319401172047,0.1404970112577839,0.1600767266136327,-0.019579715355848792,0.10302723671913339,0.10270304911622277,0.0003241876029106139,sharpe,worst10y|is_oos_gap,1,2,MARGINAL
