window_id,window_kind,is_start,is_end,oos_start,oos_end,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,candidate_minus_baseline_cagr,candidate_minus_baseline_sharpe,baseline_trades_yr,candidate_trades_yr
2002,IS,2002-01-02,2002-12-31,,,252,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,,0.000000,0.000000
2003,IS,2003-01-02,2003-12-31,,,252,False,0.767669,0.977070,1.953211,1.972263,-0.137343,-0.161585,0.209402,0.019052,32.000000,37.000000
2004,IS,2004-01-02,2004-12-31,,,252,False,0.020173,0.002905,0.200106,0.115599,-0.244353,-0.255955,-0.017268,-0.084507,34.000000,41.000000
2005,IS,2005-01-03,2005-12-30,,,252,False,0.056033,0.086663,0.374088,0.570075,-0.183157,-0.150624,0.030629,0.195987,19.000000,21.000000
2006,IS,2006-01-03,2006-12-29,,,251,False,0.286185,0.201386,1.327793,1.269914,-0.123753,-0.109204,-0.084800,-0.057879,18.071713,19.075697
2007,IS,2007-01-03,2007-12-31,,,251,False,0.050268,0.046020,0.338971,0.361587,-0.122199,-0.082533,-0.004248,0.022616,23.091633,25.099602
2008,IS,2008-01-02,2008-12-31,,,253,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,,0.000000,0.000000
2009,IS,2009-01-02,2009-12-31,,,252,False,0.440404,0.574251,1.688286,1.657257,-0.105875,-0.138410,0.133847,-0.031029,14.000000,15.000000
2010,IS,2010-01-04,2010-12-31,,,252,False,0.561256,0.672486,1.888372,1.825336,-0.124447,-0.154902,0.111229,-0.063035,28.000000,31.000000
2011,IS,2011-01-03,2011-12-30,,,252,False,-0.092367,-0.118510,-0.554390,-0.621335,-0.154635,-0.178276,-0.026143,-0.066944,31.000000,38.000000
2012,IS,2012-01-03,2012-12-31,,,250,False,0.301229,0.389939,1.329764,1.305686,-0.138044,-0.176864,0.088710,-0.024079,14.112000,14.112000
2013,IS,2013-01-02,2013-12-31,,,252,False,0.117399,0.159831,0.644958,0.704199,-0.128273,-0.149934,0.042432,0.059241,27.000000,37.000000
2014,IS,2014-01-02,2014-12-31,,,252,False,0.026222,0.021004,0.249483,0.209738,-0.101903,-0.110763,-0.005219,-0.039746,16.000000,16.000000
2015,IS,2015-01-02,2015-12-31,,,252,False,-0.165925,-0.188301,-0.788479,-0.717979,-0.208772,-0.236649,-0.022375,0.070499,23.000000,23.000000
2016,IS,2016-01-04,2016-12-30,,,252,False,-0.025306,-0.038779,0.014522,0.017120,-0.169587,-0.226079,-0.013473,0.002598,27.000000,35.000000
2017,IS,2017-01-03,2017-12-29,,,251,False,0.265657,0.283152,1.661628,1.706460,-0.108958,-0.108335,0.017495,0.044832,62.247012,65.258964
2018,IS,2018-01-02,2018-12-31,,,251,False,-0.092507,-0.084355,-0.413679,-0.469714,-0.200624,-0.168128,0.008152,-0.056036,27.107570,31.123506
2019,IS,2019-01-02,2019-12-31,,,252,False,0.297993,0.356166,1.214092,1.350791,-0.188114,-0.166252,0.058172,0.136699,25.000000,32.000000
2020,IS,2020-01-02,2020-12-31,,,253,False,0.709086,0.885908,1.985603,2.012812,-0.210667,-0.229312,0.176823,0.027209,6.972332,9.960474
2021,OOS,2021-01-04,2021-12-31,2021-01-04,2021-12-31,252,False,0.270544,0.226156,1.130587,0.997372,-0.193126,-0.196257,-0.044387,-0.133216,20.000000,26.000000
2022,OOS,2022-01-03,2022-12-30,2022-01-03,2022-12-30,251,False,0.000000,0.000000,,,0.000000,0.000000,0.000000,,0.000000,0.000000
2023,OOS,2023-01-03,2023-12-29,2023-01-03,2023-12-29,250,False,0.328754,0.344476,1.055916,1.150604,-0.263842,-0.244112,0.015722,0.094688,30.240000,40.320000
2024,OOS,2024-01-02,2024-12-31,2024-01-02,2024-12-31,252,False,0.265104,0.234387,0.959992,1.095555,-0.165047,-0.122275,-0.030717,0.135563,45.000000,47.000000
2025,OOS,2025-01-02,2025-12-31,2025-01-02,2025-12-31,250,False,0.258981,0.246706,1.037018,1.265559,-0.163292,-0.125978,-0.012276,0.228541,27.216000,34.272000
2026,OOS,2026-01-02,2026-03-26,2026-01-02,2026-03-26,58,True,-0.284104,-0.171486,-1.268439,-0.985770,-0.131968,-0.098081,0.112618,0.282669,26.068966,26.068966
