pattern_id,tier,signal_id,strategy,method,direction,signal_name,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,cand_trades_yr,base_trades_yr,trades_yr_diff,cand_wfe,base_wfe,wfe_diff,cand_ci95_lo,base_ci95_lo,ci95_lo_diff,improved_axes,degraded_axes,n_improved,n_degraded,judgment,improved_axes_relaxed,degraded_axes_relaxed,n_improved_relaxed,n_degraded_relaxed,judgment_relaxed,improved_axes_full,degraded_axes_full,n_improved_full,n_degraded_full,judgment_full
T2F_M4_23_S1_vol_adj,2,23,S1,M4,vol_adj,BAA-10Y credit spread,0.29849524778257996,0.36895406199288416,-0.0704588142103042,0.3859428252380068,0.31950509801781,0.08744757745542686,-0.049448963975074145,0.037998613480352716,0.8702354609669275,0.9442167047916198,-0.07398124382469229,-0.8308052012064192,-0.6308742786041249,-0.19993092260229428,0.06479163330516768,0.1600767266136327,-0.09528509330846502,0.12120021444470334,0.10270304911622277,0.018497165328480572,127.3090401551688,118.55881736213043,8.750222793038375,0.9654163776608126,0.922425020804485,0.0429913568563276,0.6385354855766456,0.5257857915346811,0.11274969404196455,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL_RELAXED,p10_5y|ci95_lo,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,2,5,MARGINAL_FULL
T2F_M5_23_S1_filter_entry,2,23,S1,M5,filter_entry,BAA-10Y credit spread,0.17146917127523031,0.36895406199288416,-0.19748489071765385,0.12283573532953018,0.31950509801781,-0.04863343594570013,-0.049448963975074145,-0.000815528029374013,0.830069443894217,0.9442167047916198,-0.11414726089740279,-0.5437494112691692,-0.6308742786041249,0.08712486733495572,-0.004730481753328464,0.1600767266136327,-0.16480720836696117,0.0,0.10270304911622277,-0.10270304911622277,74.25243761794925,118.55881736213043,-44.30637974418117,1.330349081181494,0.922425020804485,0.407924060377009,0.5168303994377932,0.5257857915346811,-0.008955392096887893,maxdd,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL_RELAXED,maxdd|wfe,cagr_oos|sharpe|worst10y|p10_5y,2,4,MARGINAL_FULL
T2F_M2_23_S2_procyclical,2,23,S2,M2,procyclical,BAA-10Y credit spread,0.3377489301065806,0.3423408795785974,-0.004591949472016799,0.2663742974985499,0.28975219670723273,-0.07137463260803067,-0.052588682871364645,0.01878594973666603,1.0427889676487518,0.9899685484027655,0.05282041924598635,-0.48735854531372225,-0.5181849703181018,0.0308264250043796,0.13754981794885324,0.15932573272697081,-0.021775914778117578,0.11742757961057135,0.11867000388796023,-0.0012424242773888816,128.57274847976515,119.36299538687356,9.209753092891589,0.9441555435025534,0.920915242156969,0.023240301345584413,0.5880363912922806,0.5976195528092223,-0.009583161516941718,sharpe|maxdd,worst10y|is_oos_gap,2,2,MARGINAL,sharpe|maxdd,worst10y,2,1,MARGINAL_RELAXED,sharpe|maxdd,worst10y|wfe,2,2,MARGINAL_FULL
T2F_M4_23_S2_vol_adj,2,23,S2,M4,vol_adj,BAA-10Y credit spread,0.23826282724753334,0.3423408795785974,-0.10407805233106404,0.3286745128811832,0.28975219670723273,0.09041168563364987,-0.052588682871364645,0.03782300276228523,0.8585001976400883,0.9899685484027655,-0.13146835076267716,-0.7622181391846359,-0.5181849703181018,-0.24403316886653403,0.10142730548571866,0.15932573272697081,-0.05789842724125216,0.12051492193695354,0.11867000388796023,0.0018449180489933104,127.4239227301321,119.36299538687356,8.060927343258541,0.9844078978859098,0.920915242156969,0.0634926557289408,0.7021845387761951,0.5976195528092223,0.10456498596697283,,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,0,5,FAIL,,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,0,5,FAIL_RELAXED,wfe|ci95_lo,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,2,5,MARGINAL_FULL
T2F_M5_23_S2_filter_entry,2,23,S2,M5,filter_entry,BAA-10Y credit spread,0.1715250976023719,0.3423408795785974,-0.1708157819762255,0.11488463238371582,0.28975219670723273,-0.056640465218656066,-0.052588682871364645,0.004051782347291422,0.9304931332306561,0.9899685484027655,-0.059475415172109414,-0.4036201391461497,-0.5181849703181018,0.11456483117195215,-0.0033484734249422665,0.15932573272697081,-0.16267420615191308,0.0,0.11867000388796023,-0.11867000388796023,74.80770339693856,119.36299538687356,-44.555291989935,1.2625062959267672,0.920915242156969,0.34159105376979826,0.5460329820850535,0.5976195528092223,-0.051586570724168834,maxdd,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL,maxdd,cagr_oos|sharpe|worst10y|p10_5y,1,4,MARGINAL_RELAXED,maxdd|wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,2,5,MARGINAL_FULL
T2F_M2_23_S3_procyclical,2,23,S3,M2,procyclical,BAA-10Y credit spread,0.21656812344039222,0.2111237540590425,0.005444369381349734,0.16018154144447538,0.17563190540045204,-0.05638658199591684,-0.03549184865859045,0.020894733337326388,0.9697159499810035,0.9026733232043065,0.06704262677669703,-0.3962202279266238,-0.3457269515654877,-0.0504932763611361,0.07258639464529848,0.08998175595938962,-0.01739536131409114,0.048445931607352354,0.048150778386904576,0.0002951532204477775,72.01222740616481,68.73807401971064,3.2741533864541736,1.0576620670850758,1.023102865510121,0.034559201574954734,0.66407495159252,0.6704755123961896,-0.006400560803669686,cagr_oos|sharpe,maxdd|worst10y|is_oos_gap,2,3,MARGINAL,cagr_oos|sharpe,,2,0,STANDARD_PASS_RELAXED,cagr_oos|sharpe,,2,0,MARGINAL_FULL
T2F_M4_23_S3_vol_adj,2,23,S3,M4,vol_adj,BAA-10Y credit spread,0.16095901048547034,0.2111237540590425,-0.050164743573572146,0.2115981727838443,0.17563190540045204,0.05063916229837395,-0.03549184865859045,0.0151473136397835,0.8761777489787201,0.9026733232043065,-0.02649557422558635,-0.3639682454368022,-0.3457269515654877,-0.018241293871314457,0.061444603755116844,0.08998175595938962,-0.028537152204272775,0.0585822173726672,0.048150778386904576,0.010431438985762626,71.26549066890334,68.73807401971064,2.527416649192702,1.0489688406110087,1.023102865510121,0.025865975100887617,0.8582172511302499,0.6704755123961896,0.1877417387340603,p10_5y,cagr_oos|worst10y|is_oos_gap,1,3,MARGINAL,p10_5y,cagr_oos|worst10y,1,2,MARGINAL_RELAXED,p10_5y|ci95_lo,cagr_oos|worst10y,2,2,MARGINAL_FULL
T2F_M5_23_S3_filter_entry,2,23,S3,M5,filter_entry,BAA-10Y credit spread,0.11408779270706693,0.2111237540590425,-0.09703596135197556,0.06447362629573083,0.17563190540045204,-0.04961416641133609,-0.03549184865859045,0.014122317752745639,0.8194240071534893,0.9026733232043065,-0.0832493160508172,-0.3932376030147646,-0.3457269515654877,-0.04751065144927691,-0.0020662784207482465,0.08998175595938962,-0.09204803438013787,0.0,0.048150778386904576,-0.048150778386904576,45.79985321870413,68.73807401971064,-22.93822080100651,1.398944085171788,1.023102865510121,0.37584121966166695,0.4643960768031838,0.6704755123961896,-0.20607943559300584,,cagr_oos|sharpe|worst10y|p10_5y,0,4,FAIL,,cagr_oos|sharpe|worst10y|p10_5y,0,4,FAIL_RELAXED,wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,1,5,MARGINAL_FULL
T2F_M2_41_S1_procyclical,2,41,S1,M2,procyclical,DXY,0.4426999717840532,0.36895406199288416,0.07374590979116902,0.2434295828834172,0.31950509801781,-0.19927038890063598,-0.049448963975074145,0.14982142492556183,0.9591476710966984,0.9442167047916198,0.014930966305078619,-0.5496554440394663,-0.6308742786041249,0.08121883456465862,0.12420818805811118,0.1600767266136327,-0.03586853855552152,0.10072610347363743,0.10270304911622277,-0.00197694564258534,126.4282737471168,118.55881736213043,7.869456384986378,0.973306645225225,0.922425020804485,0.05088162442074007,0.5295117190004275,0.5257857915346811,0.0037259274657464037,cagr_oos|maxdd,worst10y|is_oos_gap,2,2,MARGINAL,cagr_oos|maxdd,worst10y|is_oos_gap,2,2,MARGINAL_RELAXED,cagr_oos|maxdd|wfe,worst10y|is_oos_gap,3,2,MARGINAL_FULL
T2F_M4_41_S1_vol_adj,2,41,S1,M4,vol_adj,DXY,0.18707635930625455,0.36895406199288416,-0.18187770268662962,0.4838246101802868,0.31950509801781,0.2967482508740322,-0.049448963975074145,0.24729928689895808,0.9140058193861647,0.9442167047916198,-0.030210885405455135,-0.8308052012064192,-0.6308742786041249,-0.19993092260229428,0.08477173038281349,0.1600767266136327,-0.07530499623081921,0.13818188886997299,0.10270304911622277,0.03547883975375021,124.93480027259383,118.55881736213043,6.3759829104634065,0.966329511970544,0.922425020804485,0.04390449116605899,0.6469729688460617,0.5257857915346811,0.12118717731138062,p10_5y,cagr_oos|sharpe|maxdd|worst10y|is_oos_gap,1,5,MARGINAL,p10_5y,cagr_oos|maxdd|worst10y|is_oos_gap,1,4,MARGINAL_RELAXED,p10_5y|ci95_lo,cagr_oos|maxdd|worst10y|is_oos_gap,2,4,MARGINAL_FULL
