pattern_id,signal,strategy,method,direction,cand_cagr_oos,base_cagr_oos,cagr_oos_diff,cand_cagr_is,base_cagr_is,cand_is_oos_gap,base_is_oos_gap,is_oos_gap_diff,cand_sharpe_oos,base_sharpe_oos,sharpe_diff,cand_maxdd,base_maxdd,maxdd_diff,cand_worst10y,base_worst10y,worst10y_diff,cand_p10_5y,base_p10_5y,p10_5y_diff,cand_trades_yr,base_trades_yr,trades_yr_diff,cand_wfe,base_wfe,wfe_diff,cand_ci95_lo,base_ci95_lo,ci95_lo_diff,improved_axes_full,degraded_axes_full,n_improved_full,n_degraded_full,judgment_full
G3_nasdaq_mom63_S1_M5_filter_entry,nasdaq_mom63,S1,M5,filter_entry,0.21529748506140023,0.36895406199288416,-0.15365657693148393,0.2288401397545181,0.31950509801781,0.013542654693117884,-0.049448963975074145,-0.03590630928195626,0.7045207254595874,0.9442167047916198,-0.23969597933203235,-0.6286408169085362,-0.6308742786041249,0.00223346169558869,0.023742972509570803,0.1600767266136327,-0.1363337541040619,0.0007799965627839542,0.10270304911622277,-0.10192305255343882,59.3751441602013,118.55881736213043,-59.183673201929125,0.9120895126419255,0.922425020804485,-0.01033550816255946,0.413787374297971,0.5257857915346811,-0.11199841723671006,is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y|wfe|ci95_lo,1,6,MARGINAL_FULL
G3_nasdaq_mom63_S1_M6_defensive,nasdaq_mom63,S1,M6,defensive,0.35971315093595146,0.36895406199288416,-0.009240911056932699,0.29578968209471745,0.31950509801781,-0.06392346884123401,-0.049448963975074145,0.014474504866159865,0.9906029289653658,0.9442167047916198,0.04638622417374605,-0.6113697295876906,-0.6308742786041249,0.01950454901643428,0.12546198380265094,0.1600767266136327,-0.03461474281098176,0.10873765685350327,0.10270304911622277,0.006034607737280498,95.33339012371567,118.55881736213043,-23.225427238414753,0.9428624178282623,0.922425020804485,0.020437397023777337,0.5493625041732375,0.5257857915346811,0.02357671263855643,sharpe|p10_5y,worst10y|wfe,2,2,MARGINAL_FULL
G3_nasdaq_mom63_S1_M6_procyclical,nasdaq_mom63,S1,M6,procyclical,0.37210980395951054,0.36895406199288416,0.0031557419666263797,0.34019232645113484,0.31950509801781,-0.0319174775083757,-0.049448963975074145,-0.017531486466698443,0.8997890783801478,0.9442167047916198,-0.04442762641147202,-0.6499673703215588,-0.6308742786041249,-0.019093091717433897,0.14734178356037209,0.1600767266136327,-0.012734943053260617,0.08797861970055099,0.10270304911622277,-0.014724429415671786,95.33339012371567,118.55881736213043,-23.225427238414753,0.9079015769293557,0.922425020804485,-0.014523443875129272,0.502917160018498,0.5257857915346811,-0.022868631516183124,is_oos_gap,wfe,1,1,MARGINAL_FULL
G3_nasdaq_mom63_S2_M1_defensive,nasdaq_mom63,S2,M1,defensive,0.13621210109399318,0.3423408795785974,-0.2061287784846042,0.10937436494229247,0.28975219670723273,-0.02683773615170071,-0.052588682871364645,-0.025750946719663936,0.7401077712771181,0.9899685484027655,-0.24986077712564736,-0.4961989992820821,-0.5181849703181018,0.021985971036019736,-0.008585650845176485,0.15932573272697081,-0.1679113835721473,0.03529827842341908,0.11867000388796023,-0.08337172546454115,63.98959425456071,119.36299538687356,-55.37340113231286,1.0572138534571196,0.920915242156969,0.13629861130015064,0.43331635933687146,0.5976195528092223,-0.16430319347235084,maxdd|is_oos_gap|wfe,cagr_oos|sharpe|worst10y|p10_5y|ci95_lo,3,5,MARGINAL_FULL
G3_nasdaq_mom63_S2_M1_procyclical,nasdaq_mom63,S2,M1,procyclical,0.28200679408496687,0.3423408795785974,-0.06033408549363051,0.25343137986283115,0.28975219670723273,-0.02857541422213572,-0.052588682871364645,-0.024013268649228925,0.9079643852940407,0.9899685484027655,-0.08200416310872483,-0.46428942044692256,-0.5181849703181018,0.05389554987117928,0.10201958559524416,0.15932573272697081,-0.05730614713172666,0.08179543648480778,0.11867000388796023,-0.03687456740315245,60.409087334871046,119.36299538687356,-58.95390805200252,0.9105749724932192,0.920915242156969,-0.01034026966374979,0.5575705058187077,0.5976195528092223,-0.04004904699051459,maxdd|is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y|wfe,2,5,MARGINAL_FULL
G3_nasdaq_mom63_S2_M2_defensive,nasdaq_mom63,S2,M2,defensive,0.2741058930952591,0.3423408795785974,-0.06823498648333826,0.204663889236264,0.28975219670723273,-0.06944200385899513,-0.052588682871364645,0.016853320987630482,1.0899314658556951,0.9899685484027655,0.09996291745292962,-0.47144546069066506,-0.5181849703181018,0.04673950962743678,0.05378225830187544,0.15932573272697081,-0.10554347442509537,0.08603010497282111,0.11867000388796023,-0.03263989891513912,94.29944694904593,119.36299538687356,-25.063548437827635,1.0056904449869766,0.920915242156969,0.08477520283000761,0.6472663702250709,0.5976195528092223,0.04964681741584864,sharpe|maxdd|wfe,cagr_oos|worst10y|p10_5y,3,3,MARGINAL_FULL
G3_nasdaq_mom63_S2_M2_procyclical,nasdaq_mom63,S2,M2,procyclical,0.3399828799330564,0.3423408795785974,-0.0023579996455409535,0.3088054850946558,0.28975219670723273,-0.03117739483840065,-0.052588682871364645,-0.021411288032963993,0.9094964387752014,0.9899685484027655,-0.08047210962756413,-0.5249076819520841,-0.5181849703181018,-0.006722711633982303,0.12655257614211046,0.15932573272697081,-0.03277315658486035,0.10633012879694644,0.11867000388796023,-0.012339875091013794,114.7868394841686,119.36299538687356,-4.5761559027049685,0.8990930626428302,0.920915242156969,-0.021822179514138784,0.5509564798524278,0.5976195528092223,-0.046663072956794505,is_oos_gap,sharpe|worst10y|wfe,1,3,MARGINAL_FULL
G3_nasdaq_mom63_S2_M4_vol_adj,nasdaq_mom63,S2,M4,vol_adj,0.21327056629406527,0.3423408795785974,-0.1290703132845321,0.21367807681722173,0.28975219670723273,0.0004075105231564624,-0.052588682871364645,-0.05218117234820818,0.9079440032453403,0.9899685484027655,-0.08202454515742519,-0.5834547899249154,-0.5181849703181018,-0.06526981960681355,0.07014586232369657,0.15932573272697081,-0.08917987040327424,0.07920157278493675,0.11867000388796023,-0.03946843110302348,111.53183319354163,119.36299538687356,-7.831162193331934,1.0196617734635853,0.920915242156969,0.09874653130661637,0.553537832674918,0.5976195528092223,-0.044081720134304336,is_oos_gap|wfe,cagr_oos|sharpe|worst10y|p10_5y,2,4,MARGINAL_FULL
G3_nasdaq_mom63_S2_M4_reverse,nasdaq_mom63,S2,M4,reverse,0.1881636919124059,0.3423408795785974,-0.15417718766619148,0.27840835751165205,0.28975219670723273,0.09024466559924615,-0.052588682871364645,0.03765598272788151,0.623884957401368,0.9899685484027655,-0.36608359100139753,-0.6218143179728466,-0.5181849703181018,-0.10362934765474474,0.03528840938342759,0.15932573272697081,-0.12403732334354323,0.041078511052093654,0.11867000388796023,-0.07759149283586658,111.24462675613337,119.36299538687356,-8.118368630740193,0.8627343260671324,0.920915242156969,-0.058180916089836554,0.39576777318967626,0.5976195528092223,-0.20185177961954603,,cagr_oos|sharpe|maxdd|worst10y|p10_5y|is_oos_gap|wfe|ci95_lo,0,8,FAIL_FULL
G3_nasdaq_mom63_S2_M5_stop_only,nasdaq_mom63,S2,M5,stop_only,0.2955992411904633,0.3423408795785974,-0.046741638388134055,0.19090022997205947,0.28975219670723273,-0.10469901121840386,-0.052588682871364645,0.052110328347039214,1.1041364350636769,0.9899685484027655,0.11416788666091138,-0.5010959119781171,-0.5181849703181018,0.017089058339984753,0.02284324964767004,0.15932573272697081,-0.13648248307930078,0.05352967223638063,0.11867000388796023,-0.06514033165157959,34.08183057244705,119.36299538687356,-85.28116481442652,0.9879281352293675,0.920915242156969,0.06701289307239855,0.5574047216855371,0.5976195528092223,-0.04021483112368518,sharpe|wfe,cagr_oos|worst10y|p10_5y|is_oos_gap,2,4,MARGINAL_FULL
G3_nasdaq_mom63_S2_M5_filter_entry,nasdaq_mom63,S2,M5,filter_entry,0.2159023320505935,0.3423408795785974,-0.12643854752800388,0.21201454884035464,0.28975219670723273,-0.00388778321023886,-0.052588682871364645,-0.048700899661125785,0.763227116165031,0.9899685484027655,-0.22674143223773446,-0.4897305237690327,-0.5181849703181018,0.028454446549069146,0.040304391672571604,0.15932573272697081,-0.11902134105439921,0.049864873938468654,0.11867000388796023,-0.06880512994949158,59.35599706437409,119.36299538687356,-60.00699832249948,0.9036628140341993,0.920915242156969,-0.017252428122769614,0.46049694481674325,0.5976195528092223,-0.13712260799247905,maxdd|is_oos_gap,cagr_oos|sharpe|worst10y|p10_5y|wfe|ci95_lo,2,6,MARGINAL_FULL
G3_nasdaq_mom63_S2_M6_defensive,nasdaq_mom63,S2,M6,defensive,0.3255596322280656,0.3423408795785974,-0.01678124735053177,0.2669427966293494,0.28975219670723273,-0.05861683559871622,-0.052588682871364645,0.006028152727351577,1.0288006713078375,0.9899685484027655,0.038832122905071986,-0.5063121274091561,-0.5181849703181018,0.011872842908945747,0.12938895550424667,0.15932573272697081,-0.029936777222724142,0.11799786687979821,0.11867000388796023,-0.0006721370081620159,95.77377332774167,119.36299538687356,-23.5892220591319,0.9383713200377967,0.920915242156969,0.017456077880827703,0.6216089559469349,0.5976195528092223,0.023989403137712584,sharpe,worst10y|wfe,1,2,MARGINAL_FULL
G3_nasdaq_mom63_S2_M6_procyclical,nasdaq_mom63,S2,M6,procyclical,0.35515771232251825,0.3423408795785974,0.01281683274392087,0.31084800818214053,0.28975219670723273,-0.044309704140377715,-0.052588682871364645,-0.00827897873098693,0.9508735233297395,0.9899685484027655,-0.03909502507302598,-0.5300080026654734,-0.5181849703181018,-0.011823032347371587,0.14891720011643206,0.15932573272697081,-0.010408532610538757,0.1126198061014871,0.11867000388796023,-0.00605019778647313,95.77377332774167,119.36299538687356,-23.5892220591319,0.9084271360020754,0.920915242156969,-0.012488106154893597,0.5730879721352684,0.5976195528092223,-0.02453158067395389,cagr_oos|is_oos_gap,wfe,2,1,MARGINAL_FULL
G3_nasdaq_mom63_S3_M1_defensive,nasdaq_mom63,S3,M1,defensive,0.09134108018205467,0.2111237540590425,-0.11978267387698782,0.07063349550034781,0.17563190540045204,-0.02070758468170686,-0.03549184865859045,-0.014784263976883594,0.819147298034867,0.9026733232043065,-0.08352602516943952,-0.19930140514158712,-0.3457269515654877,0.1464255464239006,0.03214883201865448,0.08998175595938962,-0.05783292394073514,0.03596850424381737,0.048150778386904576,-0.012182274143087209,50.14624397148249,68.73807401971064,-18.591830048228147,1.093246537552032,1.023102865510121,0.07014367204191085,0.5753446389099564,0.6704755123961896,-0.09513087348623328,maxdd|is_oos_gap|wfe,cagr_oos|sharpe|worst10y|ci95_lo,3,4,MARGINAL_FULL
G3_nasdaq_mom63_S3_M1_procyclical,nasdaq_mom63,S3,M1,procyclical,0.18897311359957847,0.2111237540590425,-0.02215064045946402,0.15810057162714242,0.17563190540045204,-0.03087254197243605,-0.03549184865859045,-0.004619306686154401,0.8699233658504769,0.9026733232043065,-0.03274995735382957,-0.36399466849560447,-0.3457269515654877,-0.01826771693011675,0.06392892827215091,0.08998175595938962,-0.02605282768723871,0.0388608277411539,0.048150778386904576,-0.009289950645750673,25.27416649192703,68.73807401971064,-43.463907527783604,1.003193997115227,1.023102865510121,-0.01990886839489403,0.622550809263335,0.6704755123961896,-0.047924703132854685,,cagr_oos|worst10y,0,2,FAIL_FULL
G3_nasdaq_mom63_S3_M2_defensive,nasdaq_mom63,S3,M2,defensive,0.16233901928757466,0.2111237540590425,-0.04878473477146783,0.12413680415678074,0.17563190540045204,-0.038202215130793915,-0.03549184865859045,0.0027103664722034626,1.059536920727175,0.9026733232043065,0.1568635975228685,-0.27099341711172453,-0.3457269515654877,0.07473353445376318,0.0774810761119944,0.08998175595938962,-0.012500679847395224,0.06256605128162392,0.048150778386904576,0.01441527289471934,56.771139127699726,68.73807401971064,-11.966934892010912,1.1336133399753514,1.023102865510121,0.11051047446523032,0.8423857530054605,0.6704755123961896,0.17191024060927085,sharpe|maxdd|p10_5y|wfe|ci95_lo,cagr_oos,5,1,MARGINAL_FULL
G3_nasdaq_mom63_S3_M2_procyclical,nasdaq_mom63,S3,M2,procyclical,0.21898356130993335,0.2111237540590425,0.00785980725089086,0.18831888577335887,0.17563190540045204,-0.03066467553657448,-0.03549184865859045,-0.004827173122015971,0.8288801649745333,0.9026733232043065,-0.07379315822977317,-0.42608129264026673,-0.3457269515654877,-0.08035434107477901,0.06970596526021167,0.08998175595938962,-0.020275790699177954,0.0414732352099314,0.048150778386904576,-0.006677543176973173,71.68672677710212,68.73807401971064,2.9486527573914856,0.9891939912510075,1.023102865510121,-0.0339088742591136,0.5841755778675808,0.6704755123961896,-0.08629993452860885,cagr_oos,sharpe|worst10y|ci95_lo,1,3,MARGINAL_FULL
G3_nasdaq_mom63_S3_M4_vol_adj,nasdaq_mom63,S3,M4,vol_adj,0.1340369520179232,0.2111237540590425,-0.07708680204111928,0.127992349624102,0.17563190540045204,-0.006044602393821208,-0.03549184865859045,-0.029447246264769245,0.9211242480890716,0.9026733232043065,0.018450924884765074,-0.3089928682423556,-0.3457269515654877,0.036734083323132105,0.06730995814378171,0.08998175595938962,-0.022671797815607908,0.041577898981924294,0.048150778386904576,-0.006572879404980282,69.77201719438038,68.73807401971064,1.0339431746697443,1.1108004273842438,1.023102865510121,0.0876975618741227,0.6749004572872452,0.6704755123961896,0.004424944891055604,maxdd|is_oos_gap|wfe,cagr_oos|worst10y,3,2,MARGINAL_FULL
