window_id,window_kind,start_date,end_date,n_days,short_flag,baseline_cagr,candidate_cagr,baseline_sharpe,candidate_sharpe,baseline_maxdd,candidate_maxdd,cand_minus_base_cagr,cand_minus_base_sharpe
2015,IS,2015-01-02,2015-12-31,252,False,-0.322837,-0.288090,-0.934924,-0.870598,-0.405574,-0.386128,0.034747,0.064326
2016,IS,2016-01-04,2016-12-30,252,False,-0.079103,-0.027452,0.121769,0.211222,-0.384227,-0.360690,0.051651,0.089453
2017,IS,2017-01-03,2017-12-29,251,False,0.957250,0.868106,2.059801,2.097927,-0.201170,-0.184525,-0.089144,0.038127
2018,IS,2018-01-02,2018-12-31,251,False,-0.083371,-0.004003,-0.014881,0.166188,-0.372551,-0.319447,0.079368,0.181069
2019,IS,2019-01-02,2019-12-31,252,False,0.659950,0.636731,1.313241,1.337238,-0.337976,-0.341755,-0.023219,0.023997
2020,IS,2020-01-02,2020-12-31,253,False,0.808450,0.715824,1.779036,1.841985,-0.228585,-0.229301,-0.092626,0.062949
2021,OOS,2021-01-04,2021-12-31,252,False,0.304515,0.268257,0.990838,0.991815,-0.228179,-0.201591,-0.036258,0.000977
2022,OOS,2022-01-03,2022-12-30,251,False,-0.260227,-0.254037,-1.618825,-1.548941,-0.327034,-0.322660,0.006191,0.069884
2023,OOS,2023-01-03,2023-12-29,250,False,0.993860,0.907492,1.563475,1.588467,-0.395662,-0.373794,-0.086367,0.024992
2024,OOS,2024-01-02,2024-12-31,252,False,0.585440,0.642217,1.120436,1.296243,-0.271272,-0.223977,0.056777,0.175807
2025,OOS,2025-01-02,2025-12-31,250,False,0.548899,0.455275,1.265226,1.232459,-0.232208,-0.228900,-0.093624,-0.032768
2026,OOS,2026-01-02,2026-03-26,58,True,-0.293157,-0.272739,-0.855881,-0.783284,-0.175332,-0.174083,0.020417,0.072597
