signal_id,signal_name,strategy,mean_ic,t_stat,p_value,n_obs,error,p_value_bh,reject_bh
macro_dxy_z252,dxy_z252,S3,0.006345054855881575,1.2461012979745347,0.21272720837979509,4212,,0.2564781127842315,False
macro_nfci,nfci,S1,0.008572959794707971,2.249251398104672,0.024496506076036706,9058,,0.0390413065586835,True
macro_nfci,nfci,S2,0.012712237164905063,3.452270864363457,0.0005558893896393524,9058,,0.0010903984181387298,True
macro_nfci,nfci,S3,0.005202161059396382,1.3839948212615436,0.16636004047023212,8491,,0.206935660097118,False
macro_nfci_z52w,nfci_z52w,S1,-0.04150067079791648,-12.82807754769407,0.0,12398,,0.0,True
macro_nfci_z52w,nfci_z52w,S2,-0.04161024352203083,-13.205735446140082,0.0,12398,,0.0,True
macro_nfci_z52w,nfci_z52w,S3,-0.034610191685625964,-9.44442233090937,0.0,11498,,0.0,True
macro_nfci_chg13w,nfci_chg13w,S1,-0.01280908806915788,-3.7095654048722695,0.00020761532008739536,12337,,0.000429258702342858,True
macro_nfci_chg13w,nfci_chg13w,S2,-0.00835413142340936,-2.4945646994670283,0.012611173323613611,12337,,0.02120340130233937,True
macro_nfci_chg13w,nfci_chg13w,S3,-0.013393192248188869,-3.7708532689889784,0.0001626903159646087,11439,,0.00034098107318609767,True
macro_month,month,S1,0.000386967794747665,0.10303563804203483,0.9179346863971616,12464,,0.9300927617136803,False
macro_month,month,S2,0.00209456111040066,0.573723219802733,0.5661551129133144,12464,,0.6100121991249092,False
macro_month,month,S3,-0.001574504928996016,-0.39130065355948684,0.695575015833704,11514,,0.714248170621186,False
macro_month_sin,month_sin,S1,0.004878170904553697,1.4712990931870666,0.14121024845596786,12464,,0.1830946441844329,False
macro_month_sin,month_sin,S2,0.004448203353867286,1.4244627853776033,0.15431255047298498,12464,,0.19512248117658432,False
macro_month_sin,month_sin,S3,0.004480045952830151,1.3047827042736004,0.1919668501601084,11514,,0.23686232318142406,False
macro_month_cos,month_cos,S1,0.009263113464874862,2.691926795065074,0.007104053674383826,12464,,0.012212586653716015,True
macro_month_cos,month_cos,S2,0.010930952093142637,3.240172333035982,0.0011945747875587998,12464,,0.0022564190431666217,True
macro_month_cos,month_cos,S3,0.0002920511248938745,0.07063614551525603,0.9436873422874226,11514,,0.9436873422874226,False
macro_dow,dow,S1,-0.007503340827987755,-2.9270921838797666,0.003421474511644318,12464,,0.00608704186373931,True
macro_dow,dow,S2,-0.004047065908610314,-1.6052016804227085,0.10844942778906397,12464,,0.14626600511275525,True
macro_dow,dow,S3,-0.013247894129359753,-5.111186530052732,3.2014168960259326e-07,11514,,8.746728305213709e-07,True
macro_pres_cycle,pres_cycle,S1,0.016944835242493652,4.518931645181933,6.21524549848651e-06,9399,,1.5337621955942517e-05,True
macro_pres_cycle,pres_cycle,S2,0.013535540349862235,3.608461596961454,0.0003080180975176816,9399,,0.0006200890647395433,True
macro_pres_cycle,pres_cycle,S3,0.011976321509431509,2.757033387100802,0.005832839556149549,8800,,0.01025775232288369,True
macro_nasdaq_mom21,nasdaq_mom21,S1,0.054423851615426885,17.072438396798102,0.0,12443,,0.0,True
macro_nasdaq_mom21,nasdaq_mom21,S2,0.050872735302630936,16.554858942784534,0.0,12443,,0.0,True
macro_nasdaq_mom21,nasdaq_mom21,S3,0.052188942565585976,16.45579202679923,0.0,11514,,0.0,True
macro_nasdaq_mom63,nasdaq_mom63,S1,0.025233660283044777,8.469218716991346,0.0,12402,,0.0,True
macro_nasdaq_mom63,nasdaq_mom63,S2,0.022046995243867846,7.581134420593665,3.419486915845482e-14,12402,,2.092725992497435e-13,True
macro_nasdaq_mom63,nasdaq_mom63,S3,0.044667635295219166,13.301406448675266,0.0,11504,,0.0,True
macro_nasdaq_mom126,nasdaq_mom126,S1,-0.00757385462280881,-2.3961746241181165,0.016567195337957585,12341,,0.026965754113909685,True
macro_nasdaq_mom126,nasdaq_mom126,S2,-0.011898167558656095,-3.9621901340709047,7.426535975763038e-05,12341,,0.00016709705945466835,True
macro_nasdaq_mom126,nasdaq_mom126,S3,0.005567778338248601,1.5713021279173682,0.11611248717948852,11443,,0.15314836671087712,False
macro_nasdaq_mom252,nasdaq_mom252,S1,-0.0008742449565681267,-0.326418461895839,0.7441077712437614,11779,,0.7589899266686366,False
macro_nasdaq_mom252,nasdaq_mom252,S2,-0.004240942796750904,-1.6027832613614037,0.10898251361342548,11779,,0.14626600511275525,True
macro_nasdaq_mom252,nasdaq_mom252,S3,0.003883162606878274,1.245648150004815,0.21289359688625753,11086,,0.2564781127842315,False
macro_gold_mom21,gold_mom21,S1,-0.019271788997296414,-6.118434549741064,9.449907523162437e-10,12443,,3.2129685578752287e-09,True
macro_gold_mom21,gold_mom21,S2,-0.021360285201067055,-6.896753979794246,5.320410778608675e-12,12443,,2.3941848503739038e-11,True
macro_gold_mom21,gold_mom21,S3,-0.0201617173264395,-6.328324553014091,2.4783752827772787e-10,11514,,9.24857117719326e-10,True
macro_gold_mom63,gold_mom63,S1,-0.027372641000289213,-9.012111279233727,0.0,12402,,0.0,True
macro_gold_mom63,gold_mom63,S2,-0.02903740331975864,-9.719124437702545,0.0,12402,,0.0,True
